election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"BARNES, Milton Nathaniel",12,LDP,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"BRUMSKINE, Charles Walker",11,LP,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"CONNEH, Sekou Damate",2,PRODEM,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"DIVINE, SR., Samuel Raymond",2,Ind,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"FARHAT, David M.",5,FDP,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"JALLAH, Armah Zolu",6,NPL,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"JOHNSON-SIRLEAF, Ellen",95,UP,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"KIADII, George Momodu",1,NATVIPOL,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"KIEH, JR., George Klay",0,NDM,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"KORTO, Joseph D. Z.",0,LERP,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"KPOTO, Robert Momo",0,ULD,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"KROMAH, Alhaji G. V.",3,ALCOP,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"MASSAQUOI, Roland Chris Yarkpah",6,NPP,Presidential,469
Bomi,03001 ,1,"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",2005,1,Bomi,"Bomi, Electoral District 3",333,28,361,575,24,599,314,46,360,"MORLU, John Sembe",14,UDA,Presidential,469
