election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"BARNES, Milton Nathaniel",4,LDP,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"BRUMSKINE, Charles Walker",6,LP,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"CONNEH, Sekou Damate",0,PRODEM,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"DIVINE, SR., Samuel Raymond",7,Ind,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"FARHAT, David M.",0,FDP,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"JALLAH, Armah Zolu",0,NPL,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"JOHNSON-SIRLEAF, Ellen",10,UP,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"KIADII, George Momodu",1,NATVIPOL,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"KIEH, JR., George Klay",2,NDM,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"KORTO, Joseph D. Z.",2,LERP,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"KPOTO, Robert Momo",1,ULD,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"KROMAH, Alhaji G. V.",15,ALCOP,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"MASSAQUOI, Roland Chris Yarkpah",5,NPP,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"MORLU, John Sembe",1,UDA,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"REEVES, Alfred Garpee",2,NRP,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"SHERMAN, Harry Varney Gboto-Nambi",15,COTOL,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"TIPOTEH, Togba-Nah",2,APD,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"TOR-THOMPSON, Margaret J.",5,FAPL,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"TUBMAN, William Vacanarat Shadrach",10,RULP,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"TUBMAN, Winston A.",317,NDPL,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"WEAH, George Manneh",10,CDC,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"WOAH-TEE, Joseph Mamadee",14,LPL,Presidential,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"CORNORMIA, SR., Joseph N.",40,COTOL,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"DAVIES, Olive Quita",14,CDC,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"DOLO, Othello F.",19,PRODEM,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"HOWARD-TAYLOR, Jewel Ceaineh",116,NPP,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"JACKSON, Ranney Banama",34,COTOL,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"KAMARA, Mustapha A.",36,UP,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"KERKULA, SR., Martin Fahnlon",31,LP,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"KERMUE, Melee I. L.",224,NPP,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"LAKE, Delores Zoe",26,UP,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"RICHARDS, Paul Mhulbah",38,LP,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"SAMUELS, Fata S.",29,NDPL,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"SEESEE, Lasana Abraham",17,Ind,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"SIAKOR, Franklin Obed",31,Ind,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"SIRLEAF, Lassana M.",24,PRODEM,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"TOKPAH, Molley O. K.",49,CDC,Senate,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah , Bong ",2005,1,Bong,"Bong, Electoral District 3",429,11,440,753,4,757,427,8,435,"WOKPEH, Lysander B.",25,FAPL,Senate,549
