election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"BARNES, Milton Nathaniel",11,LDP,Presidential,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"BRUMSKINE, Charles Walker",20,LP,Presidential,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"CONNEH, Sekou Damate",2,PRODEM,Presidential,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"DIVINE, SR., Samuel Raymond",0,Ind,Presidential,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"FARHAT, David M.",7,FDP,Presidential,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"JALLAH, Armah Zolu",19,NPL,Presidential,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"JOHNSON-SIRLEAF, Ellen",164,UP,Presidential,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"KIADII, George Momodu",1,NATVIPOL,Presidential,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"KIEH, JR., George Klay",0,NDM,Presidential,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu, Gbarpolu ",2005,1,Gbarpolu,"Gbarpolu, Electoral District 2",342,17,359,574,7,581,336,21,357,"KORTO, Joseph D. Z.",0,LERP,Presidential,497
