election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"BARNES, Milton Nathaniel",4,LDP,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"BRUMSKINE, Charles Walker",268,LP,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"CONNEH, Sekou Damate",1,PRODEM,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"DIVINE, SR., Samuel Raymond",2,Ind,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"FARHAT, David M.",1,FDP,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"JALLAH, Armah Zolu",1,NPL,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"JOHNSON-SIRLEAF, Ellen",29,UP,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"KIADII, George Momodu",0,NATVIPOL,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"KIEH, JR., George Klay",0,NDM,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"KORTO, Joseph D. Z.",0,LERP,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"KPOTO, Robert Momo",0,ULD,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"KROMAH, Alhaji G. V.",0,ALCOP,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"MASSAQUOI, Roland Chris Yarkpah",5,NPP,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"MORLU, John Sembe",0,UDA,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"REEVES, Alfred Garpee",0,NRP,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"SHERMAN, Harry Varney Gboto-Nambi",11,COTOL,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"TIPOTEH, Togba-Nah",1,APD,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"TOR-THOMPSON, Margaret J.",14,FAPL,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"TUBMAN, William Vacanarat Shadrach",0,RULP,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"TUBMAN, Winston A.",5,NDPL,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"WEAH, George Manneh",15,CDC,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"WOAH-TEE, Joseph Mamadee",11,LPL,Presidential,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"DAVIS, William Bill Patrick",23,UP,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"FINDLEY, Gbehzohngar Milton",191,Ind,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"INNIS, SR., Nathaniel K.",77,LP,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"JOHNSON, Charles Jefferson",37,Ind,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"LATHROBE, Joseph O.",13,NDPL,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"MARSHALL, Julia Saturday",11,CDC,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"NATT, Ellen Janjay",18,NPP,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"ONUMAH, Nathan Alphonsus",6,FAPL,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"REEVES, Hilary Yhrakehmenn",40,LP,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"REEVES, Lee Pennalton",8,CDC,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"ROBINSON, SR., Wesley Bonne",91,COTOL,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"VAH, Andrew Dehkpo",60,COTOL,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"WHITFIELD, JR., John F.",22,Ind,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"WOLO, Matthew Alan",6,FAPL,Senate,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"GRAY, SR., Solomon Saynbarn",16,FAPL,House,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"GREENE, Al William",9,CDC,House,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"HILL, Trokon",174,Ind,House,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"PAGE, SR., Samuel Dornaworlo",69,LP,House,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"PASSAWE, Agathon Buelue",46,UP,House,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"SMITH, Jackie Clipton",31,PRODEM,House,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"SPILLER, Austine Wreemongar",9,COTOL,House,521
GrandBassa,09001 ,1,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",368,11,379,603,7,610,357,0,357,"ZEHYOUE, Jerry Fineboy",3,NRP,House,521
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"BARNES, Milton Nathaniel",1,LDP,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"BRUMSKINE, Charles Walker",276,LP,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"CONNEH, Sekou Damate",1,PRODEM,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"DIVINE, SR., Samuel Raymond",1,Ind,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"FARHAT, David M.",2,FDP,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"JALLAH, Armah Zolu",0,NPL,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"JOHNSON-SIRLEAF, Ellen",26,UP,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"KIADII, George Momodu",0,NATVIPOL,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"KIEH, JR., George Klay",0,NDM,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"KORTO, Joseph D. Z.",0,LERP,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"KPOTO, Robert Momo",0,ULD,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"KROMAH, Alhaji G. V.",0,ALCOP,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"MASSAQUOI, Roland Chris Yarkpah",2,NPP,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"MORLU, John Sembe",0,UDA,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"REEVES, Alfred Garpee",0,NRP,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"SHERMAN, Harry Varney Gboto-Nambi",12,COTOL,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"TIPOTEH, Togba-Nah",0,APD,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"TOR-THOMPSON, Margaret J.",13,FAPL,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"TUBMAN, William Vacanarat Shadrach",1,RULP,Presidential,520
GrandBassa,09001 ,2,"adminstrative building, OWENSGROVE, Grand Bassa ",2005,1,Grand Bassa,"Grand Bassa, Electoral District 1",350,6,356,616,5,621,340,5,345,"TUBMAN, Winston A.",0,NDPL,Presidential,520
