election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"BARNES, Milton Nathaniel",1,LDP,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"BRUMSKINE, Charles Walker",21,LP,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"CONNEH, Sekou Damate",2,PRODEM,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"DIVINE, SR., Samuel Raymond",0,Ind,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"FARHAT, David M.",0,FDP,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"JALLAH, Armah Zolu",0,NPL,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"JOHNSON-SIRLEAF, Ellen",16,UP,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"KIADII, George Momodu",8,NATVIPOL,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"KIEH, JR., George Klay",1,NDM,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"KORTO, Joseph D. Z.",1,LERP,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"KPOTO, Robert Momo",0,ULD,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"KROMAH, Alhaji G. V.",0,ALCOP,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"MASSAQUOI, Roland Chris Yarkpah",15,NPP,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"MORLU, John Sembe",1,UDA,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"REEVES, Alfred Garpee",0,NRP,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"SHERMAN, Harry Varney Gboto-Nambi",243,COTOL,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"TIPOTEH, Togba-Nah",1,APD,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"TOR-THOMPSON, Margaret J.",0,FAPL,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"TUBMAN, William Vacanarat Shadrach",0,RULP,Presidential,482 Age 18-27: 38.2%
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",2005,1,Grand Cape Mount,"Grand Cape Mount, Electoral District 3",348,7,355,555,2,557,340,15,355,"TUBMAN, Winston A.",4,NDPL,Presidential,482 Age 18-27: 38.2%
