election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"BARNES, Milton Nathaniel",2,LDP,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"BRUMSKINE, Charles Walker",1,LP,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"CONNEH, Sekou Damate",0,PRODEM,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"DIVINE, SR., Samuel Raymond",0,Ind,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"FARHAT, David M.",0,FDP,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"JALLAH, Armah Zolu",0,NPL,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"JOHNSON-SIRLEAF, Ellen",5,UP,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"KIADII, George Momodu",0,NATVIPOL,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"KIEH, JR., George Klay",1,NDM,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"KORTO, Joseph D. Z.",1,LERP,Presidential,500
GrandGedeh,15001 ,1,"Toe Tow n public School, Toe Tow n, Grand Gedeh ",2005,1,Grand Gedeh,"Grand Gedeh, Electoral District 1",342,3,345,664,7,671,336,8,344,"KPOTO, Robert Momo",1,ULD,Presidential,500
