election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"BARNES, Milton Nathaniel",0,LDP,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"BRUMSKINE, Charles Walker",0,LP,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"CONNEH, Sekou Damate",0,PRODEM,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"DIVINE, SR., Samuel Raymond",0,Ind,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"FARHAT, David M.",0,FDP,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"JALLAH, Armah Zolu",0,NPL,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"JOHNSON-SIRLEAF, Ellen",5,UP,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"KIADII, George Momodu",1,NATVIPOL,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"KIEH, JR., George Klay",0,NDM,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"KORTO, Joseph D. Z.",1,LERP,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"KPOTO, Robert Momo",0,ULD,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"KROMAH, Alhaji G. V.",0,ALCOP,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"MASSAQUOI, Roland Chris Yarkpah",0,NPP,Presidential,347
GrandKru,18001 ,1,"Sasstow n High school, Sasstow n city, Grand Kru ",2005,1,Grand Kru,"Grand Kru, Electoral District 1",299,2,301,518,1,519,284,5,289,"MORLU, John Sembe",0,UDA,Presidential,347
