election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"BARNES, Milton Nathaniel",4,LDP,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"BRUMSKINE, Charles Walker",1,LP,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"CONNEH, Sekou Damate",2,PRODEM,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"DIVINE, SR., Samuel Raymond",0,Ind,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"FARHAT, David M.",2,FDP,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"JALLAH, Armah Zolu",0,NPL,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"JOHNSON-SIRLEAF, Ellen",29,UP,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KIADII, George Momodu",0,NATVIPOL,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KIEH, JR., George Klay",8,NDM,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KORTO, Joseph D. Z.",1,LERP,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KPOTO, Robert Momo",0,ULD,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KROMAH, Alhaji G. V.",0,ALCOP,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"MASSAQUOI, Roland Chris Yarkpah",9,NPP,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"MORLU, John Sembe",0,UDA,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"REEVES, Alfred Garpee",3,NRP,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"SHERMAN, Harry Varney Gboto-Nambi",43,COTOL,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"TIPOTEH, Togba-Nah",0,APD,Presidential,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"TOR-THOMPSON, Margaret J.",2,FAPL,Presidential,542
