election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"BARNES, Milton Nathaniel",4,LDP,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"BRUMSKINE, Charles Walker",24,LP,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"CONNEH, Sekou Damate",4,PRODEM,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"DIVINE, SR., Samuel Raymond",0,Ind,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"FARHAT, David M.",1,FDP,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"JALLAH, Armah Zolu",3,NPL,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"JOHNSON-SIRLEAF, Ellen",51,UP,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"KIADII, George Momodu",0,NATVIPOL,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"KIEH, JR., George Klay",4,NDM,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"KORTO, Joseph D. Z.",1,LERP,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"KPOTO, Robert Momo",0,ULD,Presidential,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship, Margibi ",2005,1,Margibi,"Margibi, Electoral District 1",263,29,292,434,35,469,250,41,291,"KROMAH, Alhaji G. V.",2,ALCOP,Presidential,468
