election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"BARNES, Milton Nathaniel",2,LDP,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"BRUMSKINE, Charles Walker",19,LP,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"CONNEH, Sekou Damate",3,PRODEM,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"DIVINE, SR., Samuel Raymond",0,Ind,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"FARHAT, David M.",5,FDP,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"JALLAH, Armah Zolu",0,NPL,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"JOHNSON-SIRLEAF, Ellen",56,UP,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"KIADII, George Momodu",0,NATVIPOL,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"KIEH, JR., George Klay",0,NDM,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"KORTO, Joseph D. Z.",0,LERP,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"KPOTO, Robert Momo",1,ULD,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"KROMAH, Alhaji G. V.",1,ALCOP,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"MASSAQUOI, Roland Chris Yarkpah",1,NPP,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"MORLU, John Sembe",0,UDA,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"REEVES, Alfred Garpee",0,NRP,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"SHERMAN, Harry Varney Gboto-Nambi",121,COTOL,Presidential,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"TIPOTEH, Togba-Nah",1,APD,Presidential,379
