election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"BARNES, Milton Nathaniel",8,LDP,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"BRUMSKINE, Charles Walker",37,LP,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"CONNEH, Sekou Damate",1,PRODEM,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"DIVINE, SR., Samuel Raymond",1,Ind,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"FARHAT, David M.",1,FDP,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"JALLAH, Armah Zolu",1,NPL,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"JOHNSON-SIRLEAF, Ellen",65,UP,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"KIADII, George Momodu",2,NATVIPOL,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"KIEH, JR., George Klay",8,NDM,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"KORTO, Joseph D. Z.",0,LERP,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"KPOTO, Robert Momo",0,ULD,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"KROMAH, Alhaji G. V.",0,ALCOP,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"MASSAQUOI, Roland Chris Yarkpah",1,NPP,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"MORLU, John Sembe",0,UDA,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"REEVES, Alfred Garpee",0,NRP,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"SHERMAN, Harry Varney Gboto-Nambi",13,COTOL,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"TIPOTEH, Togba-Nah",1,APD,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"TOR-THOMPSON, Margaret J.",12,FAPL,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"TUBMAN, William Vacanarat Shadrach",2,RULP,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"TUBMAN, Winston A.",7,NDPL,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"WEAH, George Manneh",154,CDC,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"WOAH-TEE, Joseph Mamadee",2,LPL,Presidential,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"BANNEY, Jay Jonathan",160 ,UP,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"BARYOEGAR, James G.",41 ,APD,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"BEN, Jasper Morris",81 ,COTOL,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"DOLE, Roberto Gbegba",14 ,COTOL,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"GLAYBO, Uriah",37 ,CDC,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"JOHNSON, Francis B.S.",89 ,UP,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"MONWEH, SR., Davidson Tompo",30 ,CDC,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"MOORE, George Dee",15 ,LP,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"PAYE, Francis Saturday",13 ,LP,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"PEARSON, Moses Jududoes",4 ,NPP,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"SAWMADAL, Arthur D.K.",26,NDM,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"SOBEOR, Dorr Henry",57,NDM,Senate,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"BARTEE, Charles Zarkpah",69,NDM,House,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"CEPHAS, Sampson A.",19,APD,House,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"GLASSCO, Idamay Dehconwulu",88,CDC,House,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"KABA, Morris Abrahima",3,LP,House,485
RiverCess,36001 ,1,"Cestos City High school, Cestos City, River Cess ",2005,1,River Cess,"River Cess, Electoral District 1",316,16,332,567,8,575,308,22,330,"KNOWLDEN, William Trokon",6,NPP,House,485
