election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"BARNES, Milton Nathaniel",2,LDP,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"BRUMSKINE, Charles Walker",18,LP,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"CONNEH, Sekou Damate",0,PRODEM,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"DIVINE, SR., Samuel Raymond",0,Ind,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"FARHAT, David M.",6,FDP,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"JALLAH, Armah Zolu",2,NPL,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"JOHNSON-SIRLEAF, Ellen",68,UP,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"KIADII, George Momodu",0,NATVIPOL,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"KIEH, JR., George Klay",1,NDM,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"KORTO, Joseph D. Z.",0,LERP,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"KPOTO, Robert Momo",0,ULD,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"KROMAH, Alhaji G. V.",4,ALCOP,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"MASSAQUOI, Roland Chris Yarkpah",1,NPP,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"MORLU, John Sembe",0,UDA,Presidential,531
RiverGee,42001 ,1,"Public School , KANWEAKEN, River Gee ",2005,1,River Gee,"River Gee, Electoral District 2",320,26,346,612,11,623,327,18,345,"REEVES, Alfred Garpee",0,NRP,Presidential,531
