election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"BARNES, Milton Nathaniel",6,LDP,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"BRUMSKINE, Charles Walker",15,LP,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"CONNEH, Sekou Damate",2,PRODEM,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"DIVINE, SR., Samuel Raymond",1,Ind,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"FARHAT, David M.",1,FDP,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"JALLAH, Armah Zolu",5,NPL,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"JOHNSON-SIRLEAF, Ellen",51,UP,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"KIADII, George Momodu",4,NATVIPOL,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"KIEH, JR., George Klay",1,NDM,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"KORTO, Joseph D. Z.",0,LERP,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"KPOTO, Robert Momo",0,ULD,Presidential,554
Sinoe,39001 ,1,"Multilateral High school, Farmerville, Sinoe ",2005,1,Sinoe,"Sinoe, Electoral District 2",352,6,358,659,7,666,344,13,357,"KROMAH, Alhaji G. V.",8,ALCOP,Presidential,554
