"Precinct: 03001 ","Polling Place: ",1,,,,,"Total: 469 ","Age 18-27: 46.1% ","Age 48-57: ",,,"7.9%",,
"BOMI JR. HIGH SCHOOL, TUBMANBURG, Bomi ",,,,,,,"Males: 58.4% Females: 41.6% ","Age 28-37: 21.5% Age 38-47: 15.8% ","Age 58-67: Age 68+: ",,,"4.1%4.7%",,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Bomi ",,,"Bomi, Electoral District 3",,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,12,"ANDERSON, Alfred Boimah (NPP) ",,47,"COOPER, Tarnue H. (CDC) ",,,,,,118,
"BRUMSKINE, Charles Walker (LP) ",,,11,"BALLOH, Musah  (ALCOP) ",,24,"DAVIS, Ernest Gray (COTOL) ",,,,,,82,
"CONNEH, Sekou Damate (PRODEM) ",,,2,"BENSON, Rebecca T. (LP) ",,74,"HOLMES, JR., Joseph Boakai (NDM) ",,,,,,27,
"DIVINE, SR., Samuel Raymond (Ind) ",,,2,"BROWN, Samuel Njalbae (LP) ",,31,"KARNLEY, Gbilley Dougba (NPP) ",,,,,,27,
"FARHAT, David M. (FDP) ",,,5,"DEVINE, Richard Blamah (COTOL) ",,136,"KOLLIE, John Zoebohn (LP) ",,,,,,9,
"JALLAH, Armah Zolu (NPL) ",,,6,"JOHNSON, Sando Dazoe (NPP) ",,18,"SIRLEAF, Sando Gaiyah (LDP) ",,,,,,26,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,95,"KO-JUAH, Amos Boima (UP) ",,23,"TARWEH, Seth Momo (PRODEM) ",,,,,,6,
"KIADII, George Momodu (NATVIPOL) ",,,1,"LANSANAH, Lahai Gbabye (NDPL) ",,65,"TIPAYSON, Oretha Maviayer (RULP) ",,,,,,19,
"KIEH, JR., George Klay (NDM) ",,,0,"MASSALEY, Mohammed Aliu (UP) ",,36,,"Valid Votes: ",,,,,314,
"KORTO, Joseph D. Z. (LERP) ",,,0,"SANDO, G. Aaron (NDPL) ",,16,,"Invalid Votes: ",,,,,46,
"KPOTO, Robert Momo (ULD) ",,,0,"SARNOR, Faliku G. (CDC) ",,30,,"Total Votes: ",,,,,360,
"KROMAH, Alhaji G. V. (ALCOP) ",,,3,"VINCENT, Erik Bauman (APD) ",,11,,,,,,,,
