"Precinct: 06001 ","Polling Place: ",1,,,,,,"Total: 549 ","Age 18-27: 35.2% ","Age 48-57: ",,,"14.8%",
"Glenkormah Hut, Glenkormah , Bong ",,,,,,,,"Males: 45.5% Females: 54.5% ","Age 28-37: 23.3% Age 38-47: 16.2% ","Age 58-67: Age 68+: ",,,"8.7%1.8%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Bong ",,,"Bong, Electoral District 3",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,4,"CORNORMIA, SR., Joseph N. (COTOL) ",,40,"BONDO, G. Samuel K.S. (LP) ",,,,,,171
"BRUMSKINE, Charles Walker (LP) ",,,,6,"DAVIES, Olive Quita (CDC) ",,14,"CLINTON, Joseph Orendor (UP) ",,,,,,31
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"DOLO, Othello F. (PRODEM) ",,19,"COOPER, Viola Nyamah (COTOL) ",,,,,,157
"DIVINE, SR., Samuel Raymond (Ind) ",,,,7,"HOWARD-TAYLOR, Jewel Ceaineh (NPP) ",,116,"DENNIS, Oretha Tinapu (LPL) ",,,,,,18
"FARHAT, David M. (FDP) ",,,,0,"JACKSON, Ranney Banama (COTOL) ",,34,"RENNIE, Charles S. (UDA) ",,,,,,28
"JALLAH, Armah Zolu (NPL) ",,,,0,"KAMARA, Mustapha A. (UP) ",,36,"TUCKER, Larwuson M. (CDC) ",,,,,,22
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,10,"KERKULA, SR., Martin Fahnlon (LP) ",,31,,"Valid Votes: ",,,,,427
"KIADII, George Momodu (NATVIPOL) ",,,,1,"KERMUE, Melee I. L. (NPP) ",,224,,"Invalid Votes: ",,,,,8
"KIEH, JR., George Klay (NDM) ",,,,2,"LAKE, Delores Zoe (UP) ",,26,,"Total Votes: ",,,,,435
"KORTO, Joseph D. Z. (LERP) ",,,,2,"RICHARDS, Paul Mhulbah (LP) ",,38,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,1,"SAMUELS, Fata S. (NDPL) ",,29,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,15,"SEESEE, Lasana Abraham (Ind) ",,17,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,5,"SIAKOR, Franklin Obed (Ind) ",,31,,,,,,,
"MORLU, John Sembe (UDA) ",,,,1,"SIRLEAF, Lassana M. (PRODEM) ",,24,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,2,"TOKPAH, Molley O. K. (CDC) ",,49,,,,,,,
