Precinct: 45001 ,Polling Place: ,1 ,"","","","",Total: 497 ,Age 18-27: 37.8% ,Age 48-57: ,"","",8.0%,""
"Central High School Bopolu Tow n, Bopolu, Gbarpolu ","","","","","","",Males: 51.1% Females: 48.9% ,Age 28-37: 22.9% Age 38-47: 19.9% ,Age 58-67: Age 68+: ,"","",8.9%2.4%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Gbarpolu ,"","Gbarpolu, Electoral District 2","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",11 ,"DUKUKY, Jestina V. (CDC) ","",71 ,"DAVID, SR., Norris Gbartoe (NDPL) ","","","","","",67
"BRUMSKINE, Charles Walker (LP) ","","",20 ,"KOLLIE, George Blama (LP) ","",17 ,"DORLEY, Bartu Marie (NPP) ","","","","","",56
"CONNEH, Sekou Damate (PRODEM) ","","",2 ,"KONNEH, SR., Siafa Varney Gaindeh (NPP) ","",33 ,"FALLAH, Yassah Gbissi-K (COTOL) ","","","","","",39
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"MANNAH, SR., Isaac Freeman (COTOL) ","",50 ,"MCCAY, Joseph Botoe (CDC) ","","","","","",28
"FARHAT, David M. (FDP) ","","",7 ,"MENDS-COLE, Edward Sumo (LP) ","",45 ,"SANYON, Filiman Sekou (NRP) ","","","","","",13
"JALLAH, Armah Zolu (NPL) ","","",19 ,"NAATEHN, SR., Daniel Flomo (UP) ","",65 ,"SARNOR, Armah  (LP) ","","","","","",65
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",164 ,"SEH, William M. (COTOL) ","",80 ,"SARNOR, Momo Gornah (UP) ","","","","","",68
"KIADII, George Momodu (NATVIPOL) ","","",1 ,"TARNUE, SR., Harris Fomba (NDPL) ","",82 ,"",Valid Votes: ,"","","","",336
"KIEH, JR., George Klay (NDM) ","","",0 ,"TAWEH, Joseph Jarleakai (UP) ","",39 ,"",Invalid Votes: ,"","","","",21
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"TORMETIE, Samuel Sumo (NRP) ","",70 ,"",Total Votes: ,"","","","",357
"KPOTO, Robert Momo (ULD) ","","",0 ,"WESSO, A. Kanie (Ind) ","",22,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",4 ,"",Valid Votes: ,574,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",2 ,"",Invalid Ballots: ,7,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",1 ,"",Valid Votes + Invalid Ballots: ,581,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",0,"","","","","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",28,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",2,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",0,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",9,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",27,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",44,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",1,"","","","","","","","","",""
"",Valid Votes: ,"",342,"","","","","","","","","",""
"",Invalid Votes: ,"",17,"","","","","","","","","",""
"",Total Votes: ,"",359,"","","","","","","","","",""
Precinct: 45001 ,Polling Place: ,2 ,"","","","",Total: 517 ,Age 18-27: 30.2% ,Age 48-57: ,"","",11.8%,""
"Central High School Bopolu Tow n, Bopolu, Gbarpolu ","","","","","","",Males: 53.2% Females: 46.8% ,Age 28-37: 28.0% Age 38-47: 18.6% ,Age 58-67: Age 68+: ,"","",6.2%5.2%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Gbarpolu ,"","Gbarpolu, Electoral District 2","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",5 ,"DUKUKY, Jestina V. (CDC) ","",44 ,"DAVID, SR., Norris Gbartoe (NDPL) ","","","","","",85
"BRUMSKINE, Charles Walker (LP) ","","",23 ,"KOLLIE, George Blama (LP) ","",12 ,"DORLEY, Bartu Marie (NPP) ","","","","","",59
"CONNEH, Sekou Damate (PRODEM) ","","",2 ,"KONNEH, SR., Siafa Varney Gaindeh (NPP) ","",21 ,"FALLAH, Yassah Gbissi-K (COTOL) ","","","","","",57
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"MANNAH, SR., Isaac Freeman (COTOL) ","",42 ,"MCCAY, Joseph Botoe (CDC) ","","","","","",12
"FARHAT, David M. (FDP) ","","",2 ,"MENDS-COLE, Edward Sumo (LP) ","",57 ,"SANYON, Filiman Sekou (NRP) ","","","","","",7
"JALLAH, Armah Zolu (NPL) ","","",20 ,"NAATEHN, SR., Daniel Flomo (UP) ","",57 ,"SARNOR, Armah  (LP) ","","","","","",76
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",176 ,"SEH, William M. (COTOL) ","",68 ,"SARNOR, Momo Gornah (UP) ","","","","","",64
"KIADII, George Momodu (NATVIPOL) ","","",1 ,"TARNUE, SR., Harris Fomba (NDPL) ","",128 ,"",Valid Votes: ,"","","","",360
"KIEH, JR., George Klay (NDM) ","","",0 ,"TAWEH, Joseph Jarleakai (UP) ","",39 ,"",Invalid Votes: ,"","","","",12
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"TORMETIE, Samuel Sumo (NRP) ","",87 ,"",Total Votes: ,"","","","",372
"KPOTO, Robert Momo (ULD) ","","",0 ,"WESSO, A. Kanie (Ind) ","",18,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",4 ,"",Valid Votes: ,573,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",6 ,"",Invalid Ballots: ,8,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",2 ,"",Valid Votes + Invalid Ballots: ,581,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",2,"","","","","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",42,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",2,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",1,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",5,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",26,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",39,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",0,"","","","","","","","","",""
"",Valid Votes: ,"",359,"","","","","","","","","",""
"",Invalid Votes: ,"",14,"","","","","","","","","",""
