"Precinct: 09001 ","Polling Place: ",1,,,,,"Total: 521 ","Age 18-27: 29.4% ","Age 48-57: ",,"12.1%",,,
"adminstrative building, OWENSGROVE, Grand Bassa ",,,,,,,"Males: 48.0% Females: 52.0% ","Age 28-37: 20.7% Age 38-47: 17.3% ","Age 58-67: Age 68+: ",,"12.3%8.3%",,,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Grand Bassa ",,"Grand Bassa, Electoral District 1",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,4,"DAVIS, William Bill Patrick (UP) ",,23,"GRAY, SR., Solomon Saynbarn (FAPL) ",,,,,,16,
"BRUMSKINE, Charles Walker (LP) ",,,268,"FINDLEY, Gbehzohngar Milton (Ind) ",,191,"GREENE, Al William (CDC) ",,,,,,9,
"CONNEH, Sekou Damate (PRODEM) ",,,1,"INNIS, SR., Nathaniel K. (LP) ",,77,"HILL, Trokon  (Ind) ",,,,,,174,
"DIVINE, SR., Samuel Raymond (Ind) ",,,2,"JOHNSON, Charles Jefferson (Ind) ",,37,"PAGE, SR., Samuel Dornaworlo (LP) ",,,,,,69,
"FARHAT, David M. (FDP) ",,,1,"LATHROBE, Joseph O. (NDPL) ",,13,"PASSAWE, Agathon Buelue (UP) ",,,,,,46,
"JALLAH, Armah Zolu (NPL) ",,,1,"MARSHALL, Julia Saturday (CDC) ",,11,"SMITH, Jackie Clipton (PRODEM) ",,,,,,31,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,29,"NATT, Ellen Janjay (NPP) ",,18,"SPILLER, Austine Wreemongar (COTOL) ",,,,,,9,
"KIADII, George Momodu (NATVIPOL) ",,,0,"ONUMAH, Nathan Alphonsus (FAPL) ",,6,"ZEHYOUE, Jerry Fineboy (NRP) ",,,,,,3,
"KIEH, JR., George Klay (NDM) ",,,0,"REEVES, Hilary Yhrakehmenn (LP) ",,40,,"Valid Votes: ",,,,,357,
"KORTO, Joseph D. Z. (LERP) ",,,0,"REEVES, Lee Pennalton (CDC) ",,8,,"Invalid Votes: ",,,,,0,
"KPOTO, Robert Momo (ULD) ",,,0,"ROBINSON, SR., Wesley Bonne (COTOL) ",,91,,"Total Votes: ",,,,,357,
"KROMAH, Alhaji G. V. (ALCOP) ",,,0,"VAH, Andrew Dehkpo (COTOL) ",,60,,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,5,"WHITFIELD, JR., John F. (Ind) ",,22,,,,,,,,
"MORLU, John Sembe (UDA) ",,,0,"WOLO, Matthew Alan (FAPL) ",,6,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,0,,"Valid Votes: ",603,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,11,,"Invalid Ballots: ",7,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,1,,"Valid Votes + Invalid Ballots: ",610,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,14,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,0,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,5,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,15,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,11,,,,,,,,,,,
,"Valid Votes: ",,368,,,,,,,,,,,
,"Invalid Votes: ",,11,,,,,,,,,,,
,"Total Votes: ",,379,,,,,,,,,,,
"Precinct: 09001 ","Polling Place: ",2,,,,,"Total: 520 ","Age 18-27: 31.3% ","Age 48-57: ",,"15.0%",,,
"adminstrative building, OWENSGROVE, Grand Bassa ",,,,,,,"Males: 49.0% Females: 51.0% ","Age 28-37: 21.0% Age 38-47: 15.6% ","Age 58-67: Age 68+: ",,"8.1%9.0%",,,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Grand Bassa ",,"Grand Bassa, Electoral District 1",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,1,"DAVIS, William Bill Patrick (UP) ",,12,"GRAY, SR., Solomon Saynbarn (FAPL) ",,,,,,12,
"BRUMSKINE, Charles Walker (LP) ",,,276,"FINDLEY, Gbehzohngar Milton (Ind) ",,181,"GREENE, Al William (CDC) ",,,,,,12,
"CONNEH, Sekou Damate (PRODEM) ",,,1,"INNIS, SR., Nathaniel K. (LP) ",,119,"HILL, Trokon  (Ind) ",,,,,,209,
"DIVINE, SR., Samuel Raymond (Ind) ",,,1,"JOHNSON, Charles Jefferson (Ind) ",,49,"PAGE, SR., Samuel Dornaworlo (LP) ",,,,,,73,
"FARHAT, David M. (FDP) ",,,2,"LATHROBE, Joseph O. (NDPL) ",,9,"PASSAWE, Agathon Buelue (UP) ",,,,,,32,
"JALLAH, Armah Zolu (NPL) ",,,0,"MARSHALL, Julia Saturday (CDC) ",,13,"SMITH, Jackie Clipton (PRODEM) ",,,,,,0,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,26,"NATT, Ellen Janjay (NPP) ",,5,"SPILLER, Austine Wreemongar (COTOL) ",,,,,,2,
"KIADII, George Momodu (NATVIPOL) ",,,0,"ONUMAH, Nathan Alphonsus (FAPL) ",,8,"ZEHYOUE, Jerry Fineboy (NRP) ",,,,,,0,
"KIEH, JR., George Klay (NDM) ",,,0,"REEVES, Hilary Yhrakehmenn (LP) ",,71,,"Valid Votes: ",,,,,340,
"KORTO, Joseph D. Z. (LERP) ",,,0,"REEVES, Lee Pennalton (CDC) ",,3,,"Invalid Votes: ",,,,,5,
"KPOTO, Robert Momo (ULD) ",,,0,"ROBINSON, SR., Wesley Bonne (COTOL) ",,85,,"Total Votes: ",,,,,345,
"KROMAH, Alhaji G. V. (ALCOP) ",,,0,"VAH, Andrew Dehkpo (COTOL) ",,37,,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,2,"WHITFIELD, JR., John F. (Ind) ",,17,,,,,,,,
"MORLU, John Sembe (UDA) ",,,0,"WOLO, Matthew Alan (FAPL) ",,7,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,0,,"Valid Votes: ",616,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,12,,"Invalid Ballots: ",5,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,0,,"Valid Votes + Invalid Ballots: ",621,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,13,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,1,,,,,,,,,,,
