"Precinct: 12001 ","Polling Place: ",1,,,,,"Total: 482 Age 18-27: 38.2% ","Age 48-57: ",,,"10.2%",,,
"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",,,,,,,"Males: 44.2% Age 28-37: 21.6% Females: 55.8% Age 38-47: 15.4% ","Age 58-67: Age 68+: ",,,"8.9%5.8%",,,
,,,,"Senate ",,,"House of Representatives",,,,,,,
"President and Vice-President ",,,,"Grand Cape Mount ",,,"Grand Cape Mount, Electoral District 3",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,"1 BONDOKAI, III, J. Siafa (NDPL) ","BONDOKAI, III, J. Siafa (NDPL) ",,6,"FAHNBULLEH, Ennish Lamie (UP) ",,,,,,3,
"BRUMSKINE, Charles Walker (LP) ",,,"21 DAVID, Mambu George (UP) ","DAVID, Mambu George (UP) ",,10,"KIAHON, Clarence C. (LDP) ",,,,,,6,
"CONNEH, Sekou Damate (PRODEM) ",,,"2 FAHNBULLEH, Ma-John T. (LP) ","FAHNBULLEH, Ma-John T. (LP) ",,17,"KIAZOLU, Mohammed Abdurahman (NPP) ",,,,,,14,
"DIVINE, SR., Samuel Raymond (Ind) ",,,"0 FREEMAN, Arthur Bamoley (LDP) ","FREEMAN, Arthur Bamoley (LDP) ",,13,"MOHAMMED, J. Dinne (NRP) ",,,,,,6,
"FARHAT, David M. (FDP) ",,,"0 GBANA, Edison T. Vaanii (LP) ","GBANA, Edison T. Vaanii (LP) ",,13,"SMITH, Oliver Siafa (CDC) ",,,,,,3,
"JALLAH, Armah Zolu (NPL) ",,,"0 GRAY, M. Kdaiia (CDC) ","GRAY, M. Kdaiia (CDC) ",,17,"SONII, Baindu  (LP) ",,,,,,4,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,"16 KAMARA, Jenneh M. (CDC) ","KAMARA, Jenneh M. (CDC) ",,15,"SONII, Mambu Mahamudu (Ind) ",,,,,,223,
"KIADII, George Momodu (NATVIPOL) ",,,"8 MASSALAY, Abel Momolu (NPP) ","MASSALAY, Abel Momolu (NPP) ",,260,"WARE, SR., Mohammed Abraham (COTOL) ",,,,,,61,
"KIEH, JR., George Klay (NDM) ",,,"1 MOMO, James Kormah (NPP) ","MOMO, James Kormah (NPP) ",,41,"ZOLUDUA, SR., Edwin Boakai (ULD) ",,,,,,20,
"KORTO, Joseph D. Z. (LERP) ",,,"1 PAASEWE, Varney  (COTOL) ","PAASEWE, Varney  (COTOL) ",,94,"Valid Votes: ",,,,,,340,
"KPOTO, Robert Momo (ULD) ",,,"0 SHERMAN, Rudolph Emmett (COTOL) ","SHERMAN, Rudolph Emmett (COTOL) ",,69,"Invalid Votes: ",,,,,,15,
"KROMAH, Alhaji G. V. (ALCOP) ",,,0,"Valid Votes: ",,555,"Total Votes: ",,,,,,355,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,15,"Invalid Ballots: ",,2,,,,,,,,
"MORLU, John Sembe (UDA) ",,,1,"Valid Votes + Invalid Ballots: ",,557,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,0,,,,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,243,,,,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,1,,,,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,0,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,0,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,4,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,33,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,1,,,,,,,,,,,
,"Valid Votes: ",,348,,,,,,,,,,,
,"Invalid Votes: ",,7,,,,,,,,,,,
,"Total Votes: ",,355,,,,,,,,,,,
"Precinct: 12001 ","Polling Place: ",2,,,,,"Total: 519 Age 18-27: 40.5% ","Age 48-57: ",,,"9.6%",,,
"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",,,,,,,"Males: 46.2% Age 28-37: 20.0% Females: 53.8% Age 38-47: 12.7% ","Age 58-67: Age 68+: ",,,"9.1%8.1%",,,
,,,,"Senate ",,,"House of Representatives",,,,,,,
"President and Vice-President ",,,,"Grand Cape Mount ",,,"Grand Cape Mount, Electoral District 3",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,"4 BONDOKAI, III, J. Siafa (NDPL) ","BONDOKAI, III, J. Siafa (NDPL) ",,3,"FAHNBULLEH, Ennish Lamie (UP) ",,,,,,5,
"BRUMSKINE, Charles Walker (LP) ",,,"15 DAVID, Mambu George (UP) ","DAVID, Mambu George (UP) ",,9,"KIAHON, Clarence C. (LDP) ",,,,,,8,
"CONNEH, Sekou Damate (PRODEM) ",,,"0 FAHNBULLEH, Ma-John T. (LP) ","FAHNBULLEH, Ma-John T. (LP) ",,16,"KIAZOLU, Mohammed Abdurahman (NPP) ",,,,,,19,
"DIVINE, SR., Samuel Raymond (Ind) ",,,"2 FREEMAN, Arthur Bamoley (LDP) ","FREEMAN, Arthur Bamoley (LDP) ",,3,"MOHAMMED, J. Dinne (NRP) ",,,,,,1,
"FARHAT, David M. (FDP) ",,,"1 GBANA, Edison T. Vaanii (LP) ","GBANA, Edison T. Vaanii (LP) ",,13,"SMITH, Oliver Siafa (CDC) ",,,,,,3,
"JALLAH, Armah Zolu (NPL) ",,,"0 GRAY, M. Kdaiia (CDC) ","GRAY, M. Kdaiia (CDC) ",,13,"SONII, Baindu  (LP) ",,,,,,10,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,"12 KAMARA, Jenneh M. (CDC) ","KAMARA, Jenneh M. (CDC) ",,10,"SONII, Mambu Mahamudu (Ind) ",,,,,,242,
"KIADII, George Momodu (NATVIPOL) ",,,"36 MASSALAY, Abel Momolu (NPP) ","MASSALAY, Abel Momolu (NPP) ",,290,"WARE, SR., Mohammed Abraham (COTOL) ",,,,,,53,
