Precinct: 18001 ,Polling Place: ,1 ,"","","","",Total: 347 ,Age 18-27: 41.5% ,Age 48-57: ,"","",8.4%,""
"Sasstow n High school, Sasstow n city, Grand Kru ","","","","","","",Males: 47.8% Females: 52.2% ,Age 28-37: 23.3% Age 38-47: 12.1% ,Age 58-67: Age 68+: ,"","",8.9%5.8%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Grand Kru ,"","Grand Kru, Electoral District 1","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",0 ,"BARTEKWA, Numene T.H. (COTOL) ","",3 ,"BOYE, Vincent B. (LP) ","","","","","",1
"BRUMSKINE, Charles Walker (LP) ","","",0 ,"BARTU, Amos Yonkon (APD) ","",7 ,"BROHDONYEN, SR., Proftehneseo P. (NDPL) ","","","","","",0
"CONNEH, Sekou Damate (PRODEM) ","","",0 ,"BEDELL, SR., W. Frey Augustus (Ind) ","",2 ,"KIPI, Abraham Kipi (COTOL) ","","","","","",83
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"DOE, J. Sawoloday (LP) ","",4 ,"KOFA, SR., Stephen Gbeh (CDC) ","","","","","",4
"FARHAT, David M. (FDP) ","","",0 ,"JARGBA, Thompson N. (CDC) ","",9 ,"SARKOR, Isaiah Moboe (UP) ","","","","","",61
"JALLAH, Armah Zolu (NPL) ","","",0 ,"JOHNSON, Tiahkwee Weah (UP) ","",7 ,"SLOPADOE, Gbenimah Balu (APD) ","","","","","",2
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",5 ,"KAYDOR, SR., Victor E. Dweh (NDM) ","",2 ,"TOE, William Buwolo (NPP) ","","","","","",133
"KIADII, George Momodu (NATVIPOL) ","","",1 ,"KYNE, Samuel E. K. (LP) ","",1 ,"",Valid Votes: ,"","","","",284
"KIEH, JR., George Klay (NDM) ","","",0 ,"NELSON, Blamoh  (APD) ","",147 ,"",Invalid Votes: ,"","","","",5
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"NIMELY, Thomas Nah (NPP) ","",8 ,"",Total Votes: ,"","","","",289
"KPOTO, Robert Momo (ULD) ","","",0 ,"SHERMAN, Beatrice Nimene (CDC) ","",243,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",0 ,"SIEH, SR., D. Nyandeh (NDPL) ","",0,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",0 ,"SNEH, Rosalind Segbe Tonne (UP) ","",5,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",0 ,"WEAH, Zaw-Dioh  (Ind) ","",1,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",0 ,"WOTORSON, Cletus Segbe (COTOL) ","",79,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",3 ,"",Valid Votes: ,518,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",49 ,"",Invalid Ballots: ,1,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",1 ,"",Valid Votes + Invalid Ballots: ,519,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",1,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",238,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",0,"","","","","","","","","",""
"",Valid Votes: ,"",299,"","","","","","","","","",""
"",Invalid Votes: ,"",2,"","","","","","","","","",""
"",Total Votes: ,"",301,"","","","","","","","","",""
Precinct: 18001 ,Polling Place: ,2 ,"","","","",Total: 322 ,Age 18-27: 36.0% ,Age 48-57: ,"","",8.1%,""
"Sasstow n High school, Sasstow n city, Grand Kru ","","","","","","",Males: 52.5% Females: 47.5% ,Age 28-37: 25.5% Age 38-47: 14.6% ,Age 58-67: Age 68+: ,"","",9.3%6.5%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Grand Kru ,"","Grand Kru, Electoral District 1","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",0 ,"BARTEKWA, Numene T.H. (COTOL) ","",2 ,"BOYE, Vincent B. (LP) ","","","","","",0
"BRUMSKINE, Charles Walker (LP) ","","",0 ,"BARTU, Amos Yonkon (APD) ","",3 ,"BROHDONYEN, SR., Proftehneseo P. (NDPL) ","","","","","",1
"CONNEH, Sekou Damate (PRODEM) ","","",0 ,"BEDELL, SR., W. Frey Augustus (Ind) ","",1 ,"KIPI, Abraham Kipi (COTOL) ","","","","","",99
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"DOE, J. Sawoloday (LP) ","",2 ,"KOFA, SR., Stephen Gbeh (CDC) ","","","","","",8
"FARHAT, David M. (FDP) ","","",0 ,"JARGBA, Thompson N. (CDC) ","",7 ,"SARKOR, Isaiah Moboe (UP) ","","","","","",46
"JALLAH, Armah Zolu (NPL) ","","",0 ,"JOHNSON, Tiahkwee Weah (UP) ","",9 ,"SLOPADOE, Gbenimah Balu (APD) ","","","","","",9
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",1 ,"KAYDOR, SR., Victor E. Dweh (NDM) ","",0 ,"TOE, William Buwolo (NPP) ","","","","","",91
"KIADII, George Momodu (NATVIPOL) ","","",0 ,"KYNE, Samuel E. K. (LP) ","",0 ,"",Valid Votes: ,"","","","",254
"KIEH, JR., George Klay (NDM) ","","",0 ,"NELSON, Blamoh  (APD) ","",57 ,"",Invalid Votes: ,"","","","",1
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"NIMELY, Thomas Nah (NPP) ","",13 ,"",Total Votes: ,"","","","",255
"KPOTO, Robert Momo (ULD) ","","",0 ,"SHERMAN, Beatrice Nimene (CDC) ","",223,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",0 ,"SIEH, SR., D. Nyandeh (NDPL) ","",0,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",0 ,"SNEH, Rosalind Segbe Tonne (UP) ","",3,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",0 ,"WEAH, Zaw-Dioh  (Ind) ","",3,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",0 ,"WOTORSON, Cletus Segbe (COTOL) ","",91,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",2 ,"",Valid Votes: ,414,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",32 ,"",Invalid Ballots: ,3,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",0 ,"",Valid Votes + Invalid Ballots: ,417,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",1,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",213,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",3,"","","","","","","","","",""
"",Valid Votes: ,"",252,"","","","","","","","","",""
"",Invalid Votes: ,"",4,"","","","","","","","","",""
"",Total Votes: ,"",256,"","","","","","","","","",""
Precinct: 18002 ,Polling Place: ,1 ,"","","","","",Total: 439 ,Age 18-27: 37.8% ,Age 48-57: ,"","",11.2%,""
"Nrokw a Public School, Nrokw a, Grand Kru ","","","","","","","",Males: 46.0% Females: 54.0% ,Age 28-37: 25.3% Age 38-47: 14.6% ,Age 58-67: Age 68+: ,"","",7.1%4.1%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Grand Kru ,"","Grand Kru, Electoral District 1","","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",2 ,"BARTEKWA, Numene T.H. (COTOL) ","",4 ,"BOYE, Vincent B. (LP) ","","","","","",4
"BRUMSKINE, Charles Walker (LP) ","","","",1 ,"BARTU, Amos Yonkon (APD) ","",4 ,"BROHDONYEN, SR., Proftehneseo P. (NDPL) ","","","","","",6
"CONNEH, Sekou Damate (PRODEM) ","","","",1 ,"BEDELL, SR., W. Frey Augustus (Ind) ","",1 ,"KIPI, Abraham Kipi (COTOL) ","","","","","",79
"DIVINE, SR., Samuel Raymond (Ind) ","","","",2 ,"DOE, J. Sawoloday (LP) ","",3 ,"KOFA, SR., Stephen Gbeh (CDC) ","","","","","",12
"FARHAT, David M. (FDP) ","","","",0 ,"JARGBA, Thompson N. (CDC) ","",2 ,"SARKOR, Isaiah Moboe (UP) ","","","","","",73
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"JOHNSON, Tiahkwee Weah (UP) ","",16 ,"SLOPADOE, Gbenimah Balu (APD) ","","","","","",13
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",5 ,"KAYDOR, SR., Victor E. Dweh (NDM) ","",3 ,"TOE, William Buwolo (NPP) ","","","","","",123
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KYNE, Samuel E. K. (LP) ","",7 ,"",Valid Votes: ,"","","","",310
"KIEH, JR., George Klay (NDM) ","","","",0 ,"NELSON, Blamoh  (APD) ","",20 ,"",Invalid Votes: ,"","","","",23
"KORTO, Joseph D. Z. (LERP) ","","","",1 ,"NIMELY, Thomas Nah (NPP) ","",90 ,"",Total Votes: ,"","","","",333
"KPOTO, Robert Momo (ULD) ","","","",0 ,"SHERMAN, Beatrice Nimene (CDC) ","",240,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"SIEH, SR., D. Nyandeh (NDPL) ","",3,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",3 ,"SNEH, Rosalind Segbe Tonne (UP) ","",10,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WEAH, Zaw-Dioh  (Ind) ","",6,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",1 ,"WOTORSON, Cletus Segbe (COTOL) ","",25,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",2 ,"",Valid Votes: ,434,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",4 ,"",Invalid Ballots: ,22,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",0 ,"",Valid Votes + Invalid Ballots: ,456,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",4,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",287,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",3,"","","","","","","","","",""
"",Valid Votes: ,"","",316,"","","","","","","","","",""
"",Invalid Votes: ,"","",20,"","","","","","","","","",""
"",Total Votes: ,"","",336,"","","","","","","","","",""
Precinct: 18002 ,Polling Place: ,2 ,"","","","","",Total: 442 ,Age 18-27: 38.7% ,Age 48-57: ,"","",14.3%,""
"Nrokw a Public School, Nrokw a, Grand Kru ","","","","","","","",Males: 48.2% Females: 51.8% ,Age 28-37: 21.3% Age 38-47: 12.9% ,Age 58-67: Age 68+: ,"","",8.1%4.8%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Grand Kru ,"","Grand Kru, Electoral District 1","","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",0 ,"BARTEKWA, Numene T.H. (COTOL) ","",2 ,"BOYE, Vincent B. (LP) ","","","","","",3
"BRUMSKINE, Charles Walker (LP) ","","","",0 ,"BARTU, Amos Yonkon (APD) ","",0 ,"BROHDONYEN, SR., Proftehneseo P. (NDPL) ","","","","","",0
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"BEDELL, SR., W. Frey Augustus (Ind) ","",1 ,"KIPI, Abraham Kipi (COTOL) ","","","","","",129
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DOE, J. Sawoloday (LP) ","",0 ,"KOFA, SR., Stephen Gbeh (CDC) ","","","","","",9
"FARHAT, David M. (FDP) ","","","",0 ,"JARGBA, Thompson N. (CDC) ","",4 ,"SARKOR, Isaiah Moboe (UP) ","","","","","",60
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"JOHNSON, Tiahkwee Weah (UP) ","",21 ,"SLOPADOE, Gbenimah Balu (APD) ","","","","","",4
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",5 ,"KAYDOR, SR., Victor E. Dweh (NDM) ","",1 ,"TOE, William Buwolo (NPP) ","","","","","",121
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KYNE, Samuel E. K. (LP) ","",1 ,"",Valid Votes: ,"","","","",326
"KIEH, JR., George Klay (NDM) ","","","",0 ,"NELSON, Blamoh  (APD) ","",14 ,"",Invalid Votes: ,"","","","",3
"KORTO, Joseph D. Z. (LERP) ","","","",0 ,"NIMELY, Thomas Nah (NPP) ","",130 ,"",Total Votes: ,"","","","",329
"KPOTO, Robert Momo (ULD) ","","","",0 ,"SHERMAN, Beatrice Nimene (CDC) ","",300,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"SIEH, SR., D. Nyandeh (NDPL) ","",1,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",2 ,"SNEH, Rosalind Segbe Tonne (UP) ","",3,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WEAH, Zaw-Dioh  (Ind) ","",1,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",1 ,"WOTORSON, Cletus Segbe (COTOL) ","",83,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",1 ,"",Valid Votes: ,562,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",2 ,"",Invalid Ballots: ,1,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",1 ,"",Valid Votes + Invalid Ballots: ,563,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",0,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",315,"","","","","","","","","",""
