"Precinct: 21001 ","Polling Place: ",1,,,,,,"Total: 542 ","Age 18-27: 30.1% ","Age 48-57: ",,,"8.5%",
"Gleh El & Jr High School, GANGLOTA, Lofa ",,,,,,,,"Males: 45.8% Females: 54.2% ","Age 28-37: 30.3% Age 38-47: 16.6% ","Age 58-67: Age 68+: ",,,"7.6%7.0%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Lofa ",,,"Lofa, Electoral District 4",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,4,"FARKOLLIE, Joseph Hinnah (CDC) ",,11,"FARWENEL, SR., C. Cor-Pulu Fred (NDM) ",,,,,,80
"BRUMSKINE, Charles Walker (LP) ",,,,1,"GBEGBE, Frederick Sayon (UDA) ",,8,"GARMI, Jacob Mulbah (UP) ",,,,,,7
"CONNEH, Sekou Damate (PRODEM) ",,,,2,"GBOLLIE, Fayah Joe Sahr (UP) ",,15,"GODSON, James K. (ULD) ",,,,,,4
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"JOE, Saa Philip (CDC) ",,39,"HOWARD, Beyan D. (LP) ",,,,,,20
"FARHAT, David M. (FDP) ",,,,2,"JOHNSON, Lavela Koboi (UP) ",,16,"KOLLIE, Moses Yarkpazuo (COTOL) ",,,,,,223
"JALLAH, Armah Zolu (NPL) ",,,,0,"KAMARA, Alfred S. (NRP) ",,1,"KPUKUYOU, William Kulubah (APD) ",,,,,,5
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,29,"KAMARA, Massaquoi Morlu (ULD) ",,5,,"Valid Votes: ",,,,,339
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KANDAKAI, Lwopu Gawee (LP) ",,15,,"Invalid Votes: ",,,,,12
"KIEH, JR., George Klay (NDM) ",,,,8,"KANNEH, Fomba  (ALCOP) ",,7,,"Total Votes: ",,,,,351
"KORTO, Joseph D. Z. (LERP) ",,,,1,"KARBAR, Josephus M. (PRODEM) ",,6,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"KOKOLO, Flomo Yanquiwolo (APD) ",,4,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"KPARKILLEN, Stanely Sumo (NPP) ",,30,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,9,"KUPEE, Sumo G. (COTOL) ",,244,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"NGAIMA, SR., Samuel Kpehe (NDPL) ",,152,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,3,"SORSOR, SR., Kollie Massayan (LP) ",,12,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,43,"TALI, Phillip Saa (COTOL) ",,53,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes: ",618,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,2,,"Invalid Ballots: ",10,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,6,,"Valid Votes + Invalid Ballots: ",628,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,210,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,22,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,342,,,,,,,,,,
,"Invalid Votes: ",,,11,,,,,,,,,,
,"Total Votes: ",,,353,,,,,,,,,,
"Precinct: 21002 ","Polling Place: ",1,,,,,,"Total: 475 ","Age 18-27: 33.5% ","Age 48-57: ",,,"11.2%",
"Beyanta Tow n Hall, BEYANTA, Lofa ",,,,,,,,"Males: 50.1% Females: 49.9% ","Age 28-37: 27.2% Age 38-47: 18.7% ","Age 58-67: Age 68+: ",,,"5.3%4.2%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Lofa ",,,"Lofa, Electoral District 4",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,6,"FARKOLLIE, Joseph Hinnah (CDC) ",,34,"FARWENEL, SR., C. Cor-Pulu Fred (NDM) ",,,,,,65
"BRUMSKINE, Charles Walker (LP) ",,,,26,"GBEGBE, Frederick Sayon (UDA) ",,21,"GARMI, Jacob Mulbah (UP) ",,,,,,40
"CONNEH, Sekou Damate (PRODEM) ",,,,3,"GBOLLIE, Fayah Joe Sahr (UP) ",,17,"GODSON, James K. (ULD) ",,,,,,13
"DIVINE, SR., Samuel Raymond (Ind) ",,,,1,"JOE, Saa Philip (CDC) ",,44,"HOWARD, Beyan D. (LP) ",,,,,,42
