Precinct: 24001 ,Polling Place: ,1 ,"","","","",Total: 468 ,Age 18-27: 34.4% ,Age 48-57: ,"","",11.3%,""
"Lakayta Health Centre, Lakayta Tow nship, Margibi ","","","","","","",Males: 51.1% Females: 48.9% ,Age 28-37: 27.6% Age 38-47: 13.7% ,Age 58-67: Age 68+: ,"","",6.0%7.1%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Margibi ,"","","Margibi, Electoral District 1","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",4 ,"BENNIE, Charles D. (RULP) ","",21 ,"CEMBIANOR, Nyumah Tamba (CDC) ","","","","","",80
"BRUMSKINE, Charles Walker (LP) ","","",24 ,"BOWIER, Joseph Jensen (UP) ","",20 ,"COOPER, Joseph Saah (NPP) ","","","","","",28
"CONNEH, Sekou Damate (PRODEM) ","","",4 ,"DAVIS, Bestus Peter (NPP) ","",12 ,"FOFANAH, Sansee Karpeh (UP) ","","","","","",36
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"DENNIS, William E. (UP) ","",44 ,"LORYEE, Henry B. (LP) ","","","","","",18
"FARHAT, David M. (FDP) ","","",1 ,"FAHN, Sampson Bedell (NPP) ","",13 ,"NUQUAY, Emmanuel James (Ind) ","","","","","",39
"JALLAH, Armah Zolu (NPL) ","","",3 ,"GARNEO, Abraham B.Y. Jusu (APD) ","",4 ,"SHERIFF, Tejan Cheik (NRP) ","","","","","",10
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",51 ,"GARWON, A. Sylvester  (CDC) ","",24 ,"SONII, Dao Ansu (COTOL) ","","","","","",39
"KIADII, George Momodu (NATVIPOL) ","","",0 ,"JAH, Clarice Alpha (LP) ","",56 ,"",Valid Votes: ,"","","","",250
"KIEH, JR., George Klay (NDM) ","","",4 ,"KAINE, Roland Cooper (CDC) ","",125 ,"",Invalid Votes: ,"","","","",41
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"KROMAH, Mohamed Taqii (NRP) ","",11 ,"",Total Votes: ,"","","","",291
"KPOTO, Robert Momo (ULD) ","","",0 ,"LEITAL, Joe Roberts (COTOL) ","",40,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",2 ,"MULBAH, SR., Michael S. (COTOL) ","",15,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",7 ,"NEBLETT, James Adof (NRP) ","",8,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",1 ,"PENNEH, John M. (NDPL) ","",17,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",9 ,"TOWNSEND, Clarence Benjamin (RULP) ","",19,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",10 ,"WYMON, Benjamin Kolo-V. (LP) ","",5,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",1 ,"",Valid Votes: ,434,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",6 ,"",Invalid Ballots: ,35,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",58 ,"",Valid Votes + Invalid Ballots: ,469,"","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",27,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",49,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",1,"","","","","","","","","",""
"",Valid Votes: ,"",263,"","","","","","","","","",""
"",Invalid Votes: ,"",29,"","","","","","","","","",""
"",Total Votes: ,"",292,"","","","","","","","","",""
Precinct: 24001 ,Polling Place: ,2 ,"","","","",Total: 484 ,Age 18-27: 33.5% ,Age 48-57: ,"","",8.9%,""
"Lakayta Health Centre, Lakayta Tow nship, Margibi ","","","","","","",Males: 48.1% Females: 51.9% ,Age 28-37: 30.2% Age 38-47: 14.9% ,Age 58-67: Age 68+: ,"","",5.2%7.4%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Margibi ,"","","Margibi, Electoral District 1","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",9 ,"BENNIE, Charles D. (RULP) ","",25 ,"CEMBIANOR, Nyumah Tamba (CDC) ","","","","","",93
"BRUMSKINE, Charles Walker (LP) ","","",15 ,"BOWIER, Joseph Jensen (UP) ","",18 ,"COOPER, Joseph Saah (NPP) ","","","","","",26
"CONNEH, Sekou Damate (PRODEM) ","","",4 ,"DAVIS, Bestus Peter (NPP) ","",22 ,"FOFANAH, Sansee Karpeh (UP) ","","","","","",34
"DIVINE, SR., Samuel Raymond (Ind) ","","",5 ,"DENNIS, William E. (UP) ","",73 ,"LORYEE, Henry B. (LP) ","","","","","",25
"FARHAT, David M. (FDP) ","","",5 ,"FAHN, Sampson Bedell (NPP) ","",19 ,"NUQUAY, Emmanuel James (Ind) ","","","","","",30
"JALLAH, Armah Zolu (NPL) ","","",1 ,"GARNEO, Abraham B.Y. Jusu (APD) ","",7 ,"SHERIFF, Tejan Cheik (NRP) ","","","","","",12
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",48 ,"GARWON, A. Sylvester  (CDC) ","",35 ,"SONII, Dao Ansu (COTOL) ","","","","","",57
"KIADII, George Momodu (NATVIPOL) ","","",3 ,"JAH, Clarice Alpha (LP) ","",52 ,"",Valid Votes: ,"","","","",277
"KIEH, JR., George Klay (NDM) ","","",4 ,"KAINE, Roland Cooper (CDC) ","",142 ,"",Invalid Votes: ,"","","","",29
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"KROMAH, Mohamed Taqii (NRP) ","",15 ,"",Total Votes: ,"","","","",306
"KPOTO, Robert Momo (ULD) ","","",1 ,"LEITAL, Joe Roberts (COTOL) ","",55,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",1 ,"MULBAH, SR., Michael S. (COTOL) ","",10,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",10 ,"NEBLETT, James Adof (NRP) ","",10,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",3 ,"PENNEH, John M. (NDPL) ","",18,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",7 ,"TOWNSEND, Clarence Benjamin (RULP) ","",21,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",11 ,"WYMON, Benjamin Kolo-V. (LP) ","",14,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",3 ,"",Valid Votes: ,536,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",8 ,"",Invalid Ballots: ,19,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",68 ,"",Valid Votes + Invalid Ballots: ,555,"","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",30,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",43,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",3,"","","","","","","","","",""
"",Valid Votes: ,"",283,"","","","","","","","","",""
"",Invalid Votes: ,"",25,"","","","","","","","","",""
"",Total Votes: ,"",308,"","","","","","","","","",""
Precinct: 24001 ,Polling Place: ,3 ,"","","","",Total: 434 ,Age 18-27: 34.3% ,Age 48-57: ,"","",10.4%,""
"Lakayta Health Centre, Lakayta Tow nship, Margibi ","","","","","","",Males: 52.3% Females: 47.7% ,Age 28-37: 24.9% Age 38-47: 17.1% ,Age 58-67: Age 68+: ,"","",7.1%6.2%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Margibi ,"","","Margibi, Electoral District 1","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",2 ,"BENNIE, Charles D. (RULP) ","",21 ,"CEMBIANOR, Nyumah Tamba (CDC) ","","","","","",99
"BRUMSKINE, Charles Walker (LP) ","","",16 ,"BOWIER, Joseph Jensen (UP) ","",11 ,"COOPER, Joseph Saah (NPP) ","","","","","",23
"CONNEH, Sekou Damate (PRODEM) ","","",1 ,"DAVIS, Bestus Peter (NPP) ","",10 ,"FOFANAH, Sansee Karpeh (UP) ","","","","","",50
"DIVINE, SR., Samuel Raymond (Ind) ","","",1 ,"DENNIS, William E. (UP) ","",66 ,"LORYEE, Henry B. (LP) ","","","","","",19
"FARHAT, David M. (FDP) ","","",2 ,"FAHN, Sampson Bedell (NPP) ","",14 ,"NUQUAY, Emmanuel James (Ind) ","","","","","",25
"JALLAH, Armah Zolu (NPL) ","","",1 ,"GARNEO, Abraham B.Y. Jusu (APD) ","",9 ,"SHERIFF, Tejan Cheik (NRP) ","","","","","",4
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",60 ,"GARWON, A. Sylvester  (CDC) ","",21 ,"SONII, Dao Ansu (COTOL) ","","","","","",40
"KIADII, George Momodu (NATVIPOL) ","","",0 ,"JAH, Clarice Alpha (LP) ","",59 ,"",Valid Votes: ,"","","","",260
"KIEH, JR., George Klay (NDM) ","","",6 ,"KAINE, Roland Cooper (CDC) ","",154 ,"",Invalid Votes: ,"","","","",8
"KORTO, Joseph D. Z. (LERP) ","","",3 ,"KROMAH, Mohamed Taqii (NRP) ","",10 ,"",Total Votes: ,"","","","",268
"KPOTO, Robert Momo (ULD) ","","",0 ,"LEITAL, Joe Roberts (COTOL) ","",56,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",0 ,"MULBAH, SR., Michael S. (COTOL) ","",5,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",4 ,"NEBLETT, James Adof (NRP) ","",8,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",2 ,"PENNEH, John M. (NDPL) ","",11,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",4 ,"TOWNSEND, Clarence Benjamin (RULP) ","",7,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",17 ,"WYMON, Benjamin Kolo-V. (LP) ","",12,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",3 ,"",Valid Votes: ,474,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",3 ,"",Invalid Ballots: ,2,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",69 ,"",Valid Votes + Invalid Ballots: ,476,"","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",23,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",46,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",3,"","","","","","","","","",""
"",Valid Votes: ,"",266,"","","","","","","","","",""
"",Invalid Votes: ,"",2,"","","","","","","","","",""
"",Total Votes: ,"",268,"","","","","","","","","",""
Precinct: 24001 ,Polling Place: ,4 ,"","","","",Total: 435 ,Age 18-27: 34.3% ,Age 48-57: ,"","",12.2%,""
"Lakayta Health Centre, Lakayta Tow nship, Margibi ","","","","","","",Males: 54.5% Females: 45.5% ,Age 28-37: 22.8% Age 38-47: 17.0% ,Age 58-67: Age 68+: ,"","",6.0%7.8%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Margibi ,"","","Margibi, Electoral District 1","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",6 ,"BENNIE, Charles D. (RULP) ","",29 ,"CEMBIANOR, Nyumah Tamba (CDC) ","","","","","",89
"BRUMSKINE, Charles Walker (LP) ","","",20 ,"BOWIER, Joseph Jensen (UP) ","",21 ,"COOPER, Joseph Saah (NPP) ","","","","","",33
"CONNEH, Sekou Damate (PRODEM) ","","",1 ,"DAVIS, Bestus Peter (NPP) ","",10 ,"FOFANAH, Sansee Karpeh (UP) ","","","","","",32
"DIVINE, SR., Samuel Raymond (Ind) ","","",1 ,"DENNIS, William E. (UP) ","",49 ,"LORYEE, Henry B. (LP) ","","","","","",24
"FARHAT, David M. (FDP) ","","",1 ,"FAHN, Sampson Bedell (NPP) ","",11 ,"NUQUAY, Emmanuel James (Ind) ","","","","","",37
"JALLAH, Armah Zolu (NPL) ","","",1 ,"GARNEO, Abraham B.Y. Jusu (APD) ","",14 ,"SHERIFF, Tejan Cheik (NRP) ","","","","","",8
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",47 ,"GARWON, A. Sylvester  (CDC) ","",22 ,"SONII, Dao Ansu (COTOL) ","","","","","",52
"KIADII, George Momodu (NATVIPOL) ","","",3 ,"JAH, Clarice Alpha (LP) ","",63 ,"",Valid Votes: ,"","","","",275
"KIEH, JR., George Klay (NDM) ","","",7 ,"KAINE, Roland Cooper (CDC) ","",145 ,"",Invalid Votes: ,"","","","",16
"KORTO, Joseph D. Z. (LERP) ","","",4 ,"KROMAH, Mohamed Taqii (NRP) ","",15 ,"",Total Votes: ,"","","","",291
"KPOTO, Robert Momo (ULD) ","","",1 ,"LEITAL, Joe Roberts (COTOL) ","",48,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",3 ,"MULBAH, SR., Michael S. (COTOL) ","",14,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",2 ,"NEBLETT, James Adof (NRP) ","",18,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",2 ,"PENNEH, John M. (NDPL) ","",15,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",6 ,"TOWNSEND, Clarence Benjamin (RULP) ","",15,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",20 ,"WYMON, Benjamin Kolo-V. (LP) ","",11,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",1 ,"",Valid Votes: ,500,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",5 ,"",Invalid Ballots: ,9,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",73 ,"",Valid Votes + Invalid Ballots: ,509,"","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",17,"","","","","","","","","",""
