"Precinct: 27001 ","Polling Place: ",1,,,,,,"Total: 379 ","Age 18-27: 30.3% ","Age 48-57: ",,,"12.1%",
"Feloken Elementary School, Feloken, Maryland ",,,,,,,,"Males: 49.6% Females: 50.4% ","Age 28-37: 26.9% Age 38-47: 16.9% ","Age 58-67: Age 68+: ",,,"7.1%6.6%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Maryland ",,"Maryland, Electoral District 1",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,2,"BALLOUT, JR., John Akel (UP) ",,8,"DENNIS, Sophia Diode (LP) ",,,,,,9
"BRUMSKINE, Charles Walker (LP) ",,,,19,"BEDELL, Anthony S. Wloflo (NDPL) ",,11,"SAYDEE, David Gwiah (APD) ",,,,,,33
"CONNEH, Sekou Damate (PRODEM) ",,,,3,"BREWER, JR., Robert Alexandeer (NDPL) ",,14,"SMITH, Solomon Saide Nyemah (NPP) ",,,,,,13
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"CLARK, Wilfred Ernest (COTOL) ",,18,"WAH, G. Glomah (UP) ",,,,,,7
"FARHAT, David M. (FDP) ",,,,5,"CLARK-WAH, Theodosia Minikon (APD) ",,7,"WALLACE, Adolphus G. (CDC) ",,,,,,10
"JALLAH, Armah Zolu (NPL) ",,,,0,"COX, SR., James Lamark (LP) ",,8,"WILSON, Ben J. (COTOL) ",,,,,,229
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,56,"FOLEE, Eric Deiojue Kitue (CDC) ",,21,,"Valid Votes: ",,,,,301
"KIADII, George Momodu (NATVIPOL) ",,,,0,"GOE, Mason Chumue (APD) ",,164,,"Invalid Votes: ",,,,,6
"KIEH, JR., George Klay (NDM) ",,,,0,"HUTCHINS, Alexander Mcknight (RULP) ",,6,,"Total Votes: ",,,,,307
"KORTO, Joseph D. Z. (LERP) ",,,,0,"JEFFY, Paul R. (LP) ",,199,,,,,,,
