"Precinct: 30001 ","Polling Place: ",1,,,,,"Total: 387 ","Age 18-27: 28.9% ","Age 48-57: ",,"12.1%",,,
"Royesville Public School, ROYESVILLE, Montserrado ",,,,,,,"Males: 49.4% Females: 50.6% ","Age 28-37: 22.2% Age 38-47: 18.9% ","Age 58-67: Age 68+: ",,"11.9%5.9%",,,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Montserrado ",,"Montserrado, Electoral District 13",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,2,"BILITY, Losene F. (Ind) ",,4,"BAI, Etmonia Musu (LP) ",,,,,,12,
"BRUMSKINE, Charles Walker (LP) ",,,4,"BRENT, Hannah G. (CDC) ",,28,"BAYSAH, Karziel Coruboi (NRP) ",,,,,,1,
"CONNEH, Sekou Damate (PRODEM) ",,,2,"CAESAR, Ruth Gibson (Ind) ",,33,"CASSELL, SR., Shadrick B. (UP) ",,,,,,25,
"DIVINE, SR., Samuel Raymond (Ind) ",,,10,"FRANCIS, Josephine M. George (Ind) ",,144,"COOPER, I, Stephen Faithful (Ind) ",,,,,,13,
"FARHAT, David M. (FDP) ",,,0,"FREEMAN, Joyce Musu (CDC) ",,61,"DOLEA, John G. (NDPL) ",,,,,,3,
"JALLAH, Armah Zolu (NPL) ",,,3,"JACKITAY, Chemon Feson (ALCOP) ",,6,"LAMIN, Edward Musa (COTOL) ",,,,,,8,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,108,"JALLAH, Ola Walker (LP) ",,11,"LYNCH, Victoria  (CDC) ",,,,,,27,
"KIADII, George Momodu (NATVIPOL) ",,,0,"KAMARA, Kadie Sannor (LP) ",,31,"NYEI, Sekou I. (ALCOP) ",,,,,,3,
"KIEH, JR., George Klay (NDM) ",,,0,"KROMAH, Amara M. (PRODEM) ",,6,"PARKER, SR., Julius Sylvester (NPP) ",,,,,,26,
"KORTO, Joseph D. Z. (LERP) ",,,0,"KUMEH, Charles Max (NDPL) ",,3,"PUNNI, Lucinda A. Eastman (Ind) ",,,,,,55,
"KPOTO, Robert Momo (ULD) ",,,0,"PAYNE, SR., Jessie S. (NPP) ",,11,"TAH, Christopher Moham (APD) ",,,,,,30,
"KROMAH, Alhaji G. V. (ALCOP) ",,,0,"RICHARDSON, Nathaniel Reginald (COTOL) ",,22,"WADE, Wilfred Alvin (FAPL) ",,,,,,26,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,6,"SEAKOR, Daniel Success (FAPL) ",,5,,"Valid Votes: ",,,,,229,
"MORLU, John Sembe (UDA) ",,,0,"TARPEH, Wilson Kargeor (APD) ",,19,,"Invalid Votes: ",,,,,19,
"REEVES, Alfred Garpee (NRP) ",,,0,"TAYLOR, Bob D. (NPP) ",,20,,"Total Votes: ",,,,,248,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,19,"TRAVERS, Rudolph  (COTOL) ",,10,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,2,"UREY, Clemenceau Blayon (UP) ",,24,,,,,,,,
