Precinct: 33001 ,Polling Place: ,1 ,"","","","","",Total: 554 ,Age 18-27: 38.6% ,Age 48-57: ,"","",10.1%,""
"Duayee Palava Hut, Duayee, Nimba ","","","","","","","",Males: 48.0% Females: 52.0% ,Age 28-37: 24.9% Age 38-47: 11.4% ,Age 58-67: Age 68+: ,"","",6.5%8.5%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Nimba ,"","","Nimba, Electoral District 5","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",0 ,"BARTUAH, Benedict Zuah (UDA) ","",1 ,"FLINDOR, Jackson Saye (CDC) ","","","","","",129
"BRUMSKINE, Charles Walker (LP) ","","","",21 ,"DOGOLEA, Mary Siaway (RULP) ","",1 ,"JABATEH, Madenyen Nouh (UP) ","","","","","",2
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"DOKIE, Josephus Saye (LP) ","",2 ,"JACOBS, David Logbae (NDPL) ","","","","","",170
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DOLO, Saye-Taayor Adolphus (COTOL) ","",199 ,"JOHNSON, David Madean (COTOL) ","","","","","",20
"FARHAT, David M. (FDP) ","","","",0 ,"JOHNSON, Prince Yormie (Ind) ","",33 ,"MEHNPAINE, S. Reginald Zunleh (NPP) ","","","","","",4
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"KOAH, Evans Vaye (Ind) ","",317 ,"YOUNQUOI, Larry Payetozay (LP) ","","","","","",88
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",0 ,"KROMAH, Ansumana Fassu (UDA) ","",3 ,"",Valid Votes: ,"","","","",413
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KRUAH, SR., Cooper W. (APD) ","",10 ,"",Invalid Votes: ,"","","","",3
"KIEH, JR., George Klay (NDM) ","","","",0 ,"LUO, Harrison Dologbean (NPP) ","",235 ,"",Total Votes: ,"","","","",416
"KORTO, Joseph D. Z. (LERP) ","","","",1 ,"MANTEIN, Nyah  (UP) ","",15,"","","","","","",""
"KPOTO, Robert Momo (ULD) ","","","",0 ,"MYERS, Prince B. (NPP) ","",2,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"NOAH, Mac Sonkarley (LP) ","",1,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",4 ,"SENNEH, Peter S. T. (NDPL) ","",0,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WUOR, Emma Kou (COTOL) ","",2,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",0 ,"YUAN, SR., Harry Targehn (UP) ","",0,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",20 ,"",Valid Votes: ,821,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",365 ,"",Invalid Ballots: ,0,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",1 ,"",Valid Votes + Invalid Ballots: ,821,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",0,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",5,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",0,"","","","","","","","","",""
"",Valid Votes: ,"","",417,"","","","","","","","","",""
"",Invalid Votes: ,"","",1,"","","","","","","","","",""
"",Total Votes: ,"","",418,"","","","","","","","","",""
Precinct: 33001 ,Polling Place: ,2 ,"","","","","",Total: 542 ,Age 18-27: 35.8% ,Age 48-57: ,"","",12.5%,""
"Duayee Palava Hut, Duayee, Nimba ","","","","","","","",Males: 46.5% Females: 53.5% ,Age 28-37: 22.3% Age 38-47: 15.1% ,Age 58-67: Age 68+: ,"","",6.5%7.7%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Nimba ,"","","Nimba, Electoral District 5","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",3 ,"BARTUAH, Benedict Zuah (UDA) ","",1 ,"FLINDOR, Jackson Saye (CDC) ","","","","","",149
"BRUMSKINE, Charles Walker (LP) ","","","",16 ,"DOGOLEA, Mary Siaway (RULP) ","",3 ,"JABATEH, Madenyen Nouh (UP) ","","","","","",6
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"DOKIE, Josephus Saye (LP) ","",7 ,"JACOBS, David Logbae (NDPL) ","","","","","",80
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DOLO, Saye-Taayor Adolphus (COTOL) ","",187 ,"JOHNSON, David Madean (COTOL) ","","","","","",33
"FARHAT, David M. (FDP) ","","","",0 ,"JOHNSON, Prince Yormie (Ind) ","",42 ,"MEHNPAINE, S. Reginald Zunleh (NPP) ","","","","","",16
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"KOAH, Evans Vaye (Ind) ","",216 ,"YOUNQUOI, Larry Payetozay (LP) ","","","","","",132
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",1 ,"KROMAH, Ansumana Fassu (UDA) ","",3 ,"",Valid Votes: ,"","","","",416
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KRUAH, SR., Cooper W. (APD) ","",39 ,"",Invalid Votes: ,"","","","",4
"KIEH, JR., George Klay (NDM) ","","","",0 ,"LUO, Harrison Dologbean (NPP) ","",224 ,"",Total Votes: ,"","","","",420
"KORTO, Joseph D. Z. (LERP) ","","","",10 ,"MANTEIN, Nyah  (UP) ","",59,"","","","","","",""
"KPOTO, Robert Momo (ULD) ","","","",0 ,"MYERS, Prince B. (NPP) ","",7,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"NOAH, Mac Sonkarley (LP) ","",2,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",2 ,"SENNEH, Peter S. T. (NDPL) ","",0,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WUOR, Emma Kou (COTOL) ","",9,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",2 ,"YUAN, SR., Harry Targehn (UP) ","",3,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",13 ,"",Valid Votes: ,802,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",346 ,"",Invalid Ballots: ,5,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",1 ,"",Valid Votes + Invalid Ballots: ,807,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",4,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",7,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",3,"","","","","","","","","",""
"",Valid Votes: ,"","",408,"","","","","","","","","",""
"",Invalid Votes: ,"","",12,"","","","","","","","","",""
"",Total Votes: ,"","",420,"","","","","","","","","",""
Precinct: 33001 ,Polling Place: ,3 ,"","","","","",Total: 536 ,Age 18-27: 39.4% ,Age 48-57: ,"","",8.6%,""
"Duayee Palava Hut, Duayee, Nimba ","","","","","","","",Males: 47.8% Females: 52.2% ,Age 28-37: 24.1% Age 38-47: 16.0% ,Age 58-67: Age 68+: ,"","",5.6%6.3%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Nimba ,"","","Nimba, Electoral District 5","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",0 ,"BARTUAH, Benedict Zuah (UDA) ","",3 ,"FLINDOR, Jackson Saye (CDC) ","","","","","",194
"BRUMSKINE, Charles Walker (LP) ","","","",20 ,"DOGOLEA, Mary Siaway (RULP) ","",1 ,"JABATEH, Madenyen Nouh (UP) ","","","","","",7
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"DOKIE, Josephus Saye (LP) ","",7 ,"JACOBS, David Logbae (NDPL) ","","","","","",81
"DIVINE, SR., Samuel Raymond (Ind) ","","","",2 ,"DOLO, Saye-Taayor Adolphus (COTOL) ","",196 ,"JOHNSON, David Madean (COTOL) ","","","","","",42
"FARHAT, David M. (FDP) ","","","",0 ,"JOHNSON, Prince Yormie (Ind) ","",44 ,"MEHNPAINE, S. Reginald Zunleh (NPP) ","","","","","",21
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"KOAH, Evans Vaye (Ind) ","",247 ,"YOUNQUOI, Larry Payetozay (LP) ","","","","","",58
