Precinct: 36001 ,Polling Place ,1 ,"","","","",Total: 485 ,Age 18-27: 34.2% ,Age 48-57: ,"","",10.9%,""
"Cestos City High school, Cestos City, River Cess ","","","","","","",Males: 55.1% Females: 44.9% ,Age 28-37: 22.1% Age 38-47: 22.3% ,Age 57-68: Age 68+: ,"","",4.3%6.2%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",River Cess ,"","River Cess, Electoral District 1","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",8 ,"BANNEY, Jay Jonathan (UP) ","",160 ,"BARTEE, Charles Zarkpah (NDM) ","","","","","",69
"BRUMSKINE, Charles Walker (LP) ","","",37 ,"BARYOEGAR, James G. (APD) ","",41 ,"CEPHAS, Sampson A. (APD) ","","","","","",19
"CONNEH, Sekou Damate (PRODEM) ","","",1 ,"BEN, Jasper Morris (COTOL) ","",81 ,"GLASSCO, Idamay Dehconwulu (CDC) ","","","","","",88
"DIVINE, SR., Samuel Raymond (Ind) ","","",1 ,"DOLE, Roberto Gbegba (COTOL) ","",14 ,"KABA, Morris Abrahima (LP) ","","","","","",3
"FARHAT, David M. (FDP) ","","",1 ,"GLAYBO, Uriah  (CDC) ","",37 ,"KNOWLDEN, William Trokon (NPP) ","","","","","",6
"JALLAH, Armah Zolu (NPL) ","","",1 ,"JOHNSON, Francis B.S. (UP) ","",89 ,"MITCHELL, Ronald Alexander (Ind) ","","","","","",103
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",65 ,"MONWEH, SR., Davidson Tompo (CDC) ","",30 ,"WILLIAMS, Elizabeth Pennoh (UP) ","","","","","",20
"KIADII, George Momodu (NATVIPOL) ","","",2 ,"MOORE, George Dee (LP) ","",15 ,"",Valid Votes: ,"","","","",308
"KIEH, JR., George Klay (NDM) ","","",8 ,"PAYE, Francis Saturday (LP) ","",13 ,"",Invalid Votes: ,"","","","",22
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"PEARSON, Moses Jududoes (NPP) ","",4 ,"",Total Votes: ,"","","","",330
"KPOTO, Robert Momo (ULD) ","","",0 ,"SAWMADAL, Arthur D.K. (NDM) ","",26,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",0 ,"SOBEOR, Dorr Henry (NDM) ","",57,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",1 ,"",Valid Votes: ,567,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",0 ,"",Invalid Ballots: ,8,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",0 ,"",Valid Votes + Invalid Ballots: ,575,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",13,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",1,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",12,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",2,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",7,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",154,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",2,"","","","","","","","","",""
"",Valid Votes: ,"",316,"","","","","","","","","",""
"",Invalid Votes: ,"",16,"","","","","","","","","",""
"",Total Votes: ,"",332,"","","","","","","","","",""
Precinct: 36001 ,Polling Place ,2 ,"","","","",Total: 444 ,Age 18-27: 31.1% ,Age 48-57: ,"","",11.3%,""
"Cestos City High school, Cestos City, River Cess ","","","","","","",Males: 55.6% Females: 44.4% ,Age 28-37: 27.7% Age 38-47: 17.1% ,Age 57-68: Age 68+: ,"","",5.9%7.0%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",River Cess ,"","River Cess, Electoral District 1","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",7 ,"BANNEY, Jay Jonathan (UP) ","",156 ,"BARTEE, Charles Zarkpah (NDM) ","","","","","",52
"BRUMSKINE, Charles Walker (LP) ","","",32 ,"BARYOEGAR, James G. (APD) ","",31 ,"CEPHAS, Sampson A. (APD) ","","","","","",15
"CONNEH, Sekou Damate (PRODEM) ","","",4 ,"BEN, Jasper Morris (COTOL) ","",69 ,"GLASSCO, Idamay Dehconwulu (CDC) ","","","","","",80
"DIVINE, SR., Samuel Raymond (Ind) ","","",2 ,"DOLE, Roberto Gbegba (COTOL) ","",10 ,"KABA, Morris Abrahima (LP) ","","","","","",6
"FARHAT, David M. (FDP) ","","",3 ,"GLAYBO, Uriah  (CDC) ","",43 ,"KNOWLDEN, William Trokon (NPP) ","","","","","",8
"JALLAH, Armah Zolu (NPL) ","","",0 ,"JOHNSON, Francis B.S. (UP) ","",90 ,"MITCHELL, Ronald Alexander (Ind) ","","","","","",105
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",68 ,"MONWEH, SR., Davidson Tompo (CDC) ","",27 ,"WILLIAMS, Elizabeth Pennoh (UP) ","","","","","",28
"KIADII, George Momodu (NATVIPOL) ","","",2 ,"MOORE, George Dee (LP) ","",13 ,"",Valid Votes: ,"","","","",294
"KIEH, JR., George Klay (NDM) ","","",7 ,"PAYE, Francis Saturday (LP) ","",19 ,"",Invalid Votes: ,"","","","",15
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"PEARSON, Moses Jududoes (NPP) ","",7 ,"",Total Votes: ,"","","","",309
"KPOTO, Robert Momo (ULD) ","","",0 ,"SAWMADAL, Arthur D.K. (NDM) ","",36,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",2 ,"SOBEOR, Dorr Henry (NDM) ","",38,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",9 ,"",Valid Votes: ,539,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",2 ,"",Invalid Ballots: ,2,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",0 ,"",Valid Votes + Invalid Ballots: ,541,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",15,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",2,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",9,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",1,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",7,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",125,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",4,"","","","","","","","","",""
"",Valid Votes: ,"",301,"","","","","","","","","",""
"",Invalid Votes: ,"",8,"","","","","","","","","",""
"",Total Votes: ,"",309,"","","","","","","","","",""
Precinct: 36001 ,Polling Place ,3 ,"","","","",Total: 458 ,Age 18-27: 34.5% ,Age 48-57: ,"","",9.2%,""
"Cestos City High school, Cestos City, River Cess ","","","","","","",Males: 48.3% Females: 51.7% ,Age 28-37: 27.1% Age 38-47: 19.9% ,Age 57-68: Age 68+: ,"","",4.6%4.8%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",River Cess ,"","River Cess, Electoral District 1","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",2 ,"BANNEY, Jay Jonathan (UP) ","",170 ,"BARTEE, Charles Zarkpah (NDM) ","","","","","",51
"BRUMSKINE, Charles Walker (LP) ","","",34 ,"BARYOEGAR, James G. (APD) ","",27 ,"CEPHAS, Sampson A. (APD) ","","","","","",13
"CONNEH, Sekou Damate (PRODEM) ","","",1 ,"BEN, Jasper Morris (COTOL) ","",71 ,"GLASSCO, Idamay Dehconwulu (CDC) ","","","","","",83
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"DOLE, Roberto Gbegba (COTOL) ","",18 ,"KABA, Morris Abrahima (LP) ","","","","","",11
"FARHAT, David M. (FDP) ","","",2 ,"GLAYBO, Uriah  (CDC) ","",42 ,"KNOWLDEN, William Trokon (NPP) ","","","","","",15
"JALLAH, Armah Zolu (NPL) ","","",2 ,"JOHNSON, Francis B.S. (UP) ","",77 ,"MITCHELL, Ronald Alexander (Ind) ","","","","","",104
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",87 ,"MONWEH, SR., Davidson Tompo (CDC) ","",34 ,"WILLIAMS, Elizabeth Pennoh (UP) ","","","","","",30
"KIADII, George Momodu (NATVIPOL) ","","",2 ,"MOORE, George Dee (LP) ","",14 ,"",Valid Votes: ,"","","","",307
"KIEH, JR., George Klay (NDM) ","","",5 ,"PAYE, Francis Saturday (LP) ","",11 ,"",Invalid Votes: ,"","","","",10
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"PEARSON, Moses Jududoes (NPP) ","",3 ,"",Total Votes: ,"","","","",317
"KPOTO, Robert Momo (ULD) ","","",0 ,"SAWMADAL, Arthur D.K. (NDM) ","",22,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",0 ,"SOBEOR, Dorr Henry (NDM) ","",52,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",3 ,"",Valid Votes: ,541,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",0 ,"",Invalid Ballots: ,4,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",2 ,"",Valid Votes + Invalid Ballots: ,545,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",16,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",1,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",9,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",2,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",3,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",142,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",0,"","","","","","","","","",""
"",Valid Votes: ,"",313,"","","","","","","","","",""
"",Invalid Votes: ,"",4,"","","","","","","","","",""
"",Total Votes: ,"",317,"","","","","","","","","",""
Precinct: 36001 ,Polling Place ,4 ,"","","","",Total: 483 ,Age 18-27: 33.1% ,Age 48-57: ,"","",9.7%,""
"Cestos City High school, Cestos City, River Cess ","","","","","","",Males: 51.6% Females: 48.4% ,Age 28-37: 22.8% Age 38-47: 21.1% ,Age 57-68: Age 68+: ,"","",7.2%6.0%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",River Cess ,"","River Cess, Electoral District 1","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",4 ,"BANNEY, Jay Jonathan (UP) ","",143 ,"BARTEE, Charles Zarkpah (NDM) ","","","","","",63
"BRUMSKINE, Charles Walker (LP) ","","",33 ,"BARYOEGAR, James G. (APD) ","",30 ,"CEPHAS, Sampson A. (APD) ","","","","","",17
"CONNEH, Sekou Damate (PRODEM) ","","",5 ,"BEN, Jasper Morris (COTOL) ","",68 ,"GLASSCO, Idamay Dehconwulu (CDC) ","","","","","",83
"DIVINE, SR., Samuel Raymond (Ind) ","","",1 ,"DOLE, Roberto Gbegba (COTOL) ","",10 ,"KABA, Morris Abrahima (LP) ","","","","","",3
"FARHAT, David M. (FDP) ","","",4 ,"GLAYBO, Uriah  (CDC) ","",39 ,"KNOWLDEN, William Trokon (NPP) ","","","","","",6
"JALLAH, Armah Zolu (NPL) ","","",1 ,"JOHNSON, Francis B.S. (UP) ","",95 ,"MITCHELL, Ronald Alexander (Ind) ","","","","","",106
