Precinct: 42001 ,Polling Place: ,1 ,"","","","","",Total: 531 ,Age 18-27: 41.8% ,Age 48-57: ,"","",8.1%,""
"Public School , KANWEAKEN, River Gee ","","","","","","","",Males: 49.0% Females: 51.0% ,Age 28-37: 25.8% Age 38-47: 14.1% ,Age 58-67: Age 68+: ,"","",5.5%4.7%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",River Gee ,"","River Gee, Electoral District 2","","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",2 ,"CHEA, Christian Snorteh (LP) ","",15 ,"CHEA, Johnson Toe (UP) ","","","","","",137
"BRUMSKINE, Charles Walker (LP) ","","","",18 ,"CHEAPOO, SR., Chea  (UDA) ","",9 ,"FORPOH, JR., George Tee (COTOL) ","","","","","",160
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"CHERUE, Frederick Doe (COTOL) ","",269 ,"SEAH, Elijah Flahn (APD) ","","","","","",12
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DALMEIDA, Clara A. (LP) ","",11 ,"SWEN, Curtis Chenekan (FAPL) ","","","","","",1
"FARHAT, David M. (FDP) ","","","",6 ,"DAVIS, SR., G. Saygbegee (FAPL) ","",1 ,"TEH, SR., Daniel Butty (LP) ","","","","","",17
"JALLAH, Armah Zolu (NPL) ","","","",2 ,"JLAH, SR., Benjamin Belju-Wleh (APD) ","",17 ,"",Valid Votes: ,"","","","",327
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",68 ,"JOHNSON, Isaac Nyenekartoe (COTOL) ","",19 ,"",Invalid Votes: ,"","","","",18
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"JOHNSON, Samuel C. F. (NDPL) ","",4 ,"",Total Votes: ,"","","","",345
"KIEH, JR., George Klay (NDM) ","","","",1 ,"MORLEE, Nathan Victor (CDC) ","",14,"","","","","","",""
"KORTO, Joseph D. Z. (LERP) ","","","",0 ,"SAYTUE, SR., A. Nyenpan (NPP) ","",33,"","","","","","",""
"KPOTO, Robert Momo (ULD) ","","","",0 ,"SLOBERT, SR., Anthony W.C. (UP) ","",178,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",4 ,"VINTON, Regina Saytue (CDC) ","",19,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",1 ,"WESSEH, Conmany B. (UP) ","",16,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WILLIAMS, Nathaniel J. (LDP) ","",7,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",0 ,"",Valid Votes: ,612,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",29 ,"",Invalid Ballots: ,11,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",10 ,"",Valid Votes + Invalid Ballots: ,623,"","","","","","",""
