Precinct: 39001 ,Polling Place ,1 ,"","","","","",Total: 554 ,Age 18-27: 47.7% ,Age 48-57: ,"","",7.4%,""
"Multilateral High school, Farmerville, Sinoe ","","","","","","","",Males: 60.3% Females: 39.7% ,Age 28-37: 20.8% Age 38-47: 16.6% ,Age 57-68: Age 68+: ,"","",5.6%2.0%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",6 ,"BARTEE, Nathaniel Sniweah (COTOL) ","",81 ,"DAVIES, James Timothy (APD) ","","","","","",110
"BRUMSKINE, Charles Walker (LP) ","","","",15 ,"CLARKE, Charles Amstard (UP) ","",60 ,"GREENE, Fannie Louise (LPL) ","","","","","",9
"CONNEH, Sekou Damate (PRODEM) ","","","",2 ,"DOE, Julius Blamo (LP) ","",35 ,"JABBAH, John T. A. (FDP) ","","","","","",13
"DIVINE, SR., Samuel Raymond (Ind) ","","","",1 ,"GIBSON, Myrtle Francelle (PRODEM) ","",20 ,"JARTEH, Priscillia G. Kargeor (NRP) ","","","","","",51
"FARHAT, David M. (FDP) ","","","",1 ,"NAGBE, Joseph Nyenetue (APD) ","",216 ,"MANEE, Manee Wion (UP) ","","","","","",38
"JALLAH, Armah Zolu (NPL) ","","","",5 ,"NYENPAN, Mobutu Vlah (APD) ","",135 ,"MONBOE, Alfred Gebeah (NPP) ","","","","","",7
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",51 ,"SARPLOH, Stephen Sloh (CDC) ","",17 ,"NAGBE, Nah T. (FAPL) ","","","","","",3
"KIADII, George Momodu (NATVIPOL) ","","","",4 ,"SLEWEON, SR., Harrison Nimleh (NPP) ","",78 ,"PANYONNOH, I, K-Hastings  (LERP) ","","","","","",16
"KIEH, JR., George Klay (NDM) ","","","",1 ,"TURPLUE, Emma G. (LP) ","",17 ,"QUIAH, Victor Soloe (CDC) ","","","","","",45
"KORTO, Joseph D. Z. (LERP) ","","","",0 ,"",Valid Votes: ,659 ,"ROBERTS, George M. W. (NDPL) ","","","","","",9
"KPOTO, Robert Momo (ULD) ","","","",0 ,"",Invalid Ballots: ,7 ,"SARKOR, Othello Wiah (NDM) ","","","","","",8
"KROMAH, Alhaji G. V. (ALCOP) ","","","",8 ,"",Valid Votes + Invalid Ballots: ,666 ,"TARPEH, Amos W. (COTOL) ","","","","","",24
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",2 ,"","","","TUOPAY, Virginia Blyee (LP) ","","","","","",11
"MORLU, John Sembe (UDA) ","","","",0 ,"","","","",Valid Votes: ,"","","","",344
"REEVES, Alfred Garpee (NRP) ","","","",5 ,"","","","",Invalid Votes: ,"","","","",13
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",1 ,"","","","",Total Votes: ,"","","","",357
"TIPOTEH, Togba-Nah  (APD) ","","","",109,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",0,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",4,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",3,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",131,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",3,"","","","","","","","","",""
"",Valid Votes: ,"","",352,"","","","","","","","","",""
"",Invalid Votes: ,"","",6,"","","","","","","","","",""
"",Total Votes: ,"","",358,"","","","","","","","","",""
Precinct: 39002 ,Polling Place ,1 ,"","","","",Total: 390 ,Age 18-27: 37.7% ,Age 48-57: ,"","",10.8%,""
"Lexington Elementary school, Lexington, Sinoe ","","","","","","",Males: 49.0% Females: 51.0% ,Age 28-37: 21.0% Age 38-47: 15.4% ,Age 57-68: Age 68+: ,"","",9.5%5.6%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",5 ,"BARTEE, Nathaniel Sniweah (COTOL) ","",180 ,"DAVIES, James Timothy (APD) ","","","","","",81
"BRUMSKINE, Charles Walker (LP) ","","",1 ,"CLARKE, Charles Amstard (UP) ","",205 ,"GREENE, Fannie Louise (LPL) ","","","","","",1
"CONNEH, Sekou Damate (PRODEM) ","","",2 ,"DOE, Julius Blamo (LP) ","",9 ,"JABBAH, John T. A. (FDP) ","","","","","",1
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"GIBSON, Myrtle Francelle (PRODEM) ","",21 ,"JARTEH, Priscillia G. Kargeor (NRP) ","","","","","",9
"FARHAT, David M. (FDP) ","","",2 ,"NAGBE, Joseph Nyenetue (APD) ","",70 ,"MANEE, Manee Wion (UP) ","","","","","",120
"JALLAH, Armah Zolu (NPL) ","","",1 ,"NYENPAN, Mobutu Vlah (APD) ","",51 ,"MONBOE, Alfred Gebeah (NPP) ","","","","","",6
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",179 ,"SARPLOH, Stephen Sloh (CDC) ","",6 ,"NAGBE, Nah T. (FAPL) ","","","","","",2
"KIADII, George Momodu (NATVIPOL) ","","",0 ,"SLEWEON, SR., Harrison Nimleh (NPP) ","",14 ,"PANYONNOH, I, K-Hastings  (LERP) ","","","","","",5
"KIEH, JR., George Klay (NDM) ","","",0 ,"TURPLUE, Emma G. (LP) ","",6 ,"QUIAH, Victor Soloe (CDC) ","","","","","",12
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"",Valid Votes: ,562 ,"ROBERTS, George M. W. (NDPL) ","","","","","",1
"KPOTO, Robert Momo (ULD) ","","",1 ,"",Invalid Ballots: ,2 ,"SARKOR, Othello Wiah (NDM) ","","","","","",3
"KROMAH, Alhaji G. V. (ALCOP) ","","",0 ,"",Valid Votes + Invalid Ballots: ,564 ,"TARPEH, Amos W. (COTOL) ","","","","","",40
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",0 ,"","","","TUOPAY, Virginia Blyee (LP) ","","","","","",1
"MORLU, John Sembe (UDA) ","","",0 ,"","","","",Valid Votes: ,"","","","",282
"REEVES, Alfred Garpee (NRP) ","","",1 ,"","","","",Invalid Votes: ,"","","","",9
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",7 ,"","","","",Total Votes: ,"","","","",291
"TIPOTEH, Togba-Nah  (APD) ","","",19,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",0,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",1,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",1,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",69,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",1,"","","","","","","","","",""
"",Valid Votes: ,"",290,"","","","","","","","","",""
"",Invalid Votes: ,"",2,"","","","","","","","","",""
"",Total Votes: ,"",292,"","","","","","","","","",""
Precinct: 39003 ,Polling Place ,1 ,"","","","",Total: 472 ,Age 18-27: 38.1% ,Age 48-57: ,"","",8.9%,""
