election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu ",President/Vice-President Runoff ,2005,Presidential,2,257,4,261,"JOHNSON-SIRLEAF, Ellen",UP,221,497
Gbarpolu,45001 ,1,"Central High School Bopolu Tow n, Bopolu ",President/Vice-President Runoff ,2005,Presidential,2,257,4,261,"WEAH, George Manneh",CDC,36,497
Gbarpolu,45001 ,4,"Central High School Bopolu Tow n, Bopolu ",President/Vice-President Runoff ,2005,Presidential,2,245,6,251,"JOHNSON-SIRLEAF, Ellen",UP,199,495
Gbarpolu,45001 ,4,"Central High School Bopolu Tow n, Bopolu ",President/Vice-President Runoff ,2005,Presidential,2,245,6,251,"WEAH, George Manneh",CDC,46,495
Gbarpolu,45003 ,1,"Private House, Gbaroquai , Gbaroquai ",President/Vice-President Runoff ,2005,Presidential,2,211,10,221,"JOHNSON-SIRLEAF, Ellen",UP,175,396
Gbarpolu,45003 ,1,"Private House, Gbaroquai , Gbaroquai ",President/Vice-President Runoff ,2005,Presidential,2,211,10,221,"WEAH, George Manneh",CDC,36,396
Gbarpolu,45006 ,1,"Charlas P.rogers Community School, Bandokai (usma ",President/Vice-President Runoff ,2005,Presidential,2,138,3,141,"JOHNSON-SIRLEAF, Ellen",UP,110,268
Gbarpolu,45006 ,1,"Charlas P.rogers Community School, Bandokai (usma ",President/Vice-President Runoff ,2005,Presidential,2,138,3,141,"WEAH, George Manneh",CDC,28,268
Gbarpolu,45008 ,2,"Tow n Hall Gbaryama, Gbaryama ",President/Vice-President Runoff ,2005,Presidential,2,168,6,174,"JOHNSON-SIRLEAF, Ellen",UP,107,308
Gbarpolu,45008 ,2,"Tow n Hall Gbaryama, Gbaryama ",President/Vice-President Runoff ,2005,Presidential,2,168,6,174,"WEAH, George Manneh",CDC,61,308
Gbarpolu,45011 ,1,"Public School,gainkpai Tow n, Gainkpai ",President/Vice-President Runoff ,2005,Presidential,2,89,3,92,"JOHNSON-SIRLEAF, Ellen",UP,56,193
Gbarpolu,45011 ,1,"Public School,gainkpai Tow n, Gainkpai ",President/Vice-President Runoff ,2005,Presidential,2,89,3,92,"WEAH, George Manneh",CDC,33,193
Gbarpolu,45013 ,2,"Central High School Gbarma Tow n, Gbarma ",President/Vice-President Runoff ,2005,Presidential,2,258,15,273,"JOHNSON-SIRLEAF, Ellen",UP,200,578
Gbarpolu,45013 ,2,"Central High School Gbarma Tow n, Gbarma ",President/Vice-President Runoff ,2005,Presidential,2,258,15,273,"WEAH, George Manneh",CDC,58,578
Gbarpolu,45014 ,2,"Primary School,w eamaw uo Tow n, Weamaw uo ",President/Vice-President Runoff ,2005,Presidential,2,133,5,138,"JOHNSON-SIRLEAF, Ellen",UP,96,295
Gbarpolu,45014 ,2,"Primary School,w eamaw uo Tow n, Weamaw uo ",President/Vice-President Runoff ,2005,Presidential,2,133,5,138,"WEAH, George Manneh",CDC,37,295
Gbarpolu,45016 ,2,"Tow n Hall, Tarkpoima Tow n , Tarkpoima ",President/Vice-President Runoff ,2005,Presidential,2,136,3,139,"JOHNSON-SIRLEAF, Ellen",UP,87,309
Gbarpolu,45016 ,2,"Tow n Hall, Tarkpoima Tow n , Tarkpoima ",President/Vice-President Runoff ,2005,Presidential,2,136,3,139,"WEAH, George Manneh",CDC,49,309
Gbarpolu,45018 ,1,"Junior High School,balla Tow n, Balla ",President/Vice-President Runoff ,2005,Presidential,2,58,0,58,"JOHNSON-SIRLEAF, Ellen",UP,29,148
Gbarpolu,45018 ,1,"Junior High School,balla Tow n, Balla ",President/Vice-President Runoff ,2005,Presidential,2,58,0,58,"WEAH, George Manneh",CDC,29,148
Gbarpolu,45020 ,1,"Private Building, Belle Boloma , Bell Boloma ",President/Vice-President Runoff ,2005,Presidential,2,155,3,158,"JOHNSON-SIRLEAF, Ellen",UP,134,388
Gbarpolu,45020 ,1,"Private Building, Belle Boloma , Bell Boloma ",President/Vice-President Runoff ,2005,Presidential,2,155,3,158,"WEAH, George Manneh",CDC,21,388
Gbarpolu,45022 ,1,"Tow n Hall, Gatima, Gatima ",President/Vice-President Runoff ,2005,Presidential,2,299,1,300,"JOHNSON-SIRLEAF, Ellen",UP,257,447
Gbarpolu,45022 ,1,"Tow n Hall, Gatima, Gatima ",President/Vice-President Runoff ,2005,Presidential,2,299,1,300,"WEAH, George Manneh",CDC,42,447
Gbarpolu,45025 ,1,"Primary School,camp Alpha, Camp Alpha ",President/Vice-President Runoff ,2005,Presidential,2,120,5,125,"JOHNSON-SIRLEAF, Ellen",UP,80,267
Gbarpolu,45025 ,1,"Primary School,camp Alpha, Camp Alpha ",President/Vice-President Runoff ,2005,Presidential,2,120,5,125,"WEAH, George Manneh",CDC,40,267
Gbarpolu,45028 ,1,"Tow n Hall, Zuei Tow n, Zuei ",President/Vice-President Runoff ,2005,Presidential,2,318,7,325,"JOHNSON-SIRLEAF, Ellen",UP,297,465
Gbarpolu,45028 ,1,"Tow n Hall, Zuei Tow n, Zuei ",President/Vice-President Runoff ,2005,Presidential,2,318,7,325,"WEAH, George Manneh",CDC,21,465
Gbarpolu,45030 ,2,"Tow n Hall, Nomodatundu,tow n, Nomodatundu ",President/Vice-President Runoff ,2005,Presidential,2,340,10,350,"JOHNSON-SIRLEAF, Ellen",UP,327,490
Gbarpolu,45030 ,2,"Tow n Hall, Nomodatundu,tow n, Nomodatundu ",President/Vice-President Runoff ,2005,Presidential,2,340,10,350,"WEAH, George Manneh",CDC,13,490
Gbarpolu,45033 ,1,"Tow n Hall,palakw ellh Tow n, Palakw ellh ",President/Vice-President Runoff ,2005,Presidential,2,345,7,352,"JOHNSON-SIRLEAF, Ellen",UP,333,416
Gbarpolu,45033 ,1,"Tow n Hall,palakw ellh Tow n, Palakw ellh ",President/Vice-President Runoff ,2005,Presidential,2,345,7,352,"WEAH, George Manneh",CDC,12,416
Gbarpolu,45034 ,2,"Tow n Hall, Gumbeta Tow n, Gumbeta ",President/Vice-President Runoff ,2005,Presidential,2,267,2,269,"JOHNSON-SIRLEAF, Ellen",UP,36,391
Gbarpolu,45034 ,2,"Tow n Hall, Gumbeta Tow n, Gumbeta ",President/Vice-President Runoff ,2005,Presidential,2,267,2,269,"WEAH, George Manneh",CDC,231,391
Gbarpolu,45037 ,1,"Tow n Hall,nyalow ai Tow n, Nyalow ai ",President/Vice-President Runoff ,2005,Presidential,2,133,0,133,"JOHNSON-SIRLEAF, Ellen",UP,132,140
Gbarpolu,45037 ,1,"Tow n Hall,nyalow ai Tow n, Nyalow ai ",President/Vice-President Runoff ,2005,Presidential,2,133,0,133,"WEAH, George Manneh",CDC,1,140
Gbarpolu,45039 ,1,"Tow n Hall, Morlakw elleh Tow n, Morlakw elleh ",President/Vice-President Runoff ,2005,Presidential,2,261,5,266,"JOHNSON-SIRLEAF, Ellen",UP,233,328
Gbarpolu,45039 ,1,"Tow n Hall, Morlakw elleh Tow n, Morlakw elleh ",President/Vice-President Runoff ,2005,Presidential,2,261,5,266,"WEAH, George Manneh",CDC,28,328
Gbarpolu,45041 ,1,"Tow n Hall,kologbanai Tow n, Kologbanai ",President/Vice-President Runoff ,2005,Presidential,2,143,11,154,"JOHNSON-SIRLEAF, Ellen",UP,75,421
