election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,200,14,214,"JOHNSON-SIRLEAF, Ellen",UP,150,468
Margibi,24001 ,1,"Lakayta Health Centre, Lakayta Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,200,14,214,"WEAH, George Manneh",CDC,50,468
Margibi,24001 ,4,"Lakayta Health Centre, Lakayta Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,167,16,183,"JOHNSON-SIRLEAF, Ellen",UP,128,435
Margibi,24001 ,4,"Lakayta Health Centre, Lakayta Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,167,16,183,"WEAH, George Manneh",CDC,39,435
Margibi,24004 ,1,"Palava Hut, Sherman Farm 1 ",President/Vice-President Runoff ,2005,Presidential,2,123,11,134,"JOHNSON-SIRLEAF, Ellen",UP,87,303
Margibi,24004 ,1,"Palava Hut, Sherman Farm 1 ",President/Vice-President Runoff ,2005,Presidential,2,123,11,134,"WEAH, George Manneh",CDC,36,303
Margibi,24006 ,1,"Palava Hut, Sherman Farm 2 ",President/Vice-President Runoff ,2005,Presidential,2,202,4,206,"JOHNSON-SIRLEAF, Ellen",UP,177,406
Margibi,24006 ,1,"Palava Hut, Sherman Farm 2 ",President/Vice-President Runoff ,2005,Presidential,2,202,4,206,"WEAH, George Manneh",CDC,25,406
Margibi,24009 ,1,"Palava Hut, Vahn Yamah ",President/Vice-President Runoff ,2005,Presidential,2,145,12,157,"JOHNSON-SIRLEAF, Ellen",UP,102,435
Margibi,24009 ,1,"Palava Hut, Vahn Yamah ",President/Vice-President Runoff ,2005,Presidential,2,145,12,157,"WEAH, George Manneh",CDC,43,435
Margibi,24011 ,1,"Cinta Public School, Cinta Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,228,8,236,"JOHNSON-SIRLEAF, Ellen",UP,162,581
Margibi,24011 ,1,"Cinta Public School, Cinta Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,228,8,236,"WEAH, George Manneh",CDC,66,581
Margibi,24012 ,2,"Brow nell Jnr High School, Steyo Farm ",President/Vice-President Runoff ,2005,Presidential,2,216,5,221,"JOHNSON-SIRLEAF, Ellen",UP,172,356
Margibi,24012 ,2,"Brow nell Jnr High School, Steyo Farm ",President/Vice-President Runoff ,2005,Presidential,2,216,5,221,"WEAH, George Manneh",CDC,44,356
Margibi,24015 ,1,"Konola Mission, Konola Area ",President/Vice-President Runoff ,2005,Presidential,2,217,8,225,"JOHNSON-SIRLEAF, Ellen",UP,173,501
Margibi,24015 ,1,"Konola Mission, Konola Area ",President/Vice-President Runoff ,2005,Presidential,2,217,8,225,"WEAH, George Manneh",CDC,44,501
Margibi,24016 ,2,"Jinnie Ta School, Jinnie Ta ",President/Vice-President Runoff ,2005,Presidential,2,192,5,197,"JOHNSON-SIRLEAF, Ellen",UP,168,306
Margibi,24016 ,2,"Jinnie Ta School, Jinnie Ta ",President/Vice-President Runoff ,2005,Presidential,2,192,5,197,"WEAH, George Manneh",CDC,24,306
Margibi,24019 ,1,"Weala Riverside School, Weala ",President/Vice-President Runoff ,2005,Presidential,2,284,14,298,"JOHNSON-SIRLEAF, Ellen",UP,214,530
Margibi,24019 ,1,"Weala Riverside School, Weala ",President/Vice-President Runoff ,2005,Presidential,2,284,14,298,"WEAH, George Manneh",CDC,70,530
Margibi,24019 ,4,"Weala Riverside School, Weala ",President/Vice-President Runoff ,2005,Presidential,2,286,17,303,"JOHNSON-SIRLEAF, Ellen",UP,229,527
Margibi,24019 ,4,"Weala Riverside School, Weala ",President/Vice-President Runoff ,2005,Presidential,2,286,17,303,"WEAH, George Manneh",CDC,57,527
Margibi,24020 ,2,"Palava Hut, Bloyguellen ",President/Vice-President Runoff ,2005,Presidential,2,113,6,119,"JOHNSON-SIRLEAF, Ellen",UP,93,500
Margibi,24020 ,2,"Palava Hut, Bloyguellen ",President/Vice-President Runoff ,2005,Presidential,2,113,6,119,"WEAH, George Manneh",CDC,20,500
Margibi,24021 ,2,"Public School Building, Borlola Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,176,17,193,"JOHNSON-SIRLEAF, Ellen",UP,136,466
Margibi,24021 ,2,"Public School Building, Borlola Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,176,17,193,"WEAH, George Manneh",CDC,40,466
Margibi,24022 ,1,"Public School Building, Baypopu Tow n ",President/Vice-President Runoff ,2005,Presidential,2,251,17,268,"JOHNSON-SIRLEAF, Ellen",UP,228,589
Margibi,24022 ,1,"Public School Building, Baypopu Tow n ",President/Vice-President Runoff ,2005,Presidential,2,251,17,268,"WEAH, George Manneh",CDC,23,589
Margibi,24023 ,2,"Palava Hut, German Camp1-3 ",President/Vice-President Runoff ,2005,Presidential,2,190,7,197,"JOHNSON-SIRLEAF, Ellen",UP,179,317
Margibi,24023 ,2,"Palava Hut, German Camp1-3 ",President/Vice-President Runoff ,2005,Presidential,2,190,7,197,"WEAH, George Manneh",CDC,11,317
Margibi,24025 ,1,"Palava Hut, German Camp1-3 ",President/Vice-President Runoff ,2005,Presidential,2,226,14,240,"JOHNSON-SIRLEAF, Ellen",UP,197,498
Margibi,24025 ,1,"Palava Hut, German Camp1-3 ",President/Vice-President Runoff ,2005,Presidential,2,226,14,240,"WEAH, George Manneh",CDC,29,498
Margibi,24028 ,1,"Palava Hut, Perkins Farm ",President/Vice-President Runoff ,2005,Presidential,2,184,6,190,"JOHNSON-SIRLEAF, Ellen",UP,150,420
Margibi,24028 ,1,"Palava Hut, Perkins Farm ",President/Vice-President Runoff ,2005,Presidential,2,184,6,190,"WEAH, George Manneh",CDC,34,420
Margibi,24030 ,1,"Palava Hut, Peters Tow n ",President/Vice-President Runoff ,2005,Presidential,2,98,6,104,"JOHNSON-SIRLEAF, Ellen",UP,54,288
Margibi,24030 ,1,"Palava Hut, Peters Tow n ",President/Vice-President Runoff ,2005,Presidential,2,98,6,104,"WEAH, George Manneh",CDC,44,288
Margibi,24032 ,1,"Community School, Wohn ",President/Vice-President Runoff ,2005,Presidential,2,167,9,176,"JOHNSON-SIRLEAF, Ellen",UP,118,530
Margibi,24032 ,1,"Community School, Wohn ",President/Vice-President Runoff ,2005,Presidential,2,167,9,176,"WEAH, George Manneh",CDC,49,530
Margibi,24033 ,1,"Palava Hut, Wohn ",President/Vice-President Runoff ,2005,Presidential,2,152,8,160,"JOHNSON-SIRLEAF, Ellen",UP,122,228
Margibi,24033 ,1,"Palava Hut, Wohn ",President/Vice-President Runoff ,2005,Presidential,2,152,8,160,"WEAH, George Manneh",CDC,30,228
Margibi,24035 ,2,"Dining Hall, Bw i Area ",President/Vice-President Runoff ,2005,Presidential,2,296,1,297,"JOHNSON-SIRLEAF, Ellen",UP,234,537
Margibi,24035 ,2,"Dining Hall, Bw i Area ",President/Vice-President Runoff ,2005,Presidential,2,296,1,297,"WEAH, George Manneh",CDC,62,537
Margibi,24036 ,2,"Evening Star Baptist School, Mandingo Quarter ",President/Vice-President Runoff ,2005,Presidential,2,307,12,319,"JOHNSON-SIRLEAF, Ellen",UP,221,515
Margibi,24036 ,2,"Evening Star Baptist School, Mandingo Quarter ",President/Vice-President Runoff ,2005,Presidential,2,307,12,319,"WEAH, George Manneh",CDC,86,515
Margibi,24037 ,2,"E.j. Yancy School, Buzi & Frog Island ",President/Vice-President Runoff ,2005,Presidential,2,345,5,350,"JOHNSON-SIRLEAF, Ellen",UP,247,542
Margibi,24037 ,2,"E.j. Yancy School, Buzi & Frog Island ",President/Vice-President Runoff ,2005,Presidential,2,345,5,350,"WEAH, George Manneh",CDC,98,542
Margibi,24038 ,3,"Federation Of  transport Union, Central Kakata 1 ",President/Vice-President Runoff ,2005,Presidential,2,304,1,305,"JOHNSON-SIRLEAF, Ellen",UP,214,526
Margibi,24038 ,3,"Federation Of  transport Union, Central Kakata 1 ",President/Vice-President Runoff ,2005,Presidential,2,304,1,305,"WEAH, George Manneh",CDC,90,526
Margibi,24039 ,3,"Genuine Transport Union, Central Kakata 2 ",President/Vice-President Runoff ,2005,Presidential,2,310,8,318,"JOHNSON-SIRLEAF, Ellen",UP,202,571
Margibi,24039 ,3,"Genuine Transport Union, Central Kakata 2 ",President/Vice-President Runoff ,2005,Presidential,2,310,8,318,"WEAH, George Manneh",CDC,108,571
Margibi,24040 ,3,"Kakata Community College, 14 Road & Matrale Comm ",President/Vice-President Runoff ,2005,Presidential,2,264,1,265,"JOHNSON-SIRLEAF, Ellen",UP,215,435
Margibi,24040 ,3,"Kakata Community College, 14 Road & Matrale Comm ",President/Vice-President Runoff ,2005,Presidential,2,264,1,265,"WEAH, George Manneh",CDC,49,435
Margibi,24041 ,3,"St Paul Lutheran School, Lango Tow n ",President/Vice-President Runoff ,2005,Presidential,2,311,3,314,"JOHNSON-SIRLEAF, Ellen",UP,239,485
Margibi,24041 ,3,"St Paul Lutheran School, Lango Tow n ",President/Vice-President Runoff ,2005,Presidential,2,311,3,314,"WEAH, George Manneh",CDC,72,485
Margibi,24042 ,2,"Lippy High School, Bassa Community ",President/Vice-President Runoff ,2005,Presidential,2,333,7,340,"JOHNSON-SIRLEAF, Ellen",UP,262,561
Margibi,24042 ,2,"Lippy High School, Bassa Community ",President/Vice-President Runoff ,2005,Presidential,2,333,7,340,"WEAH, George Manneh",CDC,71,561
Margibi,24044 ,1,"Ansaru Islamic School, Vai Tow n ",President/Vice-President Runoff ,2005,Presidential,2,221,10,231,"JOHNSON-SIRLEAF, Ellen",UP,149,378
Margibi,24044 ,1,"Ansaru Islamic School, Vai Tow n ",President/Vice-President Runoff ,2005,Presidential,2,221,10,231,"WEAH, George Manneh",CDC,72,378
Margibi,24045 ,2,"John Joseph School, Sugar Hill 1 ",President/Vice-President Runoff ,2005,Presidential,2,359,7,366,"JOHNSON-SIRLEAF, Ellen",UP,255,555
Margibi,24045 ,2,"John Joseph School, Sugar Hill 1 ",President/Vice-President Runoff ,2005,Presidential,2,359,7,366,"WEAH, George Manneh",CDC,104,555
Margibi,24047 ,1,"New  Administration Building, Borlora Junction ",President/Vice-President Runoff ,2005,Presidential,2,248,13,261,"JOHNSON-SIRLEAF, Ellen",UP,189,475
Margibi,24047 ,1,"New  Administration Building, Borlora Junction ",President/Vice-President Runoff ,2005,Presidential,2,248,13,261,"WEAH, George Manneh",CDC,59,475
Margibi,24048 ,1,"Bright Farm School, 26 Gaye Community ",President/Vice-President Runoff ,2005,Presidential,2,228,14,242,"JOHNSON-SIRLEAF, Ellen",UP,207,412
Margibi,24048 ,1,"Bright Farm School, 26 Gaye Community ",President/Vice-President Runoff ,2005,Presidential,2,228,14,242,"WEAH, George Manneh",CDC,21,412
Margibi,24049 ,2,"Conquerors Pentecostal School, Bong Mines Road ",President/Vice-President Runoff ,2005,Presidential,2,357,7,364,"JOHNSON-SIRLEAF, Ellen",UP,289,598
Margibi,24049 ,2,"Conquerors Pentecostal School, Bong Mines Road ",President/Vice-President Runoff ,2005,Presidential,2,357,7,364,"WEAH, George Manneh",CDC,68,598
Margibi,24051 ,1,"Bethel Foundation Academy, New  Kakata 2 ",President/Vice-President Runoff ,2005,Presidential,2,151,3,154,"JOHNSON-SIRLEAF, Ellen",UP,109,289
Margibi,24051 ,1,"Bethel Foundation Academy, New  Kakata 2 ",President/Vice-President Runoff ,2005,Presidential,2,151,3,154,"WEAH, George Manneh",CDC,42,289
Margibi,24053 ,1,"Tow n School, Gaimai Mu ",President/Vice-President Runoff ,2005,Presidential,2,168,7,175,"JOHNSON-SIRLEAF, Ellen",UP,122,583
Margibi,24053 ,1,"Tow n School, Gaimai Mu ",President/Vice-President Runoff ,2005,Presidential,2,168,7,175,"WEAH, George Manneh",CDC,46,583
Margibi,24055 ,1,"Communication Tow er, Zeaw or Tow n ",President/Vice-President Runoff ,2005,Presidential,2,198,2,200,"JOHNSON-SIRLEAF, Ellen",UP,137,549
Margibi,24055 ,1,"Communication Tow er, Zeaw or Tow n ",President/Vice-President Runoff ,2005,Presidential,2,198,2,200,"WEAH, George Manneh",CDC,61,549
Margibi,24057 ,2,"Palava Hut, Zeaw or Tow n ",President/Vice-President Runoff ,2005,Presidential,2,129,43,172,"JOHNSON-SIRLEAF, Ellen",UP,117,558
Margibi,24057 ,2,"Palava Hut, Zeaw or Tow n ",President/Vice-President Runoff ,2005,Presidential,2,129,43,172,"WEAH, George Manneh",CDC,12,558
Margibi,24059 ,1,"Barracks School Building, Schefflin Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,177,3,180,"JOHNSON-SIRLEAF, Ellen",UP,71,303
Margibi,24059 ,1,"Barracks School Building, Schefflin Tow nship ",President/Vice-President Runoff ,2005,Presidential,2,177,3,180,"WEAH, George Manneh",CDC,106,303
Margibi,24061 ,1,"Dw arzohn Public School, Dw arzohn Tow n ",President/Vice-President Runoff ,2005,Presidential,2,284,13,297,"JOHNSON-SIRLEAF, Ellen",UP,187,533
Margibi,24061 ,1,"Dw arzohn Public School, Dw arzohn Tow n ",President/Vice-President Runoff ,2005,Presidential,2,284,13,297,"WEAH, George Manneh",CDC,97,533
Margibi,24062 ,1,"Rock Institute, Dw arzohn Tow n ",President/Vice-President Runoff ,2005,Presidential,2,307,4,311,"JOHNSON-SIRLEAF, Ellen",UP,164,563
Margibi,24062 ,1,"Rock Institute, Dw arzohn Tow n ",President/Vice-President Runoff ,2005,Presidential,2,307,4,311,"WEAH, George Manneh",CDC,143,563
Margibi,24064 ,1,"Palava Hut, Kpakpacon ",President/Vice-President Runoff ,2005,Presidential,2,247,6,253,"JOHNSON-SIRLEAF, Ellen",UP,184,341
Margibi,24064 ,1,"Palava Hut, Kpakpacon ",President/Vice-President Runoff ,2005,Presidential,2,247,6,253,"WEAH, George Manneh",CDC,63,341
Margibi,24066 ,2,"Community School , Old Cotton Tree ",President/Vice-President Runoff ,2005,Presidential,2,325,0,325,"JOHNSON-SIRLEAF, Ellen",UP,251,485
Margibi,24066 ,2,"Community School , Old Cotton Tree ",President/Vice-President Runoff ,2005,Presidential,2,325,0,325,"WEAH, George Manneh",CDC,74,485
Margibi,24067 ,2,"Community School, New  Cotton Tree ",President/Vice-President Runoff ,2005,Presidential,2,260,8,268,"JOHNSON-SIRLEAF, Ellen",UP,199,462
Margibi,24067 ,2,"Community School, New  Cotton Tree ",President/Vice-President Runoff ,2005,Presidential,2,260,8,268,"WEAH, George Manneh",CDC,61,462
Margibi,24068 ,1,"Junior High School, Peters Tow n ",President/Vice-President Runoff ,2005,Presidential,2,392,1,393,"JOHNSON-SIRLEAF, Ellen",UP,288,550
Margibi,24068 ,1,"Junior High School, Peters Tow n ",President/Vice-President Runoff ,2005,Presidential,2,392,1,393,"WEAH, George Manneh",CDC,104,550
Margibi,24069 ,1,"Community School, Dolos Tow n ",President/Vice-President Runoff ,2005,Presidential,2,354,8,362,"JOHNSON-SIRLEAF, Ellen",UP,253,548
Margibi,24069 ,1,"Community School, Dolos Tow n ",President/Vice-President Runoff ,2005,Presidential,2,354,8,362,"WEAH, George Manneh",CDC,101,548
Margibi,24069 ,4,"Community School, Dolos Tow n ",President/Vice-President Runoff ,2005,Presidential,2,342,7,349,"JOHNSON-SIRLEAF, Ellen",UP,243,508
Margibi,24069 ,4,"Community School, Dolos Tow n ",President/Vice-President Runoff ,2005,Presidential,2,342,7,349,"WEAH, George Manneh",CDC,99,508
Margibi,24071 ,1,"Fnunu Dock Community School , Charlesville ",President/Vice-President Runoff ,2005,Presidential,2,107,0,107,"JOHNSON-SIRLEAF, Ellen",UP,75,210
Margibi,24071 ,1,"Fnunu Dock Community School , Charlesville ",President/Vice-President Runoff ,2005,Presidential,2,107,0,107,"WEAH, George Manneh",CDC,32,210
Margibi,24074 ,1,"Old Terminal, Glogarkpa ",President/Vice-President Runoff ,2005,Presidential,2,263,2,265,"JOHNSON-SIRLEAF, Ellen",UP,170,402
Margibi,24074 ,1,"Old Terminal, Glogarkpa ",President/Vice-President Runoff ,2005,Presidential,2,263,2,265,"WEAH, George Manneh",CDC,93,402
Margibi,24077 ,1,"Red Cross Building, Unification Tow n 1 ",President/Vice-President Runoff ,2005,Presidential,2,386,6,392,"JOHNSON-SIRLEAF, Ellen",UP,259,579
Margibi,24077 ,1,"Red Cross Building, Unification Tow n 1 ",President/Vice-President Runoff ,2005,Presidential,2,386,6,392,"WEAH, George Manneh",CDC,127,579
Margibi,24077 ,4,"Red Cross Building, Unification Tow n 1 ",President/Vice-President Runoff ,2005,Presidential,2,399,10,409,"JOHNSON-SIRLEAF, Ellen",UP,262,604
Margibi,24077 ,4,"Red Cross Building, Unification Tow n 1 ",President/Vice-President Runoff ,2005,Presidential,2,399,10,409,"WEAH, George Manneh",CDC,137,604
Margibi,24078 ,3,"Ymca High School/joe Blow  Tow n Palava Hut, Unificati ",President/Vice-President Runoff ,2005,Presidential,2,216,17,233,"JOHNSON-SIRLEAF, Ellen",UP,163,400
Margibi,24078 ,3,"Ymca High School/joe Blow  Tow n Palava Hut, Unificati ",President/Vice-President Runoff ,2005,Presidential,2,216,17,233,"WEAH, George Manneh",CDC,53,400
Margibi,24081 ,1,"43 Office, Division 41 Camp ",President/Vice-President Runoff ,2005,Presidential,2,362,4,366,"JOHNSON-SIRLEAF, Ellen",UP,321,566
Margibi,24081 ,1,"43 Office, Division 41 Camp ",President/Vice-President Runoff ,2005,Presidential,2,362,4,366,"WEAH, George Manneh",CDC,41,566
Margibi,24083 ,2,"Dead Body Camp, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,378,23,401,"JOHNSON-SIRLEAF, Ellen",UP,292,555
Margibi,24083 ,2,"Dead Body Camp, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,378,23,401,"WEAH, George Manneh",CDC,86,555
Margibi,24084 ,1,"Harbel Club House, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,441,6,447,"JOHNSON-SIRLEAF, Ellen",UP,341,530
Margibi,24084 ,1,"Harbel Club House, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,441,6,447,"WEAH, George Manneh",CDC,100,530
Margibi,24084 ,4,"Harbel Club House, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,418,10,428,"JOHNSON-SIRLEAF, Ellen",UP,332,574
Margibi,24084 ,4,"Harbel Club House, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,418,10,428,"WEAH, George Manneh",CDC,86,574
Margibi,24085 ,3,"Harbel Multilateral School, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,360,7,367,"JOHNSON-SIRLEAF, Ellen",UP,245,512
Margibi,24085 ,3,"Harbel Multilateral School, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,360,7,367,"WEAH, George Manneh",CDC,115,512
Margibi,24086 ,1,"Field House, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,367,8,375,"JOHNSON-SIRLEAF, Ellen",UP,287,529
Margibi,24086 ,1,"Field House, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,367,8,375,"WEAH, George Manneh",CDC,80,529
Margibi,24086 ,4,"Field House, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,409,3,412,"JOHNSON-SIRLEAF, Ellen",UP,309,553
Margibi,24086 ,4,"Field House, Division 45 Camp ",President/Vice-President Runoff ,2005,Presidential,2,409,3,412,"WEAH, George Manneh",CDC,100,553
Margibi,24089 ,1,"Palava Hut, Du-bridge Camp ",President/Vice-President Runoff ,2005,Presidential,2,140,0,140,"JOHNSON-SIRLEAF, Ellen",UP,76,201
