election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
Montserrado,30001 ,1,"Royesville Public School, Royesville ",President/Vice-President Runoff ,2005,Presidential,2,218,1,219,"JOHNSON-SIRLEAF, Ellen",UP,169,387
Montserrado,30001 ,1,"Royesville Public School, Royesville ",President/Vice-President Runoff ,2005,Presidential,2,218,1,219,"WEAH, George Manneh",CDC,49,387
Montserrado,30004 ,1,"Gbondoi Public School, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,330,6,336,"JOHNSON-SIRLEAF, Ellen",UP,232,479
Montserrado,30004 ,1,"Gbondoi Public School, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,330,6,336,"WEAH, George Manneh",CDC,98,479
Montserrado,30007 ,1,"Sarah Barclay Sr High Sc, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,351,7,358,"JOHNSON-SIRLEAF, Ellen",UP,159,463
Montserrado,30007 ,1,"Sarah Barclay Sr High Sc, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,351,7,358,"WEAH, George Manneh",CDC,192,463
Montserrado,30007 ,4,"Sarah Barclay Sr High Sc, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,372,1,373,"JOHNSON-SIRLEAF, Ellen",UP,164,462
Montserrado,30007 ,4,"Sarah Barclay Sr High Sc, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,372,1,373,"WEAH, George Manneh",CDC,208,462
Montserrado,30009 ,1,"Banjor Public Ele /jr High Sc , Virginia ",President/Vice-President Runoff ,2005,Presidential,2,394,6,400,"JOHNSON-SIRLEAF, Ellen",UP,223,509
Montserrado,30009 ,1,"Banjor Public Ele /jr High Sc , Virginia ",President/Vice-President Runoff ,2005,Presidential,2,394,6,400,"WEAH, George Manneh",CDC,171,509
Montserrado,30009 ,4,"Banjor Public Ele /jr High Sc , Virginia ",President/Vice-President Runoff ,2005,Presidential,2,400,25,425,"JOHNSON-SIRLEAF, Ellen",UP,233,559
Montserrado,30009 ,4,"Banjor Public Ele /jr High Sc , Virginia ",President/Vice-President Runoff ,2005,Presidential,2,400,25,425,"WEAH, George Manneh",CDC,167,559
Montserrado,30010 ,3,"Red Hill Community, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,308,10,318,"JOHNSON-SIRLEAF, Ellen",UP,174,457
Montserrado,30010 ,3,"Red Hill Community, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,308,10,318,"WEAH, George Manneh",CDC,134,457
Montserrado,30013 ,1,"Isaac G Tondo Public Sch, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,64,0,64,"JOHNSON-SIRLEAF, Ellen",UP,37,108
Montserrado,30013 ,1,"Isaac G Tondo Public Sch, Virginia ",President/Vice-President Runoff ,2005,Presidential,2,64,0,64,"WEAH, George Manneh",CDC,27,108
Montserrado,30015 ,2,"Ag Bible School, Brew ersville ",President/Vice-President Runoff ,2005,Presidential,2,276,0,276,"JOHNSON-SIRLEAF, Ellen",UP,181,409
Montserrado,30015 ,2,"Ag Bible School, Brew ersville ",President/Vice-President Runoff ,2005,Presidential,2,276,0,276,"WEAH, George Manneh",CDC,95,409
Montserrado,30016 ,3,"Triump Church Mission School, Brew ersville ",President/Vice-President Runoff ,2005,Presidential,2,325,8,333,"JOHNSON-SIRLEAF, Ellen",UP,203,453
Montserrado,30016 ,3,"Triump Church Mission School, Brew ersville ",President/Vice-President Runoff ,2005,Presidential,2,325,8,333,"WEAH, George Manneh",CDC,122,453
