election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
RiverGee,42001 ,1,"Public School , Kanw eaken ",President/Vice-President Runoff ,2005,Presidential,2,217,8,225,"JOHNSON-SIRLEAF, Ellen",UP,67,531
RiverGee,42001 ,1,"Public School , Kanw eaken ",President/Vice-President Runoff ,2005,Presidential,2,217,8,225,"WEAH, George Manneh",CDC,150,531
RiverGee,42001 ,4,"Public School , Kanw eaken ",President/Vice-President Runoff ,2005,Presidential,2,242,3,245,"JOHNSON-SIRLEAF, Ellen",UP,80,543
RiverGee,42001 ,4,"Public School , Kanw eaken ",President/Vice-President Runoff ,2005,Presidential,2,242,3,245,"WEAH, George Manneh",CDC,162,543
RiverGee,42003 ,1,"School, Pronoken ",President/Vice-President Runoff ,2005,Presidential,2,197,10,207,"JOHNSON-SIRLEAF, Ellen",UP,39,405
RiverGee,42003 ,1,"School, Pronoken ",President/Vice-President Runoff ,2005,Presidential,2,197,10,207,"WEAH, George Manneh",CDC,158,405
RiverGee,42004 ,2,"Public School , Joquiken ",President/Vice-President Runoff ,2005,Presidential,2,207,3,210,"JOHNSON-SIRLEAF, Ellen",UP,22,519
RiverGee,42004 ,2,"Public School , Joquiken ",President/Vice-President Runoff ,2005,Presidential,2,207,3,210,"WEAH, George Manneh",CDC,185,519
RiverGee,42006 ,1,"Public School , Jarkaken ",President/Vice-President Runoff ,2005,Presidential,2,147,4,151,"JOHNSON-SIRLEAF, Ellen",UP,30,511
RiverGee,42006 ,1,"Public School , Jarkaken ",President/Vice-President Runoff ,2005,Presidential,2,147,4,151,"WEAH, George Manneh",CDC,117,511
RiverGee,42006 ,4,"Public School , Jarkaken ",President/Vice-President Runoff ,2005,Presidential,2,141,2,143,"JOHNSON-SIRLEAF, Ellen",UP,41,540
RiverGee,42006 ,4,"Public School , Jarkaken ",President/Vice-President Runoff ,2005,Presidential,2,141,2,143,"WEAH, George Manneh",CDC,100,540
RiverGee,42008 ,1,"Public School , Chergboken ",President/Vice-President Runoff ,2005,Presidential,2,145,3,148,"JOHNSON-SIRLEAF, Ellen",UP,23,479
RiverGee,42008 ,1,"Public School , Chergboken ",President/Vice-President Runoff ,2005,Presidential,2,145,3,148,"WEAH, George Manneh",CDC,122,479
RiverGee,42009 ,1,"School, Nyonken ",President/Vice-President Runoff ,2005,Presidential,2,155,1,156,"JOHNSON-SIRLEAF, Ellen",UP,5,571
RiverGee,42009 ,1,"School, Nyonken ",President/Vice-President Runoff ,2005,Presidential,2,155,1,156,"WEAH, George Manneh",CDC,150,571
RiverGee,42010 ,2,"City Hall, Fishtow n ",President/Vice-President Runoff ,2005,Presidential,2,212,4,216,"JOHNSON-SIRLEAF, Ellen",UP,143,449
RiverGee,42010 ,2,"City Hall, Fishtow n ",President/Vice-President Runoff ,2005,Presidential,2,212,4,216,"WEAH, George Manneh",CDC,69,449
RiverGee,42011 ,2,"School, Jaytoken ",President/Vice-President Runoff ,2005,Presidential,2,165,2,167,"JOHNSON-SIRLEAF, Ellen",UP,51,318
RiverGee,42011 ,2,"School, Jaytoken ",President/Vice-President Runoff ,2005,Presidential,2,165,2,167,"WEAH, George Manneh",CDC,114,318
RiverGee,42013 ,2,"School, Sarbo Sw eaken ",President/Vice-President Runoff ,2005,Presidential,2,227,10,237,"JOHNSON-SIRLEAF, Ellen",UP,135,478
RiverGee,42013 ,2,"School, Sarbo Sw eaken ",President/Vice-President Runoff ,2005,Presidential,2,227,10,237,"WEAH, George Manneh",CDC,92,478
RiverGee,42014 ,3,"School, Yassaken ",President/Vice-President Runoff ,2005,Presidential,2,236,0,236,"JOHNSON-SIRLEAF, Ellen",UP,102,503
RiverGee,42014 ,3,"School, Yassaken ",President/Vice-President Runoff ,2005,Presidential,2,236,0,236,"WEAH, George Manneh",CDC,134,503
RiverGee,42016 ,1,"Tow n Hall , Toubo Sw eaken ",President/Vice-President Runoff ,2005,Presidential,2,228,0,228,"JOHNSON-SIRLEAF, Ellen",UP,189,497
