"Precinct: 06001 ","Polling Place: ",1,,,"Precinct: 06002 ","Polling Place: ",1,,,"Precinct: 06003 ","Polling Place: ",1,,
"Glenkormah Hut, Glenkormah ",,,,,"Jornkai Palava Hut, Jornkai ",,,,,"Yaidew uan Palava Hut, Yaindew uan",,,,
"Registered Voters: ",549,,,,"Registered Voters: ",197,,,,"Registered Voters: ",485,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,149,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,61,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,84
"WEAH, George Manneh (CDC) ",,,,98,"WEAH, George Manneh (CDC) ",,,,34,"WEAH, George Manneh (CDC) ",,,,107
,"Valid Votes: ",,,247,,"Valid Votes: ",,,95,,"Valid Votes: ",,,191
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,4
,"Total Votes: ",,,257,,"Total Votes: ",,,96,,"Total Votes: ",,,195
"Precinct: 06003 ","Polling Place: ",2,,,"Precinct: 06004 ","Polling Place: ",1,,,"Precinct: 06004 ","Polling Place: ",2,,
"Yaidew uan Palava Hut, Yaindew uan ",,,,,"Garuw oquelleh Palava Hut, Garuw oquelleh ",,,,,"Garuw oquelleh Palava Hut, Garuw oquelleh",,,,
"Registered Voters: ",511,,,,"Registered Voters: ",489,,,,"Registered Voters: ",499,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,94,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,181,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,169
"WEAH, George Manneh (CDC) ",,,,102,"WEAH, George Manneh (CDC) ",,,,47,"WEAH, George Manneh (CDC) ",,,,78
,"Valid Votes: ",,,196,,"Valid Votes: ",,,228,,"Valid Votes: ",,,247
,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,9
,"Total Votes: ",,,207,,"Total Votes: ",,,240,,"Total Votes: ",,,256
"Precinct: 06005 ","Polling Place: ",1,,,"Precinct: 06006 ","Polling Place: ",1,,,"Precinct: 06007 ","Polling Place: ",1,,
"Kornie Palava Hut, Kornie ",,,,,"Belefanai Palava Hut, Belefanai ",,,,,"Sinyea Public School, Sinyea Tow n",,,,
"Registered Voters: ",317,,,,"Registered Voters: ",430,,,,"Registered Voters: ",517,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,32,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,320,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,221
"WEAH, George Manneh (CDC) ",,,,122,"WEAH, George Manneh (CDC) ",,,,19,"WEAH, George Manneh (CDC) ",,,,66
,"Valid Votes: ",,,154,,"Valid Votes: ",,,339,,"Valid Votes: ",,,287
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,12
,"Total Votes: ",,,163,,"Total Votes: ",,,341,,"Total Votes: ",,,299
"Precinct: 06007 ","Polling Place: ",2,,,"Precinct: 06008 ","Polling Place: ",1,,,"Precinct: 06009 ","Polling Place: ",1,,
"Sinyea Public School, Sinyea Tow n ",,,,,"Balamah Hut, Balamah Tow n ",,,,,"Garlai School, Garlai",,,,
"Registered Voters: ",513,,,,"Registered Voters: ",528,,,,"Registered Voters: ",305,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,200,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,265,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,101
"WEAH, George Manneh (CDC) ",,,,87,"WEAH, George Manneh (CDC) ",,,,154,"WEAH, George Manneh (CDC) ",,,,66
,"Valid Votes: ",,,287,,"Valid Votes: ",,,419,,"Valid Votes: ",,,167
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,8
