"Precinct: 18001 ","Polling Place: ",1,,,"Precinct: 18001 ","Polling Place: ",2,,,"Precinct: 18002 ","Polling Place: ",1,,
"Sasstow n High School, Sasstow n City ",,,,,"Sasstow n High School, Sasstow n City ",,,,,"Nrokw a Public School, Nrokw a",,,,
"Registered Voters: ",347,,,,"Registered Voters: ",322,,,,"Registered Voters: ",439,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,4,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,6,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,8
"WEAH, George Manneh (CDC) ",,,,251,"WEAH, George Manneh (CDC) ",,,,212,"WEAH, George Manneh (CDC) ",,,,251
,"Valid Votes: ",,,255,,"Valid Votes: ",,,218,,"Valid Votes: ",,,259
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,17,,"Invalid Votes: ",,,12
,"Total Votes: ",,,260,,"Total Votes: ",,,235,,"Total Votes: ",,,271
"Precinct: 18002 ","Polling Place: ",2,,,"Precinct: 18003 ","Polling Place: ",1,,,"Precinct: 18004 ","Polling Place: ",1,,
"Nrokw a Public School, Nrokw a ",,,,,"Betu Public School, Betu ",,,,,"Nifu Public School, Nifu",,,,
"Registered Voters: ",442,,,,"Registered Voters: ",205,,,,"Registered Voters: ",331,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,6,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,15,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,8
"WEAH, George Manneh (CDC) ",,,,280,"WEAH, George Manneh (CDC) ",,,,137,"WEAH, George Manneh (CDC) ",,,,204
,"Valid Votes: ",,,286,,"Valid Votes: ",,,152,,"Valid Votes: ",,,212
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,1
,"Total Votes: ",,,294,,"Total Votes: ",,,164,,"Total Votes: ",,,213
"Precinct: 18004 ","Polling Place: ",2,,,"Precinct: 18005 ","Polling Place: ",1,,,"Precinct: 18006 ","Polling Place: ",1,,
"Nifu Public School, Nifu ",,,,,"Neroh Oublic School, Neroh ",,,,,"Niplekpo Public School, Niplekpo",,,,
"Registered Voters: ",356,,,,"Registered Voters: ",224,,,,"Registered Voters: ",51,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,7,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,3,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,7
"WEAH, George Manneh (CDC) ",,,,221,"WEAH, George Manneh (CDC) ",,,,108,"WEAH, George Manneh (CDC) ",,,,41
,"Valid Votes: ",,,228,,"Valid Votes: ",,,111,,"Valid Votes: ",,,48
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,3
