"Precinct: 33001 ","Polling Place: ",1,,,"Precinct: 33001 ","Polling Place: ",2,,,"Precinct: 33001 ","Polling Place: ",3,,
"Duayee Palava Hut, Duayee ",,,,,"Duayee Palava Hut, Duayee ",,,,,"Duayee Palava Hut, Duayee",,,,
"Registered Voters: ",554,,,,"Registered Voters: ",542,,,,"Registered Voters: ",536,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,336,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,292,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,189
"WEAH, George Manneh (CDC) ",,,,15,"WEAH, George Manneh (CDC) ",,,,12,"WEAH, George Manneh (CDC) ",,,,25
,"Valid Votes: ",,,351,,"Valid Votes: ",,,304,,"Valid Votes: ",,,214
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0
,"Total Votes: ",,,353,,"Total Votes: ",,,304,,"Total Votes: ",,,214
"Precinct: 33002 ","Polling Place: ",1,,,"Precinct: 33002 ","Polling Place: ",2,,,"Precinct: 33003 ","Polling Place: ",1,,
"Garw anpa Palava Hut, Garw anpa ",,,,,"Garw anpa Palava Hut, Garw anpa ",,,,,"Guahnw ein Palava Hut, Guahnw ein",,,,
"Registered Voters: ",433,,,,"Registered Voters: ",437,,,,"Registered Voters: ",379,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,170,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,165,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,345
"WEAH, George Manneh (CDC) ",,,,10,"WEAH, George Manneh (CDC) ",,,,11,"WEAH, George Manneh (CDC) ",,,,15
,"Valid Votes: ",,,180,,"Valid Votes: ",,,176,,"Valid Votes: ",,,360
,"Invalid Votes: ",,,18,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,8
,"Total Votes: ",,,198,,"Total Votes: ",,,183,,"Total Votes: ",,,368
"Precinct: 33004 ","Polling Place: ",1,,,"Precinct: 33004 ","Polling Place: ",2,,,"Precinct: 33004 ","Polling Place: ",3,,
"Civil Compound, Saclepea ",,,,,"Civil Compound, Saclepea ",,,,,"Civil Compound, Saclepea",,,,
"Registered Voters: ",490,,,,"Registered Voters: ",519,,,,"Registered Voters: ",495,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,207,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,250,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,246
