election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
Bong,06001 ,1,"Glenkormah Hut, Glenkormah ",President/Vice-President Runoff ,2005,Presidential,2,247,10,257,"JOHNSON-SIRLEAF, Ellen",UP,149,549
Bong,06001 ,1,"Glenkormah Hut, Glenkormah ",President/Vice-President Runoff ,2005,Presidential,2,247,10,257,"WEAH, George Manneh",CDC,98,549
Bong,06003 ,2,"Yaidew uan Palava Hut, Yaindew uan ",President/Vice-President Runoff ,2005,Presidential,2,196,11,207,"JOHNSON-SIRLEAF, Ellen",UP,94,511
Bong,06003 ,2,"Yaidew uan Palava Hut, Yaindew uan ",President/Vice-President Runoff ,2005,Presidential,2,196,11,207,"WEAH, George Manneh",CDC,102,511
Bong,06005 ,1,"Kornie Palava Hut, Kornie ",President/Vice-President Runoff ,2005,Presidential,2,154,9,163,"JOHNSON-SIRLEAF, Ellen",UP,32,317
Bong,06005 ,1,"Kornie Palava Hut, Kornie ",President/Vice-President Runoff ,2005,Presidential,2,154,9,163,"WEAH, George Manneh",CDC,122,317
Bong,06007 ,2,"Sinyea Public School, Sinyea Tow n ",President/Vice-President Runoff ,2005,Presidential,2,287,8,295,"JOHNSON-SIRLEAF, Ellen",UP,200,513
Bong,06007 ,2,"Sinyea Public School, Sinyea Tow n ",President/Vice-President Runoff ,2005,Presidential,2,287,8,295,"WEAH, George Manneh",CDC,87,513
Bong,06010 ,1,"Guermue Palava Hut, Guermue ",President/Vice-President Runoff ,2005,Presidential,2,178,3,181,"JOHNSON-SIRLEAF, Ellen",UP,147,356
Bong,06010 ,1,"Guermue Palava Hut, Guermue ",President/Vice-President Runoff ,2005,Presidential,2,178,3,181,"WEAH, George Manneh",CDC,31,356
Bong,06011 ,2,"Kronenah, Kronenah ",President/Vice-President Runoff ,2005,Presidential,2,238,20,258,"JOHNSON-SIRLEAF, Ellen",UP,183,523
Bong,06011 ,2,"Kronenah, Kronenah ",President/Vice-President Runoff ,2005,Presidential,2,238,20,258,"WEAH, George Manneh",CDC,55,523
Bong,06013 ,1,"Mononkpanga Public School, Mononkpanga ",President/Vice-President Runoff ,2005,Presidential,2,180,8,188,"JOHNSON-SIRLEAF, Ellen",UP,101,434
Bong,06013 ,1,"Mononkpanga Public School, Mononkpanga ",President/Vice-President Runoff ,2005,Presidential,2,180,8,188,"WEAH, George Manneh",CDC,79,434
Bong,06014 ,3,"Cuttington Campus, Cuttington Campus ",President/Vice-President Runoff ,2005,Presidential,2,291,3,294,"JOHNSON-SIRLEAF, Ellen",UP,241,432
Bong,06014 ,3,"Cuttington Campus, Cuttington Campus ",President/Vice-President Runoff ,2005,Presidential,2,291,3,294,"WEAH, George Manneh",CDC,50,432
Bong,06015 ,3,"Phebe Compound, Phebe Compound ",President/Vice-President Runoff ,2005,Presidential,2,262,4,266,"JOHNSON-SIRLEAF, Ellen",UP,219,468
Bong,06015 ,3,"Phebe Compound, Phebe Compound ",President/Vice-President Runoff ,2005,Presidential,2,262,4,266,"WEAH, George Manneh",CDC,43,468
Bong,06016 ,2,"Gbartala Para. Chief Office, Gbartala Tow n ",President/Vice-President Runoff ,2005,Presidential,2,206,11,217,"JOHNSON-SIRLEAF, Ellen",UP,155,524
Bong,06016 ,2,"Gbartala Para. Chief Office, Gbartala Tow n ",President/Vice-President Runoff ,2005,Presidential,2,206,11,217,"WEAH, George Manneh",CDC,51,524
