election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n ",President/Vice-President Runoff ,2005,Presidential,2,217,17,234,"JOHNSON-SIRLEAF, Ellen",UP,153,482
GrandCapeMount,12001 ,1,"Sanje Public School Building , Sanje Tow n ",President/Vice-President Runoff ,2005,Presidential,2,217,17,234,"WEAH, George Manneh",CDC,64,482
GrandCapeMount,12001 ,4,"Sanje Public School Building , Sanje Tow n ",President/Vice-President Runoff ,2005,Presidential,2,216,6,222,"JOHNSON-SIRLEAF, Ellen",UP,155,498
GrandCapeMount,12001 ,4,"Sanje Public School Building , Sanje Tow n ",President/Vice-President Runoff ,2005,Presidential,2,216,6,222,"WEAH, George Manneh",CDC,61,498
GrandCapeMount,12002 ,2,"Jundu Public School, Jundu Tow n ",President/Vice-President Runoff ,2005,Presidential,2,191,1,192,"JOHNSON-SIRLEAF, Ellen",UP,158,380
GrandCapeMount,12002 ,2,"Jundu Public School, Jundu Tow n ",President/Vice-President Runoff ,2005,Presidential,2,191,1,192,"WEAH, George Manneh",CDC,33,380
GrandCapeMount,12004 ,1,"Madina Public School, Madina Tow n ",President/Vice-President Runoff ,2005,Presidential,2,241,14,255,"JOHNSON-SIRLEAF, Ellen",UP,148,571
GrandCapeMount,12004 ,1,"Madina Public School, Madina Tow n ",President/Vice-President Runoff ,2005,Presidential,2,241,14,255,"WEAH, George Manneh",CDC,93,571
GrandCapeMount,12004 ,4,"Madina Public School, Madina Tow n ",President/Vice-President Runoff ,2005,Presidential,2,243,9,252,"JOHNSON-SIRLEAF, Ellen",UP,150,627
GrandCapeMount,12004 ,4,"Madina Public School, Madina Tow n ",President/Vice-President Runoff ,2005,Presidential,2,243,9,252,"WEAH, George Manneh",CDC,93,627
GrandCapeMount,12006 ,1,"Zaw ay Public School, Zaw ay ",President/Vice-President Runoff ,2005,Presidential,2,144,6,150,"JOHNSON-SIRLEAF, Ellen",UP,118,328
GrandCapeMount,12006 ,1,"Zaw ay Public School, Zaw ay ",President/Vice-President Runoff ,2005,Presidential,2,144,6,150,"WEAH, George Manneh",CDC,26,328
GrandCapeMount,12008 ,1,"Gononamalan Public School, Gonolo ",President/Vice-President Runoff ,2005,Presidential,2,146,12,158,"JOHNSON-SIRLEAF, Ellen",UP,106,453
GrandCapeMount,12008 ,1,"Gononamalan Public School, Gonolo ",President/Vice-President Runoff ,2005,Presidential,2,146,12,158,"WEAH, George Manneh",CDC,40,453
GrandCapeMount,12010 ,1,"Robers City Hall, Robersport City ",President/Vice-President Runoff ,2005,Presidential,2,344,19,363,"JOHNSON-SIRLEAF, Ellen",UP,215,601
GrandCapeMount,12010 ,1,"Robers City Hall, Robersport City ",President/Vice-President Runoff ,2005,Presidential,2,344,19,363,"WEAH, George Manneh",CDC,129,601
GrandCapeMount,12011 ,1,"Sembehum Tow n Hall , Sembuhum ",President/Vice-President Runoff ,2005,Presidential,2,143,5,148,"JOHNSON-SIRLEAF, Ellen",UP,114,218
GrandCapeMount,12011 ,1,"Sembehum Tow n Hall , Sembuhum ",President/Vice-President Runoff ,2005,Presidential,2,143,5,148,"WEAH, George Manneh",CDC,29,218
GrandCapeMount,12013 ,2,"Than Public School, Than Tow n ",President/Vice-President Runoff ,2005,Presidential,2,265,6,271,"JOHNSON-SIRLEAF, Ellen",UP,202,496
GrandCapeMount,12013 ,2,"Than Public School, Than Tow n ",President/Vice-President Runoff ,2005,Presidential,2,265,6,271,"WEAH, George Manneh",CDC,63,496
GrandCapeMount,12016 ,1,"Mana Gordua Tow n Hall, Mana Gordua Tow n ",President/Vice-President Runoff ,2005,Presidential,2,280,12,292,"JOHNSON-SIRLEAF, Ellen",UP,117,509
GrandCapeMount,12016 ,1,"Mana Gordua Tow n Hall, Mana Gordua Tow n ",President/Vice-President Runoff ,2005,Presidential,2,280,12,292,"WEAH, George Manneh",CDC,163,509
GrandCapeMount,12017 ,3,"Lofa Bridge Community School, Lofa Bridge ",President/Vice-President Runoff ,2005,Presidential,2,248,6,254,"JOHNSON-SIRLEAF, Ellen",UP,151,509
