election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
GrandGedeh,15001 ,1,"Toe Tow n Public School, Toe Tow n ",President/Vice-President Runoff ,2005,Presidential,2,320,2,322,"JOHNSON-SIRLEAF, Ellen",UP,7,500
GrandGedeh,15001 ,1,"Toe Tow n Public School, Toe Tow n ",President/Vice-President Runoff ,2005,Presidential,2,320,2,322,"WEAH, George Manneh",CDC,313,500
GrandGedeh,15001 ,4,"Toe Tow n Public School, Toe Tow n ",President/Vice-President Runoff ,2005,Presidential,2,377,5,382,"JOHNSON-SIRLEAF, Ellen",UP,5,533
GrandGedeh,15001 ,4,"Toe Tow n Public School, Toe Tow n ",President/Vice-President Runoff ,2005,Presidential,2,377,5,382,"WEAH, George Manneh",CDC,372,533
GrandGedeh,15003 ,2,"Duogee Tow n Public School, Duogee Tow n ",President/Vice-President Runoff ,2005,Presidential,2,318,1,319,"JOHNSON-SIRLEAF, Ellen",UP,1,331
GrandGedeh,15003 ,2,"Duogee Tow n Public School, Duogee Tow n ",President/Vice-President Runoff ,2005,Presidential,2,318,1,319,"WEAH, George Manneh",CDC,317,331
GrandGedeh,15005 ,1,"Gaye Tow n Public School, Gaye Tow n ",President/Vice-President Runoff ,2005,Presidential,2,343,2,345,"JOHNSON-SIRLEAF, Ellen",UP,10,372
GrandGedeh,15005 ,1,"Gaye Tow n Public School, Gaye Tow n ",President/Vice-President Runoff ,2005,Presidential,2,343,2,345,"WEAH, George Manneh",CDC,333,372
GrandGedeh,15007 ,1,"Polar Tow n Public School, Polar Tow n ",President/Vice-President Runoff ,2005,Presidential,2,280,0,280,"JOHNSON-SIRLEAF, Ellen",UP,1,322
GrandGedeh,15007 ,1,"Polar Tow n Public School, Polar Tow n ",President/Vice-President Runoff ,2005,Presidential,2,280,0,280,"WEAH, George Manneh",CDC,279,322
GrandGedeh,15008 ,2,"Jarw odee Public School, Jarw odee Tow n ",President/Vice-President Runoff ,2005,Presidential,2,242,0,242,"JOHNSON-SIRLEAF, Ellen",UP,10,324
GrandGedeh,15008 ,2,"Jarw odee Public School, Jarw odee Tow n ",President/Vice-President Runoff ,2005,Presidential,2,242,0,242,"WEAH, George Manneh",CDC,232,324
GrandGedeh,15011 ,1,"Gbo-gew on Tow n Palava Hut, Gbo-gew on Tow n ",President/Vice-President Runoff ,2005,Presidential,2,308,2,310,"JOHNSON-SIRLEAF, Ellen",UP,14,541
GrandGedeh,15011 ,1,"Gbo-gew on Tow n Palava Hut, Gbo-gew on Tow n ",President/Vice-President Runoff ,2005,Presidential,2,308,2,310,"WEAH, George Manneh",CDC,294,541
GrandGedeh,15013 ,1,"Bargoblor Public School, Bargbolor Tow n ",President/Vice-President Runoff ,2005,Presidential,2,342,0,342,"JOHNSON-SIRLEAF, Ellen",UP,0,370
GrandGedeh,15013 ,1,"Bargoblor Public School, Bargbolor Tow n ",President/Vice-President Runoff ,2005,Presidential,2,342,0,342,"WEAH, George Manneh",CDC,342,370
GrandGedeh,15014 ,2,"Tuzon Tow n Public School, Tuzon Tow n ",President/Vice-President Runoff ,2005,Presidential,2,374,0,374,"JOHNSON-SIRLEAF, Ellen",UP,0,377
GrandGedeh,15014 ,2,"Tuzon Tow n Public School, Tuzon Tow n ",President/Vice-President Runoff ,2005,Presidential,2,374,0,374,"WEAH, George Manneh",CDC,374,377
GrandGedeh,15016 ,1,"City Hall Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,305,1,306,"JOHNSON-SIRLEAF, Ellen",UP,9,464
GrandGedeh,15016 ,1,"City Hall Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,305,1,306,"WEAH, George Manneh",CDC,296,464
GrandGedeh,15016 ,4,"City Hall Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,325,4,329,"JOHNSON-SIRLEAF, Ellen",UP,16,505
GrandGedeh,15016 ,4,"City Hall Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,325,4,329,"WEAH, George Manneh",CDC,309,505
GrandGedeh,15017 ,3,"Mult.high School Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,319,5,324,"JOHNSON-SIRLEAF, Ellen",UP,22,495
GrandGedeh,15017 ,3,"Mult.high School Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,319,5,324,"WEAH, George Manneh",CDC,297,495
GrandGedeh,15018 ,3,"Loic Building Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,319,6,325,"JOHNSON-SIRLEAF, Ellen",UP,39,496
GrandGedeh,15018 ,3,"Loic Building Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,319,6,325,"WEAH, George Manneh",CDC,280,496
GrandGedeh,15019 ,2,"Niabo Quarter School Building Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,346,4,350,"JOHNSON-SIRLEAF, Ellen",UP,13,495
GrandGedeh,15019 ,2,"Niabo Quarter School Building Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,346,4,350,"WEAH, George Manneh",CDC,333,495
GrandGedeh,15020 ,2,"Suah Quarter School Building Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,345,11,356,"JOHNSON-SIRLEAF, Ellen",UP,29,559
GrandGedeh,15020 ,2,"Suah Quarter School Building Zw edru, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,345,11,356,"WEAH, George Manneh",CDC,316,559
GrandGedeh,15021 ,2,"Webbo Quarter Library, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,337,8,345,"JOHNSON-SIRLEAF, Ellen",UP,23,494
GrandGedeh,15021 ,2,"Webbo Quarter Library, Zw edru ",President/Vice-President Runoff ,2005,Presidential,2,337,8,345,"WEAH, George Manneh",CDC,314,494
