election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
GrandKru,18001 ,1,"Sasstow n High School, Sasstow n City ",President/Vice-President Runoff ,2005,Presidential,2,255,5,260,"JOHNSON-SIRLEAF, Ellen",UP,4,347
GrandKru,18001 ,1,"Sasstow n High School, Sasstow n City ",President/Vice-President Runoff ,2005,Presidential,2,255,5,260,"WEAH, George Manneh",CDC,251,347
GrandKru,18002 ,2,"Nrokw a Public School, Nrokw a ",President/Vice-President Runoff ,2005,Presidential,2,286,8,294,"JOHNSON-SIRLEAF, Ellen",UP,6,442
GrandKru,18002 ,2,"Nrokw a Public School, Nrokw a ",President/Vice-President Runoff ,2005,Presidential,2,286,8,294,"WEAH, George Manneh",CDC,280,442
GrandKru,18004 ,2,"Nifu Public School, Nifu ",President/Vice-President Runoff ,2005,Presidential,2,228,0,228,"JOHNSON-SIRLEAF, Ellen",UP,7,356
GrandKru,18004 ,2,"Nifu Public School, Nifu ",President/Vice-President Runoff ,2005,Presidential,2,228,0,228,"WEAH, George Manneh",CDC,221,356
GrandKru,18007 ,1,"F.f. Doe Junior High School, Barforw in ",President/Vice-President Runoff ,2005,Presidential,2,249,7,256,"JOHNSON-SIRLEAF, Ellen",UP,12,561
GrandKru,18007 ,1,"F.f. Doe Junior High School, Barforw in ",President/Vice-President Runoff ,2005,Presidential,2,249,7,256,"WEAH, George Manneh",CDC,237,561
GrandKru,18010 ,1,"Ambrose Worjloh Elementary School, Doesw en ",President/Vice-President Runoff ,2005,Presidential,2,190,2,192,"JOHNSON-SIRLEAF, Ellen",UP,8,396
GrandKru,18010 ,1,"Ambrose Worjloh Elementary School, Doesw en ",President/Vice-President Runoff ,2005,Presidential,2,190,2,192,"WEAH, George Manneh",CDC,182,396
GrandKru,18012 ,2,"Buah Jr. High School, Gee City ",President/Vice-President Runoff ,2005,Presidential,2,211,3,214,"JOHNSON-SIRLEAF, Ellen",UP,6,479
GrandKru,18012 ,2,"Buah Jr. High School, Gee City ",President/Vice-President Runoff ,2005,Presidential,2,211,3,214,"WEAH, George Manneh",CDC,205,479
GrandKru,18015 ,1,"Dw eken Elementary School, Dw eken ",President/Vice-President Runoff ,2005,Presidential,2,203,10,213,"JOHNSON-SIRLEAF, Ellen",UP,23,390
GrandKru,18015 ,1,"Dw eken Elementary School, Dw eken ",President/Vice-President Runoff ,2005,Presidential,2,203,10,213,"WEAH, George Manneh",CDC,180,390
