election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
Lofa,21001 ,1,"Gleh El & Jr High School, Ganglota ",President/Vice-President Runoff ,2005,Presidential,2,307,6,313,"JOHNSON-SIRLEAF, Ellen",UP,259,542
Lofa,21001 ,1,"Gleh El & Jr High School, Ganglota ",President/Vice-President Runoff ,2005,Presidential,2,307,6,313,"WEAH, George Manneh",CDC,48,542
Lofa,21004 ,1,"Gbongie Tow n Hall, Gbongie ",President/Vice-President Runoff ,2005,Presidential,2,143,9,152,"JOHNSON-SIRLEAF, Ellen",UP,94,228
Lofa,21004 ,1,"Gbongie Tow n Hall, Gbongie ",President/Vice-President Runoff ,2005,Presidential,2,143,9,152,"WEAH, George Manneh",CDC,49,228
Lofa,21007 ,1,"Kpayakole Tow n Hall, Kpayakole ",President/Vice-President Runoff ,2005,Presidential,2,172,6,178,"JOHNSON-SIRLEAF, Ellen",UP,124,286
Lofa,21007 ,1,"Kpayakole Tow n Hall, Kpayakole ",President/Vice-President Runoff ,2005,Presidential,2,172,6,178,"WEAH, George Manneh",CDC,48,286
Lofa,21009 ,1,"Telimu Tow n Hall , Telimu ",President/Vice-President Runoff ,2005,Presidential,2,164,2,166,"JOHNSON-SIRLEAF, Ellen",UP,109,280
Lofa,21009 ,1,"Telimu Tow n Hall , Telimu ",President/Vice-President Runoff ,2005,Presidential,2,164,2,166,"WEAH, George Manneh",CDC,55,280
Lofa,21010 ,3,"Salayea Public School, Salayea ",President/Vice-President Runoff ,2005,Presidential,2,273,11,284,"JOHNSON-SIRLEAF, Ellen",UP,192,570
Lofa,21010 ,3,"Salayea Public School, Salayea ",President/Vice-President Runoff ,2005,Presidential,2,273,11,284,"WEAH, George Manneh",CDC,81,570
Lofa,21012 ,2,"Yarpuah Public School , Yarpuah ",President/Vice-President Runoff ,2005,Presidential,2,212,4,216,"JOHNSON-SIRLEAF, Ellen",UP,202,380
Lofa,21012 ,2,"Yarpuah Public School , Yarpuah ",President/Vice-President Runoff ,2005,Presidential,2,212,4,216,"WEAH, George Manneh",CDC,10,380
Lofa,21014 ,1,"Gbanw ay Public School, Gbanw ay ",President/Vice-President Runoff ,2005,Presidential,2,240,8,248,"JOHNSON-SIRLEAF, Ellen",UP,230,385
Lofa,21014 ,1,"Gbanw ay Public School, Gbanw ay ",President/Vice-President Runoff ,2005,Presidential,2,240,8,248,"WEAH, George Manneh",CDC,10,385
Lofa,21016 ,1,"Guzal Public School, Zolow o ",President/Vice-President Runoff ,2005,Presidential,2,185,3,188,"JOHNSON-SIRLEAF, Ellen",UP,152,441
Lofa,21016 ,1,"Guzal Public School, Zolow o ",President/Vice-President Runoff ,2005,Presidential,2,185,3,188,"WEAH, George Manneh",CDC,33,441
Lofa,21017 ,1,"Guzal Public School 11, Zolow o ",President/Vice-President Runoff ,2005,Presidential,2,160,7,167,"JOHNSON-SIRLEAF, Ellen",UP,121,503
Lofa,21017 ,1,"Guzal Public School 11, Zolow o ",President/Vice-President Runoff ,2005,Presidential,2,160,7,167,"WEAH, George Manneh",CDC,39,503
Lofa,21019 ,2,"Zorzor Public School 11, Zorzor Tow n ",President/Vice-President Runoff ,2005,Presidential,2,189,15,204,"JOHNSON-SIRLEAF, Ellen",UP,137,533
Lofa,21019 ,2,"Zorzor Public School 11, Zorzor Tow n ",President/Vice-President Runoff ,2005,Presidential,2,189,15,204,"WEAH, George Manneh",CDC,52,533
