election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
Nimba,33001 ,1,"Duayee Palava Hut, Duayee ",President/Vice-President Runoff ,2005,Presidential,2,351,2,353,"JOHNSON-SIRLEAF, Ellen",UP,336,554
Nimba,33001 ,1,"Duayee Palava Hut, Duayee ",President/Vice-President Runoff ,2005,Presidential,2,351,2,353,"WEAH, George Manneh",CDC,15,554
Nimba,33002 ,1,"Garw anpa Palava Hut, Garw anpa ",President/Vice-President Runoff ,2005,Presidential,2,180,18,198,"JOHNSON-SIRLEAF, Ellen",UP,170,433
Nimba,33002 ,1,"Garw anpa Palava Hut, Garw anpa ",President/Vice-President Runoff ,2005,Presidential,2,180,18,198,"WEAH, George Manneh",CDC,10,433
Nimba,33004 ,1,"Civil Compound, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,281,10,291,"JOHNSON-SIRLEAF, Ellen",UP,207,490
Nimba,33004 ,1,"Civil Compound, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,281,10,291,"WEAH, George Manneh",CDC,74,490
Nimba,33004 ,4,"Civil Compound, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,300,15,315,"JOHNSON-SIRLEAF, Ellen",UP,215,501
Nimba,33004 ,4,"Civil Compound, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,300,15,315,"WEAH, George Manneh",CDC,85,501
Nimba,33005 ,2,"S.d. Palava Hut, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,224,4,228,"JOHNSON-SIRLEAF, Ellen",UP,170,567
Nimba,33005 ,2,"S.d. Palava Hut, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,224,4,228,"WEAH, George Manneh",CDC,54,567
Nimba,33006 ,2,"Johnny Voker School, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,250,6,256,"JOHNSON-SIRLEAF, Ellen",UP,183,529
Nimba,33006 ,2,"Johnny Voker School, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,250,6,256,"WEAH, George Manneh",CDC,67,529
Nimba,33006 ,5,"Johnny Voker School, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,252,10,262,"JOHNSON-SIRLEAF, Ellen",UP,177,529
Nimba,33006 ,5,"Johnny Voker School, Saclepea ",President/Vice-President Runoff ,2005,Presidential,2,252,10,262,"WEAH, George Manneh",CDC,75,529
Nimba,33008 ,1,"Kpaytuo Public School, Kpaytuo ",President/Vice-President Runoff ,2005,Presidential,2,394,2,396,"JOHNSON-SIRLEAF, Ellen",UP,303,578
Nimba,33008 ,1,"Kpaytuo Public School, Kpaytuo ",President/Vice-President Runoff ,2005,Presidential,2,394,2,396,"WEAH, George Manneh",CDC,91,578
Nimba,33009 ,1,"Kpow in Public School, Kpow in ",President/Vice-President Runoff ,2005,Presidential,2,247,5,252,"JOHNSON-SIRLEAF, Ellen",UP,214,410
Nimba,33009 ,1,"Kpow in Public School, Kpow in ",President/Vice-President Runoff ,2005,Presidential,2,247,5,252,"WEAH, George Manneh",CDC,33,410
Nimba,33010 ,3,"Gbanquoi Public School, Nyasein New  Tow n ",President/Vice-President Runoff ,2005,Presidential,2,190,6,196,"JOHNSON-SIRLEAF, Ellen",UP,144,465
Nimba,33010 ,3,"Gbanquoi Public School, Nyasein New  Tow n ",President/Vice-President Runoff ,2005,Presidential,2,190,6,196,"WEAH, George Manneh",CDC,46,465
Nimba,33011 ,2,"Bahnla Palava Hut, Bahnla ",President/Vice-President Runoff ,2005,Presidential,2,258,9,267,"JOHNSON-SIRLEAF, Ellen",UP,184,411
Nimba,33011 ,2,"Bahnla Palava Hut, Bahnla ",President/Vice-President Runoff ,2005,Presidential,2,258,9,267,"WEAH, George Manneh",CDC,74,411
Nimba,33013 ,1,"Duo Palava Hut, Duo ",President/Vice-President Runoff ,2005,Presidential,2,204,5,209,"JOHNSON-SIRLEAF, Ellen",UP,40,568
Nimba,33013 ,1,"Duo Palava Hut, Duo ",President/Vice-President Runoff ,2005,Presidential,2,204,5,209,"WEAH, George Manneh",CDC,164,568
Nimba,33014 ,2,"Bainakplela Palava Hut, Bainakplela ",President/Vice-President Runoff ,2005,Presidential,2,151,2,153,"JOHNSON-SIRLEAF, Ellen",UP,98,426
Nimba,33014 ,2,"Bainakplela Palava Hut, Bainakplela ",President/Vice-President Runoff ,2005,Presidential,2,151,2,153,"WEAH, George Manneh",CDC,53,426
Nimba,33016 ,1,"Bunadin Public School, Bunadin ",President/Vice-President Runoff ,2005,Presidential,2,195,7,202,"JOHNSON-SIRLEAF, Ellen",UP,157,492
Nimba,33016 ,1,"Bunadin Public School, Bunadin ",President/Vice-President Runoff ,2005,Presidential,2,195,7,202,"WEAH, George Manneh",CDC,38,492
Nimba,33017 ,1,"Sokopa Palava Hut, Sokopa ",President/Vice-President Runoff ,2005,Presidential,2,167,7,174,"JOHNSON-SIRLEAF, Ellen",UP,75,339
Nimba,33017 ,1,"Sokopa Palava Hut, Sokopa ",President/Vice-President Runoff ,2005,Presidential,2,167,7,174,"WEAH, George Manneh",CDC,92,339
Nimba,33018 ,3,"Kpein Palava Hut, Kpein ",President/Vice-President Runoff ,2005,Presidential,2,225,12,237,"JOHNSON-SIRLEAF, Ellen",UP,142,579
Nimba,33018 ,3,"Kpein Palava Hut, Kpein ",President/Vice-President Runoff ,2005,Presidential,2,225,12,237,"WEAH, George Manneh",CDC,83,579
Nimba,33020 ,1,"Baipa Public School, Baipa ",President/Vice-President Runoff ,2005,Presidential,2,160,16,176,"JOHNSON-SIRLEAF, Ellen",UP,94,465
Nimba,33020 ,1,"Baipa Public School, Baipa ",President/Vice-President Runoff ,2005,Presidential,2,160,16,176,"WEAH, George Manneh",CDC,66,465
Nimba,33021 ,1,"Flumpa Palava Hut, Flumpa ",President/Vice-President Runoff ,2005,Presidential,2,205,3,208,"JOHNSON-SIRLEAF, Ellen",UP,158,599
Nimba,33021 ,1,"Flumpa Palava Hut, Flumpa ",President/Vice-President Runoff ,2005,Presidential,2,205,3,208,"WEAH, George Manneh",CDC,47,599
Nimba,33021 ,4,"Flumpa Palava Hut, Flumpa ",President/Vice-President Runoff ,2005,Presidential,2,162,9,171,"JOHNSON-SIRLEAF, Ellen",UP,123,561
Nimba,33021 ,4,"Flumpa Palava Hut, Flumpa ",President/Vice-President Runoff ,2005,Presidential,2,162,9,171,"WEAH, George Manneh",CDC,39,561
Nimba,33023 ,1,"Gepoe Public School, Gepoe ",President/Vice-President Runoff ,2005,Presidential,2,252,5,257,"JOHNSON-SIRLEAF, Ellen",UP,183,545
Nimba,33023 ,1,"Gepoe Public School, Gepoe ",President/Vice-President Runoff ,2005,Presidential,2,252,5,257,"WEAH, George Manneh",CDC,69,545
Nimba,33024 ,2,"Cocopa Camp 4 School Compound, Cocopa 1 ",President/Vice-President Runoff ,2005,Presidential,2,437,26,463,"JOHNSON-SIRLEAF, Ellen",UP,389,596
Nimba,33024 ,2,"Cocopa Camp 4 School Compound, Cocopa 1 ",President/Vice-President Runoff ,2005,Presidential,2,437,26,463,"WEAH, George Manneh",CDC,48,596
Nimba,33026 ,1,"Karnw ee Palava Hut, Karnw ee ",President/Vice-President Runoff ,2005,Presidential,2,363,5,368,"JOHNSON-SIRLEAF, Ellen",UP,300,485
Nimba,33026 ,1,"Karnw ee Palava Hut, Karnw ee ",President/Vice-President Runoff ,2005,Presidential,2,363,5,368,"WEAH, George Manneh",CDC,63,485
Nimba,33027 ,1,"Kpallah Palava Hut, Kpallah ",President/Vice-President Runoff ,2005,Presidential,2,184,20,204,"JOHNSON-SIRLEAF, Ellen",UP,150,532
Nimba,33027 ,1,"Kpallah Palava Hut, Kpallah ",President/Vice-President Runoff ,2005,Presidential,2,184,20,204,"WEAH, George Manneh",CDC,34,532
Nimba,33028 ,1,"Burtein Palava Hut, Burtein ",President/Vice-President Runoff ,2005,Presidential,2,127,6,133,"JOHNSON-SIRLEAF, Ellen",UP,72,356
Nimba,33028 ,1,"Burtein Palava Hut, Burtein ",President/Vice-President Runoff ,2005,Presidential,2,127,6,133,"WEAH, George Manneh",CDC,55,356
Nimba,33029 ,2,"Boe Bounglay Public School, Boe Bounglay ",President/Vice-President Runoff ,2005,Presidential,2,243,2,245,"JOHNSON-SIRLEAF, Ellen",UP,237,461
Nimba,33029 ,2,"Boe Bounglay Public School, Boe Bounglay ",President/Vice-President Runoff ,2005,Presidential,2,243,2,245,"WEAH, George Manneh",CDC,6,461
Nimba,33030 ,2,"Sarbugentuo Public School, Sarbugentuo ",President/Vice-President Runoff ,2005,Presidential,2,203,6,209,"JOHNSON-SIRLEAF, Ellen",UP,133,509
Nimba,33030 ,2,"Sarbugentuo Public School, Sarbugentuo ",President/Vice-President Runoff ,2005,Presidential,2,203,6,209,"WEAH, George Manneh",CDC,70,509
Nimba,33031 ,3,"Tow eh Tow n Palava Hut, Tow eh Tow n ",President/Vice-President Runoff ,2005,Presidential,2,226,5,231,"JOHNSON-SIRLEAF, Ellen",UP,171,507
Nimba,33031 ,3,"Tow eh Tow n Palava Hut, Tow eh Tow n ",President/Vice-President Runoff ,2005,Presidential,2,226,5,231,"WEAH, George Manneh",CDC,55,507
Nimba,33033 ,1,"Louplay Public School, Louplay ",President/Vice-President Runoff ,2005,Presidential,2,228,4,232,"JOHNSON-SIRLEAF, Ellen",UP,215,485
Nimba,33033 ,1,"Louplay Public School, Louplay ",President/Vice-President Runoff ,2005,Presidential,2,228,4,232,"WEAH, George Manneh",CDC,13,485
Nimba,33033 ,4,"Louplay Public School, Louplay ",President/Vice-President Runoff ,2005,Presidential,2,264,3,267,"JOHNSON-SIRLEAF, Ellen",UP,237,499
Nimba,33033 ,4,"Louplay Public School, Louplay ",President/Vice-President Runoff ,2005,Presidential,2,264,3,267,"WEAH, George Manneh",CDC,27,499
Nimba,33034 ,3,"Yourpea Old Tow n Public School, Yourpea Old Tow n ",President/Vice-President Runoff ,2005,Presidential,2,262,8,270,"JOHNSON-SIRLEAF, Ellen",UP,16,419
Nimba,33034 ,3,"Yourpea Old Tow n Public School, Yourpea Old Tow n ",President/Vice-President Runoff ,2005,Presidential,2,262,8,270,"WEAH, George Manneh",CDC,246,419
Nimba,33035 ,3,"Beatuo Public School, Beatuo ",President/Vice-President Runoff ,2005,Presidential,2,284,8,292,"JOHNSON-SIRLEAF, Ellen",UP,244,487
Nimba,33035 ,3,"Beatuo Public School, Beatuo ",President/Vice-President Runoff ,2005,Presidential,2,284,8,292,"WEAH, George Manneh",CDC,40,487
Nimba,33037 ,1,"Vahn Tow n Public School, Vahn Tow n ",President/Vice-President Runoff ,2005,Presidential,2,172,5,177,"JOHNSON-SIRLEAF, Ellen",UP,168,308
Nimba,33037 ,1,"Vahn Tow n Public School, Vahn Tow n ",President/Vice-President Runoff ,2005,Presidential,2,172,5,177,"WEAH, George Manneh",CDC,4,308
Nimba,33038 ,2,"Memorial High School, Tappita City ",President/Vice-President Runoff ,2005,Presidential,2,261,2,263,"JOHNSON-SIRLEAF, Ellen",UP,222,535
Nimba,33038 ,2,"Memorial High School, Tappita City ",President/Vice-President Runoff ,2005,Presidential,2,261,2,263,"WEAH, George Manneh",CDC,39,535
Nimba,33039 ,2,"Public Work Yard, Tappita City ",President/Vice-President Runoff ,2005,Presidential,2,249,27,276,"JOHNSON-SIRLEAF, Ellen",UP,203,529
Nimba,33039 ,2,"Public Work Yard, Tappita City ",President/Vice-President Runoff ,2005,Presidential,2,249,27,276,"WEAH, George Manneh",CDC,46,529
Nimba,33040 ,3,"Chief Compound, Tappita City ",President/Vice-President Runoff ,2005,Presidential,2,296,7,303,"JOHNSON-SIRLEAF, Ellen",UP,256,553
Nimba,33040 ,3,"Chief Compound, Tappita City ",President/Vice-President Runoff ,2005,Presidential,2,296,7,303,"WEAH, George Manneh",CDC,40,553
Nimba,33041 ,2,"Zeongehn Public School, Zeongehn ",President/Vice-President Runoff ,2005,Presidential,2,254,6,260,"JOHNSON-SIRLEAF, Ellen",UP,231,406
Nimba,33041 ,2,"Zeongehn Public School, Zeongehn ",President/Vice-President Runoff ,2005,Presidential,2,254,6,260,"WEAH, George Manneh",CDC,23,406
Nimba,33042 ,2,"Graie Palava Hut, Graie ",President/Vice-President Runoff ,2005,Presidential,2,397,1,398,"JOHNSON-SIRLEAF, Ellen",UP,356,576
Nimba,33042 ,2,"Graie Palava Hut, Graie ",President/Vice-President Runoff ,2005,Presidential,2,397,1,398,"WEAH, George Manneh",CDC,41,576
Nimba,33043 ,3,"Zoulay Civil Compound, Zoulay ",President/Vice-President Runoff ,2005,Presidential,2,284,2,286,"JOHNSON-SIRLEAF, Ellen",UP,267,406
Nimba,33043 ,3,"Zoulay Civil Compound, Zoulay ",President/Vice-President Runoff ,2005,Presidential,2,284,2,286,"WEAH, George Manneh",CDC,17,406
Nimba,33044 ,3,"Ziah Public School, Ziah ",President/Vice-President Runoff ,2005,Presidential,2,259,1,260,"JOHNSON-SIRLEAF, Ellen",UP,246,434
Nimba,33044 ,3,"Ziah Public School, Ziah ",President/Vice-President Runoff ,2005,Presidential,2,259,1,260,"WEAH, George Manneh",CDC,13,434
Nimba,33046 ,1,"Grenpea Public School, Grenpea ",President/Vice-President Runoff ,2005,Presidential,2,312,3,315,"JOHNSON-SIRLEAF, Ellen",UP,297,358
Nimba,33046 ,1,"Grenpea Public School, Grenpea ",President/Vice-President Runoff ,2005,Presidential,2,312,3,315,"WEAH, George Manneh",CDC,15,358
Nimba,33047 ,2,"Dialah Public School, Dialah ",President/Vice-President Runoff ,2005,Presidential,2,335,36,371,"JOHNSON-SIRLEAF, Ellen",UP,292,584
Nimba,33047 ,2,"Dialah Public School, Dialah ",President/Vice-President Runoff ,2005,Presidential,2,335,36,371,"WEAH, George Manneh",CDC,43,584
Nimba,33049 ,1,"Kaidka Palava Hut, Kaidka Tow n ",President/Vice-President Runoff ,2005,Presidential,2,150,3,153,"JOHNSON-SIRLEAF, Ellen",UP,37,244
Nimba,33049 ,1,"Kaidka Palava Hut, Kaidka Tow n ",President/Vice-President Runoff ,2005,Presidential,2,150,3,153,"WEAH, George Manneh",CDC,113,244
Nimba,33052 ,1,"Wantoe Tow n Public School, Wantoe Tow n ",President/Vice-President Runoff ,2005,Presidential,2,131,3,134,"JOHNSON-SIRLEAF, Ellen",UP,42,220
Nimba,33052 ,1,"Wantoe Tow n Public School, Wantoe Tow n ",President/Vice-President Runoff ,2005,Presidential,2,131,3,134,"WEAH, George Manneh",CDC,89,220
Nimba,33055 ,1,"Gogbor Tow n Palava Hut, Gogbor Tow n ",President/Vice-President Runoff ,2005,Presidential,2,188,5,193,"JOHNSON-SIRLEAF, Ellen",UP,35,325
Nimba,33055 ,1,"Gogbor Tow n Palava Hut, Gogbor Tow n ",President/Vice-President Runoff ,2005,Presidential,2,188,5,193,"WEAH, George Manneh",CDC,153,325
Nimba,33058 ,1,"Teah Tow n Public School, Teah Tow n ",President/Vice-President Runoff ,2005,Presidential,2,128,3,131,"JOHNSON-SIRLEAF, Ellen",UP,21,224
Nimba,33058 ,1,"Teah Tow n Public School, Teah Tow n ",President/Vice-President Runoff ,2005,Presidential,2,128,3,131,"WEAH, George Manneh",CDC,107,224
Nimba,33060 ,2,"Mehnla Tow n Palava Hut, Mehnla Tow n ",President/Vice-President Runoff ,2005,Presidential,2,256,3,259,"JOHNSON-SIRLEAF, Ellen",UP,231,492
Nimba,33060 ,2,"Mehnla Tow n Palava Hut, Mehnla Tow n ",President/Vice-President Runoff ,2005,Presidential,2,256,3,259,"WEAH, George Manneh",CDC,25,492
Nimba,33062 ,1,"Ghelyee Zorpea Palava Hut, Gleh Zorpea ",President/Vice-President Runoff ,2005,Presidential,2,243,2,245,"JOHNSON-SIRLEAF, Ellen",UP,216,468
Nimba,33062 ,1,"Ghelyee Zorpea Palava Hut, Gleh Zorpea ",President/Vice-President Runoff ,2005,Presidential,2,243,2,245,"WEAH, George Manneh",CDC,27,468
Nimba,33063 ,2,"Guotein Palava Hut, Guotein ",President/Vice-President Runoff ,2005,Presidential,2,286,5,291,"JOHNSON-SIRLEAF, Ellen",UP,261,407
Nimba,33063 ,2,"Guotein Palava Hut, Guotein ",President/Vice-President Runoff ,2005,Presidential,2,286,5,291,"WEAH, George Manneh",CDC,25,407
Nimba,33065 ,1,"Kpow ein Palava Hut, Kpow ein ",President/Vice-President Runoff ,2005,Presidential,2,146,5,151,"JOHNSON-SIRLEAF, Ellen",UP,98,310
Nimba,33065 ,1,"Kpow ein Palava Hut, Kpow ein ",President/Vice-President Runoff ,2005,Presidential,2,146,5,151,"WEAH, George Manneh",CDC,48,310
Nimba,33066 ,2,"Zekepa Palava Hut, Zekepa ",President/Vice-President Runoff ,2005,Presidential,2,233,4,237,"JOHNSON-SIRLEAF, Ellen",UP,185,499
Nimba,33066 ,2,"Zekepa Palava Hut, Zekepa ",President/Vice-President Runoff ,2005,Presidential,2,233,4,237,"WEAH, George Manneh",CDC,48,499
Nimba,33068 ,2,"Dahupa Palava Hut, Dahnopa ",President/Vice-President Runoff ,2005,Presidential,2,178,2,180,"JOHNSON-SIRLEAF, Ellen",UP,159,372
Nimba,33068 ,2,"Dahupa Palava Hut, Dahnopa ",President/Vice-President Runoff ,2005,Presidential,2,178,2,180,"WEAH, George Manneh",CDC,19,372
Nimba,33070 ,1,"Boyee Palava Hut, Boyee ",President/Vice-President Runoff ,2005,Presidential,2,305,9,314,"JOHNSON-SIRLEAF, Ellen",UP,237,558
Nimba,33070 ,1,"Boyee Palava Hut, Boyee ",President/Vice-President Runoff ,2005,Presidential,2,305,9,314,"WEAH, George Manneh",CDC,68,558
Nimba,33072 ,2,"Kw endin Palava Hut, Kw endin ",President/Vice-President Runoff ,2005,Presidential,2,242,6,248,"JOHNSON-SIRLEAF, Ellen",UP,213,545
Nimba,33072 ,2,"Kw endin Palava Hut, Kw endin ",President/Vice-President Runoff ,2005,Presidential,2,242,6,248,"WEAH, George Manneh",CDC,29,545
Nimba,33502 ,1,"Kinnon Public School, Kinnon ",President/Vice-President Runoff ,2005,Presidential,2,194,7,201,"JOHNSON-SIRLEAF, Ellen",UP,114,444
Nimba,33502 ,1,"Kinnon Public School, Kinnon ",President/Vice-President Runoff ,2005,Presidential,2,194,7,201,"WEAH, George Manneh",CDC,80,444
Nimba,33503 ,2,"New  Yekepa Public Sch, New  Yekepa ",President/Vice-President Runoff ,2005,Presidential,2,170,4,174,"JOHNSON-SIRLEAF, Ellen",UP,153,453
Nimba,33503 ,2,"New  Yekepa Public Sch, New  Yekepa ",President/Vice-President Runoff ,2005,Presidential,2,170,4,174,"WEAH, George Manneh",CDC,17,453
Nimba,33505 ,2,"Gbonnie Public School, Gbonnie ",President/Vice-President Runoff ,2005,Presidential,2,203,6,209,"JOHNSON-SIRLEAF, Ellen",UP,143,378
Nimba,33505 ,2,"Gbonnie Public School, Gbonnie ",President/Vice-President Runoff ,2005,Presidential,2,203,6,209,"WEAH, George Manneh",CDC,60,378
Nimba,33507 ,1,"Paul D. How ard, Camp # 4 ",President/Vice-President Runoff ,2005,Presidential,2,308,15,323,"JOHNSON-SIRLEAF, Ellen",UP,245,511
Nimba,33507 ,1,"Paul D. How ard, Camp # 4 ",President/Vice-President Runoff ,2005,Presidential,2,308,15,323,"WEAH, George Manneh",CDC,63,511
Nimba,33510 ,1,"Vtc Campus, Yekepa ",President/Vice-President Runoff ,2005,Presidential,2,247,3,250,"JOHNSON-SIRLEAF, Ellen",UP,179,577
Nimba,33510 ,1,"Vtc Campus, Yekepa ",President/Vice-President Runoff ,2005,Presidential,2,247,3,250,"WEAH, George Manneh",CDC,68,577
Nimba,33512 ,2,"Area “c” School, Yekepa ",President/Vice-President Runoff ,2005,Presidential,2,284,5,289,"JOHNSON-SIRLEAF, Ellen",UP,206,572
Nimba,33512 ,2,"Area “c” School, Yekepa ",President/Vice-President Runoff ,2005,Presidential,2,284,5,289,"WEAH, George Manneh",CDC,78,572
Nimba,33513 ,3,"Gbarpa Public School, Gbarpa ",President/Vice-President Runoff ,2005,Presidential,2,267,8,275,"JOHNSON-SIRLEAF, Ellen",UP,226,549
Nimba,33513 ,3,"Gbarpa Public School, Gbarpa ",President/Vice-President Runoff ,2005,Presidential,2,267,8,275,"WEAH, George Manneh",CDC,41,549
Nimba,33516 ,1,"Sehyikimpa Public School, Sehyikimpa ",President/Vice-President Runoff ,2005,Presidential,2,223,13,236,"JOHNSON-SIRLEAF, Ellen",UP,157,353
Nimba,33516 ,1,"Sehyikimpa Public School, Sehyikimpa ",President/Vice-President Runoff ,2005,Presidential,2,223,13,236,"WEAH, George Manneh",CDC,66,353
Nimba,33518 ,1,"Gbalasonnon Public Sch., Gbalasonnon ",President/Vice-President Runoff ,2005,Presidential,2,219,5,224,"JOHNSON-SIRLEAF, Ellen",UP,210,342
