election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
RiverCess,36001 ,1 ,"Cestos City High School, Cestos City ",President/Vice-President Runoff ,2005,Presidential,2,275 ,8 ,283 ,"JOHNSON-SIRLEAF, Ellen",UP,102 ,485 
RiverCess,36001 ,1 ,"Cestos City High School, Cestos City ",President/Vice-President Runoff ,2005,Presidential,2,275 ,8 ,283 ,"WEAH, George Manneh",CDC,173 ,485 
RiverCess,36001 ,4 ,"Cestos City High School, Cestos City ",President/Vice-President Runoff ,2005,Presidential,2,272 ,15 ,287 ,"JOHNSON-SIRLEAF, Ellen",UP,107 ,483 
RiverCess,36001 ,4 ,"Cestos City High School, Cestos City ",President/Vice-President Runoff ,2005,Presidential,2,272 ,15 ,287 ,"WEAH, George Manneh",CDC,165 ,483 
RiverCess,36003 ,2 ,"Charlie Tow n Community School, Charlie ",President/Vice-President Runoff ,2005,Presidential,2,185 ,14 ,199 ,"JOHNSON-SIRLEAF, Ellen",UP,134 ,406 
RiverCess,36003 ,2 ,"Charlie Tow n Community School, Charlie ",President/Vice-President Runoff ,2005,Presidential,2,185 ,14 ,199 ,"WEAH, George Manneh",CDC,51 ,406 
RiverCess,36004 ,3 ,"Little Liberia Community School , Little Liberia ",President/Vice-President Runoff ,2005,Presidential,2,266 ,9 ,275 ,"JOHNSON-SIRLEAF, Ellen",UP,159 ,512 
RiverCess,36004 ,3 ,"Little Liberia Community School , Little Liberia ",President/Vice-President Runoff ,2005,Presidential,2,266 ,9 ,275 ,"WEAH, George Manneh",CDC,107 ,512 
RiverCess,36006 ,1 ,"Rock Cess Public School, Pankloh ",President/Vice-President Runoff ,2005,Presidential,2,226 ,12 ,238 ,"JOHNSON-SIRLEAF, Ellen",UP,23 ,526 
RiverCess,36006 ,1 ,"Rock Cess Public School, Pankloh ",President/Vice-President Runoff ,2005,Presidential,2,226 ,12 ,238 ,"WEAH, George Manneh",CDC,203 ,526 
RiverCess,36008 ,2 ,"Yarpa Tow n Center, Yarpa ",President/Vice-President Runoff ,2005,Presidential,2,231 ,2 ,233 ,"JOHNSON-SIRLEAF, Ellen",UP,128 ,536 
RiverCess,36008 ,2 ,"Yarpa Tow n Center, Yarpa ",President/Vice-President Runoff ,2005,Presidential,2,231 ,2 ,233 ,"WEAH, George Manneh",CDC,103 ,536 
RiverCess,36009 ,2 ,"Goezohn Tow n Center, Geozohn ",President/Vice-President Runoff ,2005,Presidential,2,107 ,1 ,108 ,"JOHNSON-SIRLEAF, Ellen",UP,21 ,431 
RiverCess,36009 ,2 ,"Goezohn Tow n Center, Geozohn ",President/Vice-President Runoff ,2005,Presidential,2,107 ,1 ,108 ,"WEAH, George Manneh",CDC,86 ,431 
RiverCess,36010 ,2 ,"Gbolosseo Tow n Public School, Gbolossed ",President/Vice-President Runoff ,2005,Presidential,2,102 ,2 ,104 ,"JOHNSON-SIRLEAF, Ellen",UP,15 ,555 
RiverCess,36010 ,2 ,"Gbolosseo Tow n Public School, Gbolossed ",President/Vice-President Runoff ,2005,Presidential,2,102 ,2 ,104 ,"WEAH, George Manneh",CDC,87 ,555 
RiverCess,36012 ,1 ,"Garpue Tow n Center, Garpue ",President/Vice-President Runoff ,2005,Presidential,2,192 ,13 ,205 ,"JOHNSON-SIRLEAF, Ellen",UP,73 ,432 
RiverCess,36012 ,1 ,"Garpue Tow n Center, Garpue ",President/Vice-President Runoff ,2005,Presidential,2,192 ,13 ,205 ,"WEAH, George Manneh",CDC,119 ,432 
RiverCess,36014 ,2 ,"Kachukon Tow n Center, Kachukon ",President/Vice-President Runoff ,2005,Presidential,2,258 ,7 ,265 ,"JOHNSON-SIRLEAF, Ellen",UP,235 ,344 
RiverCess,36014 ,2 ,"Kachukon Tow n Center, Kachukon ",President/Vice-President Runoff ,2005,Presidential,2,258 ,7 ,265 ,"WEAH, George Manneh",CDC,23 ,344 
RiverCess,36016 ,1 ,"New  Creation School, Kangbo ",President/Vice-President Runoff ,2005,Presidential,2,194 ,5 ,199 ,"JOHNSON-SIRLEAF, Ellen",UP,137 ,584 
RiverCess,36016 ,1 ,"New  Creation School, Kangbo ",President/Vice-President Runoff ,2005,Presidential,2,194 ,5 ,199 ,"WEAH, George Manneh",CDC,57 ,584 
RiverCess,36017 ,3 ,"Bojeesay Tow n Center, Bojeesay ",President/Vice-President Runoff ,2005,Presidential,2,161 ,4 ,165 ,"JOHNSON-SIRLEAF, Ellen",UP,52 ,438 
RiverCess,36017 ,3 ,"Bojeesay Tow n Center, Bojeesay ",President/Vice-President Runoff ,2005,Presidential,2,161 ,4 ,165 ,"WEAH, George Manneh",CDC,109 ,438 
RiverCess,36019 ,2 ,"Paye Tow n Center, Paye ",President/Vice-President Runoff ,2005,Presidential,2,149 ,0 ,149 ,"JOHNSON-SIRLEAF, Ellen",UP,80 ,372 
RiverCess,36019 ,2 ,"Paye Tow n Center, Paye ",President/Vice-President Runoff ,2005,Presidential,2,149 ,0 ,149 ,"WEAH, George Manneh",CDC,69 ,372 
RiverCess,36021 ,2 ,"Bodow hea Tow n Center, Bodow hea ",President/Vice-President Runoff ,2005,Presidential,2,143 ,1 ,144 ,"JOHNSON-SIRLEAF, Ellen",UP,67 ,551 
RiverCess,36021 ,2 ,"Bodow hea Tow n Center, Bodow hea ",President/Vice-President Runoff ,2005,Presidential,2,143 ,1 ,144 ,"WEAH, George Manneh",CDC,76 ,551 
RiverCess,36001 ,2 ,"Cestos City High School, Cestos City ",President/Vice-President Runoff ,2005,Presidential,2,260 ,5 ,265 ,"JOHNSON-SIRLEAF, Ellen",UP,105 ,444 
