election_county,precinct,polling_place,address,election,election_year,election_type,election_round,valid_votes,invalid_votes,total_votes,candidate,cand_party,cand_votes,registered_voters
Sinoe,39001 ,1,"Multilateral High School, Farmerville ",President/Vice-President Runoff ,2005,Presidential,2,264,5,269,"JOHNSON-SIRLEAF, Ellen",UP,59,554
Sinoe,39001 ,1,"Multilateral High School, Farmerville ",President/Vice-President Runoff ,2005,Presidential,2,264,5,269,"WEAH, George Manneh",CDC,205,554
Sinoe,39003 ,2,"Administration Building, Johnstone Street ",President/Vice-President Runoff ,2005,Presidential,2,259,8,267,"JOHNSON-SIRLEAF, Ellen",UP,47,482
Sinoe,39003 ,2,"Administration Building, Johnstone Street ",President/Vice-President Runoff ,2005,Presidential,2,259,8,267,"WEAH, George Manneh",CDC,212,482
Sinoe,39004 ,1,"Methodist Junior High School, Congo Tow n ",President/Vice-President Runoff ,2005,Presidential,2,269,1,270,"JOHNSON-SIRLEAF, Ellen",UP,47,505
Sinoe,39004 ,1,"Methodist Junior High School, Congo Tow n ",President/Vice-President Runoff ,2005,Presidential,2,269,1,270,"WEAH, George Manneh",CDC,222,505
Sinoe,39004 ,4,"Methodist Junior High School, Congo Tow n ",President/Vice-President Runoff ,2005,Presidential,2,275,13,288,"JOHNSON-SIRLEAF, Ellen",UP,51,541
Sinoe,39004 ,4,"Methodist Junior High School, Congo Tow n ",President/Vice-President Runoff ,2005,Presidential,2,275,13,288,"WEAH, George Manneh",CDC,224,541
Sinoe,39007 ,1,"Chebioh Tow n Palava Hut, Chebioh Tow n ",President/Vice-President Runoff ,2005,Presidential,2,110,0,110,"JOHNSON-SIRLEAF, Ellen",UP,6,222
Sinoe,39007 ,1,"Chebioh Tow n Palava Hut, Chebioh Tow n ",President/Vice-President Runoff ,2005,Presidential,2,110,0,110,"WEAH, George Manneh",CDC,104,222
Sinoe,39010 ,1,"Voogbardee Palava Hut, Voogbardee ",President/Vice-President Runoff ,2005,Presidential,2,342,1,343,"JOHNSON-SIRLEAF, Ellen",UP,3,512
Sinoe,39010 ,1,"Voogbardee Palava Hut, Voogbardee ",President/Vice-President Runoff ,2005,Presidential,2,342,1,343,"WEAH, George Manneh",CDC,339,512
Sinoe,39012 ,2,"Kw itatuzon Elementary School, Kw itatuzon ",President/Vice-President Runoff ,2005,Presidential,2,172,0,172,"JOHNSON-SIRLEAF, Ellen",UP,1,419
Sinoe,39012 ,2,"Kw itatuzon Elementary School, Kw itatuzon ",President/Vice-President Runoff ,2005,Presidential,2,172,0,172,"WEAH, George Manneh",CDC,171,419
Sinoe,39014 ,1,"Niplepo Palava Hut, Niplepo ",President/Vice-President Runoff ,2005,Presidential,2,217,1,218,"JOHNSON-SIRLEAF, Ellen",UP,12,405
Sinoe,39014 ,1,"Niplepo Palava Hut, Niplepo ",President/Vice-President Runoff ,2005,Presidential,2,217,1,218,"WEAH, George Manneh",CDC,205,405
Sinoe,39016 ,1,"Bilibokw li Junior High School, Bilibokw li ",President/Vice-President Runoff ,2005,Presidential,2,226,2,228,"JOHNSON-SIRLEAF, Ellen",UP,71,438
Sinoe,39016 ,1,"Bilibokw li Junior High School, Bilibokw li ",President/Vice-President Runoff ,2005,Presidential,2,226,2,228,"WEAH, George Manneh",CDC,155,438
Sinoe,39017 ,2,"Gbason Tow n Palava Hut, Gbason Tow n ",President/Vice-President Runoff ,2005,Presidential,2,192,3,195,"JOHNSON-SIRLEAF, Ellen",UP,11,312
Sinoe,39017 ,2,"Gbason Tow n Palava Hut, Gbason Tow n ",President/Vice-President Runoff ,2005,Presidential,2,192,3,195,"WEAH, George Manneh",CDC,181,312
Sinoe,39019 ,1,"Dagbe Tow n Elementary School, Dagbe Tow n ",President/Vice-President Runoff ,2005,Presidential,2,145,0,145,"JOHNSON-SIRLEAF, Ellen",UP,9,282
Sinoe,39019 ,1,"Dagbe Tow n Elementary School, Dagbe Tow n ",President/Vice-President Runoff ,2005,Presidential,2,145,0,145,"WEAH, George Manneh",CDC,136,282
Sinoe,39021 ,2,"Karmon Tow n Palava Hut, Karmon Tow n ",President/Vice-President Runoff ,2005,Presidential,2,155,1,156,"JOHNSON-SIRLEAF, Ellen",UP,24,316
Sinoe,39021 ,2,"Karmon Tow n Palava Hut, Karmon Tow n ",President/Vice-President Runoff ,2005,Presidential,2,155,1,156,"WEAH, George Manneh",CDC,131,316
Sinoe,39023 ,1,"Togba Tow n Palava Hut, Togba ",President/Vice-President Runoff ,2005,Presidential,2,399,11,410,"JOHNSON-SIRLEAF, Ellen",UP,204,518
Sinoe,39023 ,1,"Togba Tow n Palava Hut, Togba ",President/Vice-President Runoff ,2005,Presidential,2,399,11,410,"WEAH, George Manneh",CDC,195,518
Sinoe,39025 ,1,"Grigsby Farm Elementary School, Grigsby Farm ",President/Vice-President Runoff ,2005,Presidential,2,325,6,331,"JOHNSON-SIRLEAF, Ellen",UP,8,558
Sinoe,39025 ,1,"Grigsby Farm Elementary School, Grigsby Farm ",President/Vice-President Runoff ,2005,Presidential,2,325,6,331,"WEAH, George Manneh",CDC,317,558
Sinoe,39027 ,1,"Ducorfree Junior High School, Ducorfree ",President/Vice-President Runoff ,2005,Presidential,2,246,4,250,"JOHNSON-SIRLEAF, Ellen",UP,22,600
Sinoe,39027 ,1,"Ducorfree Junior High School, Ducorfree ",President/Vice-President Runoff ,2005,Presidential,2,246,4,250,"WEAH, George Manneh",CDC,224,600
Sinoe,39029 ,1,"Government Camp School, Government Camp ",President/Vice-President Runoff ,2005,Presidential,2,117,1,118,"JOHNSON-SIRLEAF, Ellen",UP,18,467
Sinoe,39029 ,1,"Government Camp School, Government Camp ",President/Vice-President Runoff ,2005,Presidential,2,117,1,118,"WEAH, George Manneh",CDC,99,467
Sinoe,39029 ,4,"Government Camp School, Government Camp ",President/Vice-President Runoff ,2005,Presidential,2,130,3,133,"JOHNSON-SIRLEAF, Ellen",UP,12,460
Sinoe,39029 ,4,"Government Camp School, Government Camp ",President/Vice-President Runoff ,2005,Presidential,2,130,3,133,"WEAH, George Manneh",CDC,118,460
Sinoe,39031 ,1,"Wreniw in Palava Hut, Wreniw in ",President/Vice-President Runoff ,2005,Presidential,2,76,0,76,"JOHNSON-SIRLEAF, Ellen",UP,4,527
Sinoe,39031 ,1,"Wreniw in Palava Hut, Wreniw in ",President/Vice-President Runoff ,2005,Presidential,2,76,0,76,"WEAH, George Manneh",CDC,72,527
Sinoe,39034 ,1,"Doodw icken Junior High School, Doodw icken City ",President/Vice-President Runoff ,2005,Presidential,2,209,6,215,"JOHNSON-SIRLEAF, Ellen",UP,10,522
Sinoe,39034 ,1,"Doodw icken Junior High School, Doodw icken City ",President/Vice-President Runoff ,2005,Presidential,2,209,6,215,"WEAH, George Manneh",CDC,199,522
