"code","locality","address","polling.places","voters","non.ret.places","non.ret.voters","county","district","consolidated"
"03042","Gba Ja Keh","Gba Community School",6,3172,NA,NA,"Bomi",1,0
"03051","Government Farm","Government Farm Palava Hut",1,292,NA,NA,"Bomi",1,0
"03054","Sass Town","Sass Town Public School",2,1199,NA,NA,"Bomi",1,0
"03055","Monnoh","Monnoh Town Palava Hut",1,392,NA,NA,"Bomi",1,0
"03056","Sombung","Sombung",1,259,NA,NA,"Bomi",1,0
"03057","Gonjeh","Gonjeh Palava Hut",1,380,NA,NA,"Bomi",1,0
"03058","Gbarngba Town","Gbarngba Town Hall",1,314,NA,NA,"Bomi",1,0
"03059","Gonzipo","Gonzipo Palava Hut",1,456,NA,NA,"Bomi",1,0
"03060","Malema","Malema Town Hall",2,810,NA,NA,"Bomi",1,0
"03061","Klay","Gertrude Yancy Public School",3,1670,NA,NA,"Bomi",1,0
"03062","Managbokai","Managbokai Palava Hut",1,166,NA,NA,"Bomi",1,0
"03063","Fefe Town","Fefe Town Palava Hut",1,440,NA,NA,"Bomi",1,0
"03064","Gohgen","Gohgen Palava Hut",1,420,NA,NA,"Bomi",1,0
"03065","Loah","Loah Palava Hut",2,642,NA,NA,"Bomi",1,0
"03066","Kangacia","Kangacia Palava Hut",1,134,NA,NA,"Bomi",1,0
"03067","Guie Town","Guie Town Hall",2,684,NA,NA,"Bomi",1,0
"03068","Golodee Gayla","Golodee Gayla Palava Hut",1,332,NA,NA,"Bomi",1,0
"03069","Zordee","Upc Campus",1,448,NA,NA,"Bomi",1,0
"03070","Golodee Lasana","Golodee Lasana Palava Hut",2,728,NA,NA,"Bomi",1,0
"03071","Geveh Fanciee","Geveh Fanciee Palava Hut",1,300,NA,NA,"Bomi",1,0
"03072","Beajojo","Beajojo Clinic",1,430,NA,NA,"Bomi",1,0
"45013","Gbarma","Central High School Gbarma Town",3,1692,NA,NA,"Gbarpolu",1,0
"45014","Weamawuo","Primary School,weamawuo Town",2,606,NA,NA,"Gbarpolu",1,0
"45015","Yangayah","Junior High School,yangayah Town",1,468,NA,NA,"Gbarpolu",1,0
"45016","Tarkpoima","Town Hall, Tarkpoima Town",2,609,NA,NA,"Gbarpolu",1,0
"45017","Weasua","Junior High School, Weasua Town",2,613,NA,NA,"Gbarpolu",1,0
"45018","Balla","Junior High School,balla Town",1,148,NA,NA,"Gbarpolu",1,0
"45024","Kangbor","Town Hall, Kongba Town",1,456,NA,NA,"Gbarpolu",1,0
"45025","Camp Alpha","Primary School,camp Alpha",1,267,NA,NA,"Gbarpolu",1,0
"45026","Tima Village","Private House,tima Village",1,182,NA,NA,"Gbarpolu",1,0
"45027","Amtel Camp","Amtel Camp Office",1,231,NA,NA,"Gbarpolu",1,0
"45028","Zuei","Town Hall, Zuei Town",1,465,NA,NA,"Gbarpolu",1,0
"45029","Mbarma","Town Hall, Mbarma Town",1,143,NA,NA,"Gbarpolu",1,0
"45030","Nomodatundu","Town Hall, Nomodatundu,town",2,1019,NA,NA,"Gbarpolu",1,0
"45031","Domamana","Town Hall, Domamana,town",1,217,NA,NA,"Gbarpolu",1,0
"45032","Beaden","Town Hall,beadentown",1,231,NA,NA,"Gbarpolu",1,0
"45001","Bopolu","Central High School Bopolu Town",5,2579,NA,NA,"Gbarpolu",2,0
"45002","Totoquellah","Palava Hut, Totoquelleh",1,388,NA,NA,"Gbarpolu",2,0
"45003","Gbaroquai","Private House, Gbaroquai",1,396,NA,NA,"Gbarpolu",2,0
"45004","Goindima","Private House-porch,goindima",1,290,NA,NA,"Gbarpolu",2,0
"45005","Bombooma","Private House Of Town Chief",1,315,NA,NA,"Gbarpolu",2,0
"45006","Bandokai (usman Tow","Charlas P.rogers Community School",1,268,NA,NA,"Gbarpolu",2,0
"45007","Varmah","Private House, Varmah Town",1,149,NA,NA,"Gbarpolu",2,0
"45008","Gbaryama","Town Hall Gbaryama",2,627,NA,NA,"Gbarpolu",2,0
"45009","Gbeleta","Town Hall Gbeleta",1,495,NA,NA,"Gbarpolu",2,0
"45010","Henry Town","Town Hall Henry",1,365,NA,NA,"Gbarpolu",2,0
"45011","Gainkpai","Public School,gainkpai Town",1,193,NA,NA,"Gbarpolu",2,0
"45012","Manowellah","Elementary School,manowelleh Town",1,162,NA,NA,"Gbarpolu",2,0
"45019","Fassama","Private Building, Fassama",2,1145,NA,NA,"Gbarpolu",3,0
"45020","Bell Boloma","Private Building, Belle Boloma",2,768,NA,NA,"Gbarpolu",3,0
"45021","Tiggelee","Town Hall, Tiggelee",1,490,NA,NA,"Gbarpolu",3,0
"45022","Gatima","Town Hall, Gatima",1,447,NA,NA,"Gbarpolu",3,0
"45023","Belleyala","Town Hall,belleyala",1,290,NA,NA,"Gbarpolu",3,0
"45033","Palakwellh","Town Hall,palakwellh Town",2,852,NA,NA,"Gbarpolu",3,0
"45034","Gumbeta","Town Hall, Gumbeta Town",2,771,NA,NA,"Gbarpolu",3,0
"45035","Zelekai","Town Hall,zelekai Town",1,441,NA,NA,"Gbarpolu",3,0
"45036","Venla-1","Town Hall,venla-1town",1,246,NA,NA,"Gbarpolu",3,0
"45037","Nyalowai","Town Hall,nyalowai Town",1,140,NA,NA,"Gbarpolu",3,0
"45038","Gbarmgay","Town Hall,gbarmbay,town",2,696,NA,NA,"Gbarpolu",3,0
"45039","Morlakwelleh","Town Hall, Morlakwelleh Town",2,651,NA,NA,"Gbarpolu",3,0
"45040","Kelagasiasu","Town Hall,kelagasiasu Town",1,412,NA,NA,"Gbarpolu",3,0
"45041","Kologbanai","Town Hall,kologbanai Town",2,846,NA,NA,"Gbarpolu",3,0
"45042","Fanyanpolu","Town Hall, Fanyanpolu Town",1,420,NA,NA,"Gbarpolu",3,0
"45043","Borleya","Town Hall,borleya Town",1,313,NA,NA,"Gbarpolu",3,0
"09001","Owensgrove","Administrative Building",3,1588,NA,NA,"Grand Bassa",1,0
"09002","Neegeewein","Palava Hut",2,762,NA,NA,"Grand Bassa",1,0
"09003","Bokay's Town","Palava Hut",2,785,NA,NA,"Grand Bassa",1,0
"09004","Quehzah Town","Palava Hut",1,277,NA,NA,"Grand Bassa",1,0
"09005","Colla Tree","Palava Hut",1,106,NA,NA,"Grand Bassa",1,0
"09006","Beon Town","Palava Hut",1,148,NA,NA,"Grand Bassa",1,0
"09007","Dowin Town","Palava Hut",2,703,NA,NA,"Grand Bassa",1,0
"09008","Barclayville","School Building",2,766,NA,NA,"Grand Bassa",1,0
"09009","Kpayzohn","Palava Hut",1,319,NA,NA,"Grand Bassa",1,0
"09010","Garpuebueh","Palava Hut",1,336,NA,NA,"Grand Bassa",1,0
"09011","Chuavenenkon","Palava Hut",1,321,NA,NA,"Grand Bassa",1,0
"09012","Bassa Point","Palava Hut",1,178,NA,NA,"Grand Bassa",1,0
"09013","Compound #1","School Building",2,622,NA,NA,"Grand Bassa",1,0
"09014","Little Bassa","Palava Hut",1,543,NA,NA,"Grand Bassa",1,0
"09015","Noryou Town","Palava Hut",1,502,NA,NA,"Grand Bassa",1,0
"09016","Vahmah Town","Palava Hut",1,212,NA,NA,"Grand Bassa",1,0
"09017","Zoe Town","School Building",1,313,NA,NA,"Grand Bassa",1,0
"09018","Nuahn Town","Palava Hut",1,92,NA,NA,"Grand Bassa",1,0
"09019","Tarr Town","Palava Hut",1,375,NA,NA,"Grand Bassa",1,0
"09020","Kro Town","Palava Hut",1,31,NA,NA,"Grand Bassa",1,0
"09021","Wesseh Town","Palava Hut",1,93,NA,NA,"Grand Bassa",1,0
"09022","Gorsuah Town","School Building",1,381,NA,NA,"Grand Bassa",1,0
"09023","Kanpue Town","Palava Hut",1,374,NA,NA,"Grand Bassa",1,0
"09024","Whonkpua Town","Palava Hut",1,154,NA,NA,"Grand Bassa",1,0
"09025","Zaye Town","Palava Hut",1,482,NA,NA,"Grand Bassa",1,0
"09026","Central Lloydsville","Administrative Building",3,1787,NA,NA,"Grand Bassa",1,0
"09027","Wrokon Town","Palava Hut",1,427,NA,NA,"Grand Bassa",1,0
"09028","German Camp","School Building",2,899,NA,NA,"Grand Bassa",1,0
"09029","Edina","Town Hall",1,404,NA,NA,"Grand Bassa",1,0
"09030","Kingsville","School Building",1,215,NA,NA,"Grand Bassa",1,0
"09031","Norr Town","Palava Hut",1,509,NA,NA,"Grand Bassa",1,0
"09032","Saul Town","Palava Hut",1,382,NA,NA,"Grand Bassa",1,0
"09033","Dweh Town","Palava Hut",1,518,NA,NA,"Grand Bassa",1,0
"09034","Wrayn Town","Palava Hut",1,238,NA,NA,"Grand Bassa",1,0
"09035","Jacob Larteh Town","Clinic",2,626,NA,NA,"Grand Bassa",1,0
"09036","Mondeh Town","School Building",1,266,NA,NA,"Grand Bassa",1,0
"09037","Garley Town","Palava Hut",1,496,NA,NA,"Grand Bassa",1,0
"09038","Paye Town","Palava Hut",1,160,NA,NA,"Grand Bassa",1,0
"09039","Kpaingpa Town","Palava Hut",1,230,NA,NA,"Grand Bassa",1,0
"09040","Kamachea Town","Palava Hut",1,434,NA,NA,"Grand Bassa",1,0
"09079","Kpawetro Town","Palava Hut",1,130,NA,NA,"Grand Bassa",1,0
"09083","Koiyea Town","Palava Hut",1,338,NA,NA,"Grand Bassa",1,0
"09084","Johnny Diggs Town","Palava Hut",1,502,NA,NA,"Grand Bassa",1,0
"09085","Where Moe Town","Palava Hut",1,334,NA,NA,"Grand Bassa",1,0
"09086","Boeglain Town","Palava Hut",1,465,NA,NA,"Grand Bassa",1,0
"09087","Jacob Town","Palava Hut",1,280,NA,NA,"Grand Bassa",1,0
"09088","Gbannah Town","Palava Hut",3,1335,NA,NA,"Grand Bassa",1,0
"09089","Jumoi Town","Palava Hut",2,652,NA,NA,"Grand Bassa",1,0
"09090","Belefani Town","Palava Hut",2,910,NA,NA,"Grand Bassa",1,0
"09091","Kpellezan Town","Palava Hut",2,1063,NA,NA,"Grand Bassa",1,0
"09041","Hartford","School Building",1,360,NA,NA,"Grand Bassa",2,0
"09042","Fortsville","School Building",1,581,NA,NA,"Grand Bassa",2,0
"09050","Diggs Town","Diggs Town",NA,NA,NA,NA,"Grand Bassa",2,1
"09043","Harrisville 1","School Building",2,754,NA,NA,"Grand Bassa",2,0
"09044","Bealorward","Passing Bealorward Palava Hut",1,211,NA,NA,"Grand Bassa",2,0
"09045","B-i-a Baibo Industrial","School Building",1,495,NA,NA,"Grand Bassa",2,0
"09055","Gueh's Town","Gueh's Town",NA,NA,NA,NA,"Grand Bassa",2,1
"09046","Gayegpokon Town","Palava Hut",1,596,NA,NA,"Grand Bassa",2,0
"09047","Kollie Town","Palava Hut",1,265,NA,NA,"Grand Bassa",2,0
