09093 ,BUCHANAN ,CIRCUIT COURT ,1 ,290 ,- ,-
09094 ,BUCHANAN ,SCHOOL BUILDING ,5 ,"2,563 ",- ,-
09095 ,BUCHANAN ,TOWN HALL ,4 ,"2,092 ",- ,-
*09092 ,BUCHANAN ,LAMCO RESIDENTIAL AREA,"","","",""
09096 ,BUCHANAN ,PALAVA HUT ,4 ,"2,195 ",- ,-
09097 ,BUCHANAN ,ADMINISTRATIVE BUILDING ,3 ,"1,756 ",- ,-
09098 ,BUCHANAN ,FAIR GROUND BUILDING ,4 ,"2,075 ",- ,-
09099 ,BUCHANAN ,PALAVA HUT ,1 ,398 ,- ,-
09100 ,BUCHANAN ,METHODIST SCHOOL ,3 ,"1,634 ",- ,-
09101 ,BUCHANAN ,SCHOOL BUILDING ,3 ,"1,487 ",- ,-
09102 ,BUCHANAN ,PALAVA HUT ,1 ,450 ,- ,-
09104 ,BUCHANAN ,PALAVA HUT ,2 ,"1,011 ",2 ,690
*09103 ,BUCHANAN ,IDPS (A),"","","",""
*09105 ,BUCHANAN ,IDPS [C],"","","",""
09106 ,BUCHANAN ,PALAVA HUT ,1 ,220 ,- ,-
09107 ,BUCHANAN ,SCHOOL BUILDING ,2 ,792 ,- ,-
09108 ,BUCHANAN ,SCHOOL BUILDING ,2 ,939 ,- ,-
09109 ,BUCHANAN ,PALAVA HUT ,4 ,"1,802 ",- ,-
09110 ,BUCHANAN ,PALAVA HUT ,4 ,"2,090 ",- ,-
09115 ,BIG JOE TOWN ,TOWN HALL ,2 ,932 ,- ,-
09116 ,OLD LADY MARKET ,MARKET BUILDING ,1 ,239 ,- ,-
09117 ,GOD BLESS YOU HILL ,PALAVA HUT ,4 ,"2,279 ",- ,-
