18017 ,BEHWAN CITY ,BEHWAN JR. HIGH SCHOOL ,2 ,646 ,- ,-
18018 ,NEWARKEN ,NEWARKEN JR. HIGH SCHOOL ,3 ,"1,375 ",- ,-
18019 ,GARRAWAY BEACH ,GARRAWAY BEACH JR. HIGH SCHOOL ,3 ,"1,636 ",- ,-
18020 ,GENOYAH ,GENOYAH ELEMENTARY SCHOOL ,2 ,970 ,- ,-
18021 ,BARCLAYVILLE CITY ,BARCLAYVILLE CENTRAL HIGH SCHOOL ,3 ,"1,554 ",- ,-
18022 ,CHINAKALEH ,GBETA JR. HIGH SCHOOL ,2 ,833 ,- ,-
18023 ,FILOKEN ,RICHARD A. HENRIES JR. HIGH SCHOOL ,2 ,695 ,- ,-
18024 ,BIG SUEHN ,ADVERTUS A. HOFF JUNIOR HIGH SCHOOL ,1 ,506 ,- ,-
18025 ,GRAND CESS ,ST. PATRICK’S SCHOOL ,2 ,932 ,- ,-
18026 ,JUDUKEN ,JUDUKEN JR. HIGH SCHOOL ,2 ,762 ,- ,-
18027 ,GBANKEN ,ST. BARNABAS SCHOOL ,2 ,766 ,- ,-
18028 ,ZOLOKEN ,ZOLOKEN PUBLIC SCHOOL ,2 ,706 ,- ,-
