"Precinct: 09001 ","Polling Place ",1,,,"Precinct: 09001 ","Polling Place ",2,,,"Precinct: 09001 ","Polling Place ",3,,
"Adminstrative Building, Ow ensgrove ",,,,,"Adminstrative Building, Ow ensgrove ",,,,,"Adminstrative Building, Ow ensgrove",,,,
"Registered Voters: ",521,,,,"Registered Voters: ",520,,,,"Registered Voters: ",547,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,274,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,225,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,273
"WEAH, George Manneh (CDC) ",,,,18,"WEAH, George Manneh (CDC) ",,,,20,"WEAH, George Manneh (CDC) ",,,,20
,"Valid Votes: ",,,292,,"Valid Votes: ",,,245,,"Valid Votes: ",,,293
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,6
,"Total Votes: ",,,298,,"Total Votes: ",,,254,,"Total Votes: ",,,299
"Precinct: 09002 ","Polling Place ",1,,,"Precinct: 09002 ","Polling Place ",2,,,"Precinct: 09003 ","Polling Place ",1,,
"Palava Hut, Neegeew ein ",,,,,"Palava Hut, Neegeew ein ",,,,,"Palava Hut, Bokay's Tow n",,,,
"Registered Voters: ",385,,,,"Registered Voters: ",377,,,,"Registered Voters: ",410,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,126,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,113,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,136
"WEAH, George Manneh (CDC) ",,,,25,"WEAH, George Manneh (CDC) ",,,,27,"WEAH, George Manneh (CDC) ",,,,67
,"Valid Votes: ",,,151,,"Valid Votes: ",,,140,,"Valid Votes: ",,,203
,"Invalid Votes: ",,,16,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,2
,"Total Votes: ",,,167,,"Total Votes: ",,,142,,"Total Votes: ",,,205
"Precinct: 09003 ","Polling Place ",2,,,"Precinct: 09004 ","Polling Place ",1,,,"Precinct: 09005 ","Polling Place ",1,,
"Palava Hut, Bokay's Tow n ",,,,,"Palava Hut, Quehzah Tow n ",,,,,"Palava Hut, Colla Tree",,,,
"Registered Voters: ",375,,,,"Registered Voters: ",277,,,,"Registered Voters: ",106,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,98,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,100,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,45
"WEAH, George Manneh (CDC) ",,,,46,"WEAH, George Manneh (CDC) ",,,,16,"WEAH, George Manneh (CDC) ",,,,3
,"Valid Votes: ",,,144,,"Valid Votes: ",,,116,,"Valid Votes: ",,,48
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,4
,"Total Votes: ",,,152,,"Total Votes: ",,,122,,"Total Votes: ",,,52
"Precinct: 09006 ","Polling Place ",1,,,"Precinct: 09007 ","Polling Place ",1,,,"Precinct: 09007 ","Polling Place ",2,,
"Palava Hut, Beon Tow n ",,,,,"Palava Hut, Dow in Tow n ",,,,,"Palava Hut, Dow in Tow n",,,,
"Registered Voters: ",148,,,,"Registered Voters: ",348,,,,"Registered Voters: ",355,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,50,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,69,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,71
"WEAH, George Manneh (CDC) ",,,,17,"WEAH, George Manneh (CDC) ",,,,47,"WEAH, George Manneh (CDC) ",,,,42
,"Valid Votes: ",,,67,,"Valid Votes: ",,,116,,"Valid Votes: ",,,113
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,8
,"Total Votes: ",,,74,,"Total Votes: ",,,118,,"Total Votes: ",,,121
"Precinct: 09008 ","Polling Place ",1,,,"Precinct: 09008 ","Polling Place ",2,,,"Precinct: 09009 ","Polling Place ",1,,
"School Building, Barclayville ",,,,,"School Building, Barclayville ",,,,,"Palava Hut, Kpayzohn",,,,
"Registered Voters: ",361,,,,"Registered Voters: ",405,,,,"Registered Voters: ",319,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,146,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,117,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,97
"WEAH, George Manneh (CDC) ",,,,22,"WEAH, George Manneh (CDC) ",,,,15,"WEAH, George Manneh (CDC) ",,,,37
,"Valid Votes: ",,,168,,"Valid Votes: ",,,132,,"Valid Votes: ",,,134
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,12
,"Total Votes: ",,,173,,"Total Votes: ",,,142,,"Total Votes: ",,,146
"Precinct: 09010 ","Polling Place ",1,,,"Precinct: 09011 ","Polling Place ",1,,,"Precinct: 09012 ","Polling Place ",1,,
"Palava Hut, Garpuebueh ",,,,,"Palava Hut, Chuavenenkon ",,,,,"Palava Hut, Bassa Point",,,,
"Registered Voters: ",336,,,,"Registered Voters: ",321,,,,"Registered Voters: ",178,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,82,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,51,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,62
"WEAH, George Manneh (CDC) ",,,,45,"WEAH, George Manneh (CDC) ",,,,24,"WEAH, George Manneh (CDC) ",,,,27
,"Valid Votes: ",,,127,,"Valid Votes: ",,,75,,"Valid Votes: ",,,89
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,10
,"Total Votes: ",,,136,,"Total Votes: ",,,84,,"Total Votes: ",,,99
"Precinct: 09013 ","Polling Place ",1,,,"Precinct: 09013 ","Polling Place ",2,,,"Precinct: 09014 ","Polling Place ",1,,
"School Building, Compound #1 ",,,,,"School Building, Compound #1 ",,,,,"Palava Hut, Little Bassa",,,,
"Registered Voters: ",299,,,,"Registered Voters: ",323,,,,"Registered Voters: ",543,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,115,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,111,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,93
"WEAH, George Manneh (CDC) ",,,,33,"WEAH, George Manneh (CDC) ",,,,28,"WEAH, George Manneh (CDC) ",,,,154
,"Valid Votes: ",,,148,,"Valid Votes: ",,,139,,"Valid Votes: ",,,247
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,10
,"Total Votes: ",,,157,,"Total Votes: ",,,144,,"Total Votes: ",,,257
"Precinct: 09015 ","Polling Place ",1,,,"Precinct: 09016 ","Polling Place ",1,,,"Precinct: 09017 ","Polling Place ",1,,
"Palava Hut, Noryou Tow n ",,,,,"Palava Hut, Vahmah Tow n ",,,,,"School Building, Zoe Tow n",,,,
"Registered Voters: ",502,,,,"Registered Voters: ",212,,,,"Registered Voters: ",313,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
