"Precinct: 30001 ","Polling Place: ",1,,,"Precinct: 30002 ","Polling Place: ",1,,,"Precinct: 30003 ","Polling Place: ",1,,
"Royesville Public School, Royesville ",,,,,"Blahn Reg Center, Royesville ",,,,,"C/burg Ele /jr High School, Cheesemunburg",,,,
"Registered Voters: ",387,,,,"Registered Voters: ",250,,,,"Registered Voters: ",144,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,169,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,138,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,73
"WEAH, George Manneh (CDC) ",,,,49,"WEAH, George Manneh (CDC) ",,,,23,"WEAH, George Manneh (CDC) ",,,,16
,"Valid Votes: ",,,218,,"Valid Votes: ",,,161,,"Valid Votes: ",,,89
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,6
,"Total Votes: ",,,219,,"Total Votes: ",,,172,,"Total Votes: ",,,95
"Precinct: 30004 ","Polling Place: ",1,,,"Precinct: 30005 ","Polling Place: ",1,,,"Precinct: 30006 ","Polling Place: ",1,,
"Gbondoi Public School, Virginia ",,,,,"Memeh Tow n Palava Hut, Virginia ",,,,,"Cheesemen Hall, Virginia",,,,
"Registered Voters: ",479,,,,"Registered Voters: ",212,,,,"Registered Voters: ",357,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,232,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,101,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,167
"WEAH, George Manneh (CDC) ",,,,98,"WEAH, George Manneh (CDC) ",,,,56,"WEAH, George Manneh (CDC) ",,,,67
