"Precinct: 42001 ","Polling Place: ",1,,,"Precinct: 42001 ","Polling Place: ",2,,,"Precinct: 42001 ","Polling Place: ",3,,
"Public School , Kanw eaken ",,,,,"Public School , Kanw eaken ",,,,,"Public School , Kanw eaken",,,,
"Registered Voters: ",531,,,,"Registered Voters: ",536,,,,"Registered Voters: ",532,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,67,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,50,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,65
"WEAH, George Manneh (CDC) ",,,,150,"WEAH, George Manneh (CDC) ",,,,162,"WEAH, George Manneh (CDC) ",,,,147
,"Valid Votes: ",,,217,,"Valid Votes: ",,,212,,"Valid Votes: ",,,212
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,8
,"Total Votes: ",,,225,,"Total Votes: ",,,221,,"Total Votes: ",,,220
"Precinct: 42001 ","Polling Place: ",4,,,"Precinct: 42002 ","Polling Place: ",1,,,"Precinct: 42002 ","Polling Place: ",2,,
"Public School , Kanw eaken ",,,,,"Public School , Dw eaken ",,,,,"Public School , Dw eaken",,,,
"Registered Voters: ",543,,,,"Registered Voters: ",372,,,,"Registered Voters: ",365,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,80,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,33
"WEAH, George Manneh (CDC) ",,,,162,"WEAH, George Manneh (CDC) ",,,,136,"WEAH, George Manneh (CDC) ",,,,145
,"Valid Votes: ",,,242,,"Valid Votes: ",,,175,,"Valid Votes: ",,,178
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,3
,"Total Votes: ",,,245,,"Total Votes: ",,,180,,"Total Votes: ",,,181
"Precinct: 42003 ","Polling Place: ",1,,,"Precinct: 42003 ","Polling Place: ",2,,,"Precinct: 42004 ","Polling Place: ",1,,
"School, Pronoken ",,,,,"School, Pronoken ",,,,,"Public School , Joquiken",,,,
"Registered Voters: ",405,,,,"Registered Voters: ",408,,,,"Registered Voters: ",538,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,19
"WEAH, George Manneh (CDC) ",,,,158,"WEAH, George Manneh (CDC) ",,,,163,"WEAH, George Manneh (CDC) ",,,,156
,"Valid Votes: ",,,197,,"Valid Votes: ",,,202,,"Valid Votes: ",,,175
