INFO 2015-03-20 03:01:45,942: Getting the list of all the counties from http://www.necliberia.org/results2011/results.html
INFO 2015-03-20 03:01:45,943: Parsing information for Bomi county from http://www.necliberia.org/results2011/county_3_1.html
INFO 2015-03-20 03:01:48,135: Parsing information for Bong county from http://www.necliberia.org/results2011/county_6_1.html
INFO 2015-03-20 03:01:49,294: Parsing information for Grand Bassa county from http://www.necliberia.org/results2011/county_9_1.html
INFO 2015-03-20 03:01:51,450: Parsing information for Grand Cape Mount county from http://www.necliberia.org/results2011/county_12_1.html
INFO 2015-03-20 03:01:53,686: Parsing information for Grand Gedeh county from http://www.necliberia.org/results2011/county_15_1.html
INFO 2015-03-20 03:01:54,832: Parsing information for Grand Kru county from http://www.necliberia.org/results2011/county_18_1.html
INFO 2015-03-20 03:01:55,964: Parsing information for Lofa county from http://www.necliberia.org/results2011/county_21_1.html
INFO 2015-03-20 03:01:57,092: Parsing information for Margibi county from http://www.necliberia.org/results2011/county_24_1.html
INFO 2015-03-20 03:01:58,213: Parsing information for Maryland county from http://www.necliberia.org/results2011/county_27_1.html
INFO 2015-03-20 03:02:00,371: Parsing information for Montserrado county from http://www.necliberia.org/results2011/county_30_1.html
INFO 2015-03-20 03:02:02,567: Parsing information for Nimba county from http://www.necliberia.org/results2011/county_33_1.html
INFO 2015-03-20 03:02:04,691: Parsing information for Rivercess county from http://www.necliberia.org/results2011/county_36_1.html
INFO 2015-03-20 03:02:06,852: Parsing information for Sinoe county from http://www.necliberia.org/results2011/county_39_1.html
INFO 2015-03-20 03:02:08,991: Parsing information for River Gee county from http://www.necliberia.org/results2011/county_42_1.html
INFO 2015-03-20 03:02:10,143: Parsing information for Gbarpolu county from http://www.necliberia.org/results2011/county_45_1.html
INFO 2015-03-20 03:02:14,597: Saved Bomi, Baima Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03001.html
INFO 2015-03-20 03:02:16,735: Saved Bomi, Barmo Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03002.html
INFO 2015-03-20 03:02:18,861: Saved Bomi, Beafinie Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03003.html
INFO 2015-03-20 03:02:20,998: Saved Bomi, Beajah Public School (round 1): http://www.necliberia.org/results2011/pp_results/03004.html
INFO 2015-03-20 03:02:23,129: Saved Bomi, Besao palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03005.html
INFO 2015-03-20 03:02:25,306: Saved Bomi, Gba-Jakeh Gba Public School (round 1): http://www.necliberia.org/results2011/pp_results/03006.html
INFO 2015-03-20 03:02:26,453: Saved Bomi, Government Farm Senjeh Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03007.html
INFO 2015-03-20 03:02:28,622: Saved Bomi, Married Camp Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03008.html
INFO 2015-03-20 03:02:30,771: Saved Bomi, Dependent Camp Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03009.html
INFO 2015-03-20 03:02:31,888: Saved Bomi, Beh Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03010.html
INFO 2015-03-20 03:02:33,032: Saved Bomi, Sass Town Public School (round 1): http://www.necliberia.org/results2011/pp_results/03011.html
INFO 2015-03-20 03:02:35,184: Saved Bomi, Barmon Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03012.html
INFO 2015-03-20 03:02:37,324: Saved Bomi, Golodee Gayla Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03013.html
INFO 2015-03-20 03:02:39,455: Saved Bomi, Gbargbah Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03014.html
INFO 2015-03-20 03:02:40,590: Saved Bomi, Tulaymu Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03015.html
INFO 2015-03-20 03:02:41,763: Saved Bomi, Demeh Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03016.html
INFO 2015-03-20 03:02:43,902: Saved Bomi, Bogbeh Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03017.html
INFO 2015-03-20 03:02:45,031: Saved Bomi, Bola Town Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03018.html
INFO 2015-03-20 03:02:46,157: Saved Bomi, Bonor Town Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03019.html
INFO 2015-03-20 03:02:48,253: Saved Bomi, Bowien Town Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03020.html
INFO 2015-03-20 03:02:49,344: Saved Bomi, Jeon School (round 1): http://www.necliberia.org/results2011/pp_results/03021.html
INFO 2015-03-20 03:02:50,457: Saved Bomi, Dagbweh Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03022.html
INFO 2015-03-20 03:02:52,555: Saved Bomi, Boiling Camp Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03023.html
INFO 2015-03-20 03:02:54,678: Saved Bomi, Gayah Hills Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03024.html
INFO 2015-03-20 03:02:55,807: Saved Bomi, Gbaigbon Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03025.html
INFO 2015-03-20 03:02:56,941: Saved Bomi, Goghen Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03026.html
INFO 2015-03-20 03:02:58,078: Saved Bomi, Jawajeh Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03027.html
