"code","address","locality","polling.places","voters","county","district"
"03024 ","Gayah Hills Palava Hut","Gayah Hill",2,756,"Bomi",1
"03075 ","Court House, Moses Vincent Compound","Vai Town Ii",3,1419,"Bomi",1
"03074 ","Administrative Building","New Road",1,302,"Bomi",1
"03073 ","Yomo Town Public School","Yomo Town",1,192,"Bomi",1
"03072 ","Bomi Jr. High School","Gballasuah",2,833,"Bomi",1
"03071 ","C. H. Dewey High School","Joseph Town",2,548,"Bomi",1
"03070 ","Joseph Town Palava Hut","Joseph Town",2,803,"Bomi",1
"03069 ","Nyeila English & Arabic School","Nyeila",2,584,"Bomi",1
"03068 ","Jimina A. Wilson Public School","Damballa Town",2,856,"Bomi",1
"03067 ","Weakama Public School","Weakama",2,647,"Bomi",1
"03049 ","Zamian Town Palava Hut","Zamian",1,156,"Bomi",1
"03002 ","Barmo Palava Hut","Barmo",1,385,"Bomi",1
"03042 ","Sackie Town Hall","Sackie",1,419,"Bomi",1
"03076 ","Vai Town Cinema","Vai Town Iii",4,1621,"Bomi",1
"03023 ","Boiling Camp Town Hall","Boiling Camp",1,292,"Bomi",1
"03018 ","Bola Town Palava Hut","Bola",1,359,"Bomi",1
"03009 ","Dependent Camp Town Hall","Dependent Camp Town",1,394,"Bomi",1
"03008 ","Married Camp Town Hall","Married Camp",3,1071,"Bomi",1
"03007 ","Government Farm Senjeh Town Hall","Government Farm Old",1,425,"Bomi",1
"03006 ","Gba-jakeh Gba Public School","Gbah-jakeh",4,1590,"Bomi",1
"03005 ","Besao Palava Hut","Besao",2,863,"Bomi",1
"03004 ","Beajah Public School","Beajah",1,321,"Bomi",1
"03003 ","Beafinie Town Hall","Beafinie",1,488,"Bomi",1
"03001 ","Baima Palava Hut","Baima",1,174,"Bomi",1
"03047 ","Red Hill Palava Hut","Red Hill",1,475,"Bomi",1
"06066 ","Stephen-ta Palava Hut","Stephen-ta",1,408,"Bong",7
"06005 ","Beletanda Palava Hut","Beletanda",2,794,"Bong",7
"06009 ","Boryormah Palava Hut","Boryormah One",3,1162,"Bong",7
"06010 ","St. Paul Catholic School","Cephas Town",3,1027,"Bong",7
"06011 ","Borlarmu Public School","Degei",2,864,"Bong",7
"06012 ","Boudala Public School","Boduala",2,566,"Bong",7
"06029 ","Gbamokollieta Palava Hut","Gbamokollieta",2,736,"Bong",7
"06030 ","Wumai Palava Hut","Wumai Town",2,791,"Bong",7
"06061 ","Haindii Clinic","Haindii",4,1970,"Bong",7
"06067 ","Kankalan Public School","Kankalan Town",2,687,"Bong",7
"06070 ","Kelebei Public School","Kelebei",2,990,"Bong",7
"06076 ","Winnie-ta Public School","Winnie-ta",3,1007,"Bong",7
"06080 ","Gbonokalai Palava Hut","Gbonokalai Town",2,505,"Bong",7
"06126 ","Yarbayeh Public School","Yarbayeh Town",3,1002,"Bong",7
"06047 ","Gbo Gbo Ta Public School","Gbo Gbo Ta",2,832,"Bong",7
"06131 ","Zamkpe Yama Palava Hut","Zamkpe Yama",1,282,"Bong",7
"06087 ","Nuamue Public School","Nuamue I",1,452,"Bong",7
"06120 ","Volomeni Palava Hut","Volomeni Town",2,812,"Bong",7
"06119 ","Lawana Public School","Varnery Town",3,1440,"Bong",7
"06112 ","Samah Town Palava Hut","Samah",1,191,"Bong",7
"06098 ","Sanoyea Market","Sanoyea",4,1995,"Bong",7
"06097 ","Sanoyea Lutheran School","Sanoyea",3,1168,"Bong",7
"06095 ","Popota Public School","Popota",3,1186,"Bong",7
"06094 ","Piata Palava Hut","Piata",2,685,"Bong",7
"06090 ","Nancy B. Doe Elem. School","Nyean Town",3,1414,"Bong",7
"06089 ","Nyeablia Public School","Nyeablia Town",4,1591,"Bong",7
"06134 ","Gbalala Clinic","Gbalala Town",2,510,"Bong",7
"45022 ","Gbaryama Town Hall","Gbaryama",2,835,"Gbarpolu",1
"45061 ","Gbarquoita Town Hall","Guyan-ta",2,718,"Gbarpolu",1
"45060 ","Bopolu Central High School","Bopolu",6,2823,"Gbarpolu",1
"45053 ","Totoquelleh Public School","Totoquelleh",2,979,"Gbarpolu",1
"45049 ","Henry Town Palava Hut","Henry",6,2565,"Gbarpolu",1
"45010 ","Fallah Palava Hut","Fassah",1,287,"Gbarpolu",1
"45040 ","Nyeamah School","Nyeamah",1,344,"Gbarpolu",1
"45023 ","Gokallah Palava Hut","Gokallah",4,1594,"Gbarpolu",1
"45009 ","Bombomah Public School","Bombomah",2,623,"Gbarpolu",1
"45019 ","Gbarngay School","Gbarngay",2,865,"Gbarpolu",1
"45050 ","Manorwella Public School","Manorwella",1,199,"Gbarpolu",1
"45033 ","Gedema Public School","Gedema",2,853,"Gbarpolu",1
"45048 ","Tawalata Town Hall","Tawalata",1,269,"Gbarpolu",1
"45035 ","Moilakwelle School","Moilakwelle",2,830,"Gbarpolu",2
"45021 ","Gelekpasu School","Gelekpasu",1,386,"Gbarpolu",2
"45058 ","Boliah Town Hall","Boliah",1,310,"Gbarpolu",2
"45057 ","Nyailowai Town Hall","Nyailowai",2,508,"Gbarpolu",2
"45056 ","Zalakai School","Zalakai",2,611,"Gbarpolu",2
"45052 ","Kalata Town Hall","Kalata",1,458,"Gbarpolu",2
"45051 ","Tiggelee Town Hall","Tiggelee",1,288,"Gbarpolu",2
"45047 ","Kologbane Palava Hut","Kologbane A",2,924,"Gbarpolu",2
"45046 ","Gelengasiasu Town Hall","Gelengasiasu",1,401,"Gbarpolu",2
"45036 ","Belekpalumu Palava Hut","Belekpalumu",1,419,"Gbarpolu",2
"45029 ","Kpawolozu School","Kpawolozu",1,261,"Gbarpolu",2
"45012 ","Gatima Town Hall","Gatima",2,589,"Gbarpolu",2
"45030 ","Mavordor Palava Hut","Mavordor",1,387,"Gbarpolu",2
"45017 ","Fahnyapolu Town Hall","Fahnyapolu",1,433,"Gbarpolu",2
"45024 ","Palakwelle Palava Hut","Palakwelle",2,765,"Gbarpolu",2
"45042 ","Porkpa-ta School","Porkpa-ta",2,615,"Gbarpolu",2
"45015 ","Gbarkagborquoita Palava Hut","Gbarkagborquoita Town",2,532,"Gbarpolu",2
"45031 ","Kpayeakwelle Palava Hut","Kpayeakwelle",3,1078,"Gbarpolu",2
"45011 ","Fassamatown Palava Hut","Fassama",3,1347,"Gbarpolu",2
"45008 ","Belleh Yallah Public School","Belleh Yallah",2,795,"Gbarpolu",2
"45002 ","Baloma Town Hall","Baloma",2,579,"Gbarpolu",2
"45025 ","Gungbe-ta School","Gungbe-ta",1,289,"Gbarpolu",2
