36037 ,Zammie Palava Hut ,Zammie ,3 ,1046
36018 ,Zoryeah Palava Hut ,Zoryeah ,2 ,630
36001 ,Bahn Town Palava Hut ,Bahn Town ,2 ,622
36002 ,Bannie Town Palava Hut ,Bannie Town ,1 ,347
36003 ,Gblor Church ,Gblor Town ,1 ,105
36004 ,Bluen Palava Hut ,Bluen Town ,1 ,423
36005 ,Bodowhea Palava Hut ,Bodowhea Toen ,3 ,1408
36006 ,Kangbo Town Church ,Kangbo Town ,2 ,558
36007 ,Suakon Dehbor Palava Hut ,Suakon Debbor ,1 ,360
36009 ,Neezoin School Building ,Neezoin Town ,2 ,850
36039 ,Gborwuzohn Palava Hut ,Gborwuzohn ,2 ,958
36014 ,Gbehwronkon Palava Hut ,Gbehwronkon ,1 ,410
36040 ,Boe Palava Hut ,Boe ,1 ,438
36020 ,Gleozohn Palava Hut ,Gleozohn ,2 ,544
36022 ,Gorgor Church ,Gorgor Town ,1 ,459
36023 ,Gozohn Church ,Gozohn Town ,2 ,632
36025 ,Bogeezay Town Hall ,Bogeezay Town ,3 ,1004
36027 ,Nagbo Town Palava Hut ,Nagbo ,2 ,772
36032 ,Saywheowor Town Church ,Saywheowor ,2 ,545
36035 ,Goezohn Palava Hut ,Goezohn ,2 ,992
36036 ,Yolo Palava Hut ,Yolo ,1 ,270
36038 ,Karchhukon palava Hut ,Karchhukon ,1 ,474
36010 ,Garpue Palava Hut ,Garpue Town ,2 ,526
