INFO 2015-03-20 15:58:56,464: Getting the list of all the counties from http://www.necliberia.org/senate2014/
INFO 2015-03-20 15:58:58,745: Parsing information for Lofa county from http://www.necliberia.org/senate2014/county_21_2.html
INFO 2015-03-20 15:58:59,919: Parsing information for Gbarpolu county from http://www.necliberia.org/senate2014/county_45_2.html
INFO 2015-03-20 15:59:02,157: Parsing information for Grand Cape Mount county from http://www.necliberia.org/senate2014/county_12_2.html
INFO 2015-03-20 15:59:04,265: Parsing information for Bomi county from http://www.necliberia.org/senate2014/county_3_2.html
INFO 2015-03-20 15:59:06,395: Parsing information for Montserrado county from http://www.necliberia.org/senate2014/county_30_2.html
INFO 2015-03-20 15:59:08,528: Parsing information for Bong county from http://www.necliberia.org/senate2014/county_6_2.html
INFO 2015-03-20 15:59:10,634: Parsing information for Margibi county from http://www.necliberia.org/senate2014/county_24_2.html
INFO 2015-03-20 15:59:12,778: Parsing information for Grand Bassa county from http://www.necliberia.org/senate2014/county_9_2.html
INFO 2015-03-20 15:59:14,877: Parsing information for Nimba county from http://www.necliberia.org/senate2014/county_33_2.html
INFO 2015-03-20 15:59:17,019: Parsing information for Rivercess county from http://www.necliberia.org/senate2014/county_36_2.html
INFO 2015-03-20 15:59:19,154: Parsing information for Sinoe county from http://www.necliberia.org/senate2014/county_39_2.html
INFO 2015-03-20 15:59:21,270: Parsing information for Grand Gedeh county from http://www.necliberia.org/senate2014/county_15_2.html
INFO 2015-03-20 15:59:22,377: Parsing information for River Gee county from http://www.necliberia.org/senate2014/county_42_2.html
INFO 2015-03-20 15:59:23,486: Parsing information for Grand Kru county from http://www.necliberia.org/senate2014/county_18_2.html
INFO 2015-03-20 15:59:25,590: Parsing information for Maryland county from http://www.necliberia.org/senate2014/county_27_2.html
INFO 2015-03-20 15:59:29,929: Saved Lofa, Balagwalazu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21001.html
INFO 2015-03-20 15:59:31,042: Saved Lofa, Baloma Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21002.html
INFO 2015-03-20 15:59:32,155: Saved Lofa, Porluma Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21003.html
INFO 2015-03-20 15:59:33,276: Saved Lofa, Bandenin Melimu Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21004.html
INFO 2015-03-20 15:59:35,380: Saved Lofa, Forbayman Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21005.html
INFO 2015-03-20 15:59:37,497: Saved Lofa, Barkedu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21006.html
INFO 2015-03-20 15:59:38,605: Saved Lofa, Barkedu Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21007.html
INFO 2015-03-20 15:59:40,711: Saved Lofa, Barziwen Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21008.html
INFO 2015-03-20 15:59:42,824: Saved Lofa, Bodah Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21009.html
INFO 2015-03-20 15:59:44,924: Saved Lofa, Borkeza Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21010.html
INFO 2015-03-20 15:59:46,056: Saved Lofa, Borkeza Market Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21011.html
INFO 2015-03-20 15:59:47,151: Saved Lofa, Borliloe Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21012.html
INFO 2015-03-20 15:59:49,253: Saved Lofa, Lukasu Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21013.html
INFO 2015-03-20 15:59:51,367: Saved Lofa, Bondowalahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21014.html
