"Voting ",,,,,"General "
"Precinct ","COUNTY :BOMI ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
3001,"Baima Palava Hut ",,"Baima ",173,1
3002,"Barmo Palava Hut ",,"Barmo ",410,1
3003,"Beafinie Town Hall ",,"Beafinie ",490,1
3004,"Beajah Public School ",,"Beajah ",335,1
3005,"Besao palava Hut ",,"Besao ",981,2
3006,"Gba-Jakeh Gba Public School ",,"Gbah-Jakeh ",2209,5
3007,"Government Farm Senjeh Town Hall ",,"Government Farm Old ",679,2
3008,"Married Camp Town Hall ",,"Married Camp ",1176,3
3009,"Dependent Camp Town Hall ",,"Dependent Camp Town ",420,1
3018,"Bola Town Palava Hut ",,"Bola ",422,1
3023,"Boiling Camp Town Hall ",,"Boiling Camp ",389,1
3024,"Gayah Hills Palava Hut ",,"Gayah Hill ",929,2
3042,"Sackie Town Hall ",,"Sackie ",437,1
3047,"Red Hill Palava Hut ",,"Red Hill ",586,2
3049,"Zamian Town Palava Hut ",,"Zamian ",157,1
3067,"Weakama Public School ",,"Weakama ",713,2
3068,"Jimina A. Wilson Public School ",,"Damballa Town ",966,2
3069,"Nyeila English & Arabic School ",,"Nyeila ",611,2
3070,"Joseph Town Palava Hut ",,"Joseph Town ",931,2
3071,"C. H. Dewey High School ",,"Joseph Town ",641,2
3072,"Bomi Jr. High School ",,"Gballasuah ",1118,3
3073,"Yomo Town Public School ",,"Yomo Town ",245,1
3074,"Administrative Building ",,"New Road ",308,1
3075,"Court House, Moses Vincent Compound ",,"Vai Town II ",1578,4
3076,"Vai Town Cinema ",,"Vai Town III ",1764,4
"Voting ",,,,,"General "
"Precinct ","COUNTY :BOMI ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
3010,"Beh Town Hall ",,"Beh Town ",963,2
3011,"Sass Town Public School ",,"Sass Town ",1564,4
3012,"Barmon Palava Hut ",,"Barmon Town ",1327,3
3013,"Golodee Gayla Town Hall ",,"Golodee Gayla Town ",970,2
3014,"Gbargbah Palava Hut ",,"Gbargbah ",1090,3
3025,"Gbaigbon Town Hall ",,"Gbaigbon ",474,1
