"code","locality","address","voters","polling.places","county","district"
"03001","Baima Palava Hut","Baima",173,1,"Bomi",1
"03002","Barmo Palava Hut","Barmo",410,1,"Bomi",1
"03003","Beafinie Town Hall","Beafinie",490,1,"Bomi",1
"03004","Beajah Public School","Beajah",335,1,"Bomi",1
"03005","Besao Palava Hut","Besao",981,2,"Bomi",1
"03006","Gba-jakeh Gba Public School","Gbah-jakeh",2209,5,"Bomi",1
"03007","Government Farm Senjeh Town Hall","Government Farm Old",679,2,"Bomi",1
"03008","Married Camp Town Hall","Married Camp",1176,3,"Bomi",1
"03009","Dependent Camp Town Hall","Dependent Camp Town",420,1,"Bomi",1
"03018","Bola Town Palava Hut","Bola",422,1,"Bomi",1
"03023","Boiling Camp Town Hall","Boiling Camp",389,1,"Bomi",1
"03024","Gayah Hills Palava Hut","Gayah Hill",929,2,"Bomi",1
"03042","Sackie Town Hall","Sackie",437,1,"Bomi",1
"03047","Red Hill Palava Hut","Red Hill",586,2,"Bomi",1
"03049","Zamian Town Palava Hut","Zamian",157,1,"Bomi",1
"03067","Weakama Public School","Weakama",713,2,"Bomi",1
"03068","Jimina A. Wilson Public School","Damballa Town",966,2,"Bomi",1
"03069","Nyeila English & Arabic School","Nyeila",611,2,"Bomi",1
"03070","Joseph Town Palava Hut","Joseph Town",931,2,"Bomi",1
"03071","C. H. Dewey High School","Joseph Town",641,2,"Bomi",1
"03072","Bomi Jr. High School","Gballasuah",1118,3,"Bomi",1
"03073","Yomo Town Public School","Yomo Town",245,1,"Bomi",1
"03074","Administrative Building","New Road",308,1,"Bomi",1
"03075","Court House, Moses Vincent Compound","Vai Town Ii",1578,4,"Bomi",1
"03076","Vai Town Cinema","Vai Town Iii",1764,4,"Bomi",1
"06005","Beletanda Palava Hut","Beletanda",812,2,"Bong",7
"06009","Boryormah Palava Hut","Boryormah One",1170,3,"Bong",7
"06010","St. Paul Catholic School","Cephas Town",1026,3,"Bong",7
"06011","Borlarmu Public School","Degei",856,2,"Bong",7
"06012","Boudala Public School","Boduala",598,2,"Bong",7
"06029","Gbamokollieta Palava Hut","Gbamokollieta",812,2,"Bong",7
"06030","Wumai Palava Hut","Wumai Town",819,2,"Bong",7
"06047","Gbo Gbo Ta Public School","Gbo Gbo Ta",895,2,"Bong",7
"06061","Haindii Clinic","Haindii",1976,4,"Bong",7
"06066","Stephen-ta Palava Hut","Stephen-ta",420,1,"Bong",7
"06067","Kankalan Public School","Kankalan Town",686,2,"Bong",7
"06070","Kelebei Public School","Kelebei",1020,3,"Bong",7
"06076","Winnie-ta Public School","Winnie-ta",1040,3,"Bong",7
