Code ,Locality ,Address ,Voters ,Places,""
9007 ,LIBINC Old Camp Palava Hut ,LIBINC Old Camp ,1260 ,"",3
9008 ,Debbah Town Palava Hut ,Debbah ,682 ,"",2
9009 ,Behn Town Palava Hut ,Behn ,1702 ,"",4
9013 ,Zondo Town School Building ,Zondo ,1134 ,"",3
9014 ,Zardo-Gbone Town Palava Hut ,Zardo-Gbone ,925 ,"",2
9022 ,Trodain Town Palava Hut ,Trodain ,349 ,"",1
9023 ,Korkor David Town Palava Hut ,Korkor David ,692 ,"",2
9024 ,Seeko Camp Palava Hut ,Seeko Camp ,432 ,"",1
9033 ,Bannie Town Palava Hut ,Bannie Glaygbo ,292 ,"",1
9034 ,Boe-Wee Palava Hut ,Boe-Wee ,337 ,"",1
9044 ,Sendeh-Pie-Kon Town Palava Hut ,Sendeh-Pie-Kon ,283 ,"",1
9045 ,Gio Town School Buliding ,Gio ,1563 ,"",4
9046 ,Geebeor Town Palava Hut ,Geebeor ,867 ,"",2
9047 ,Gboinyee Tarr Town Palava Hut ,Gboinyee ,572 ,"",2
9048 ,Paye Town Palava Hut ,Paye ,909 ,"",2
9052 ,Benzohn Town Palava Hut ,Benzohn ,857 ,"",2
9076 ,Mentee Town Palava Hut ,Mentee ,308 ,"",1
9077 ,Gbeeyah Town Palava Hut ,Gbeeyah ,907 ,"",2
9098 ,Bor's Town Palava Hut ,Bor's ,939 ,"",2
9099 ,Sekepo/Kru Town Palava Hut ,Sekepo /Kru ,743 ,"",2
9105 ,Nyornbern Town Palava Hut ,Nyornbern ,1233 ,"",3
9106 ,Gargar Town Palava Hut ,Gargar ,225 ,"",1
9107 ,Food Crops Camp Palava Hut ,Food Crops Camp ,852 ,"",2
9108 ,Feetuah Town Palava Hut ,Feetuah ,715 ,"",2
9109 ,Dayougar Town Palava Hut ,Boe Town/Dayougar ,374 ,"",1
9120 ,Compound # 4 Palava Hut ,Compound ,683 ,"",2
9121 ,Qwrakpo Palava Hut ,Qwrakpo ,637 ,"",2
9141 ,Daybay Town Palava Hut ,Daybay ,863 ,"",2
9142 ,Kay Kay Town Palava Hut ,Kay Kay ,338 ,"",1
9151 ,Big Joe Town Administrative Building ,Big Joe ,636 ,"",2
9154 ,Diawhen Town Palava Hut ,Diawhen ,474 ,"",1
9156 ,Old Lady Market Palava Hut ,Old Lady Market ,606 ,"",2
9157 ,Yarweah Village Palava Hut ,Yarwea Village ,432 ,"",1
