Voting ,"","","","",General 
Precinct ,COUNTY :GRAND GEDEH ,ELECTORAL DISTRICT : 1 ,"","",Polling 
Code ,Locality ,Address ,"",Voters ,Places
15056 ,Len/Sharon Liberia Community School ,Zanboe Quarter ,"",2058 ,5
15057 ,N. Nixson Garlon Evangelical High School ,Webbo Quarter ,"",2309 ,5
15058 ,Zwedru City Hall ,City Hall ,"",2397 ,5
15059 ,Suah Memorial Institute ,Suah ,"",2056 ,5
15060 ,Gbagbaaville Elemetary & Junior High School ,Gbagbaville ,"",1200 ,3
15061 ,Todeyville Calvary Temple A.G. School ,Todeyville Community ,"",1592 ,4
15062 ,LOIC Youth Building ,LOIC Commmunty ,"",2831 ,6
15063 ,Zwedru Multilateral High School ,Kudah Bye Pass ,"",2206 ,5
15064 ,Women/Children Rehabilitation Resource Cen Colemen Airfield ,"","",1404 ,3
