Voting ,"","","","",General 
Precinct ,COUNTY :LOFA ,"",ELECTORAL DISTRICT : 1 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
21003 ,Porluma Town Hall ,"",Porluma ,2548 ,6
21004 ,Bandenin Melimu Town Hall ,"",Bandenin Melimu ,904 ,2
21005 ,Forbayman Public School ,"",Forbayma ,1186 ,3
21012 ,Borliloe Town Hall ,"",Borliloe ,1092 ,3
21020 ,Fassapoe (Old) Town Hall ,"",Fassapoe ,576 ,2
21021 ,Mbenduma Public School ,"",Mbenduma ,1455 ,3
21025 ,Foya Market Hall ,"",Foya ,3087 ,7
21026 ,Foya Town Hall ,"",Foya ,2951 ,6
21027 ,Foya New Market ,"",Foya ,2286 ,5
21028 ,Foyakama Public School ,"",Foyakama ,1724 ,4
21046 ,Worsongar Public School ,"",Worsongar ,2925 ,6
21047 ,Wahbengu Public School ,"",Wahbengu ,801 ,2
21066 ,Solumba Public School ,"",Solumba (A) ,2086 ,5
21069 ,Ndama Public School ,"",Ndama ,1976 ,4
21070 ,Mendicorma Town Hall ,"",Mendicorma ,2887 ,6
21083 ,Sengar Palava Hut ,"",Sengar ,1680 ,4
21115 ,Yelayaloe Town Hall ,"",Yelayaloe ,838 ,2
