"code","locality","address","voters","polling.places","county","district","election.year","non.ret.places","non.ret.voters","consolidated"
"03042","Gba Ja Keh","Gba Community School",3172,6,"Bomi",1,2005,NA,NA,0
"03051","Government Farm","Government Farm Palava Hut",292,1,"Bomi",1,2005,NA,NA,0
"03054","Sass Town","Sass Town Public School",1199,2,"Bomi",1,2005,NA,NA,0
"03055","Monnoh","Monnoh Town Palava Hut",392,1,"Bomi",1,2005,NA,NA,0
"03056","Sombung","Sombung",259,1,"Bomi",1,2005,NA,NA,0
"03057","Gonjeh","Gonjeh Palava Hut",380,1,"Bomi",1,2005,NA,NA,0
"03058","Gbarngba Town","Gbarngba Town Hall",314,1,"Bomi",1,2005,NA,NA,0
"03059","Gonzipo","Gonzipo Palava Hut",456,1,"Bomi",1,2005,NA,NA,0
"03060","Malema","Malema Town Hall",810,2,"Bomi",1,2005,NA,NA,0
"03061","Klay","Gertrude Yancy Public School",1670,3,"Bomi",1,2005,NA,NA,0
"03062","Managbokai","Managbokai Palava Hut",166,1,"Bomi",1,2005,NA,NA,0
"03063","Fefe Town","Fefe Town Palava Hut",440,1,"Bomi",1,2005,NA,NA,0
"03064","Gohgen","Gohgen Palava Hut",420,1,"Bomi",1,2005,NA,NA,0
"03065","Loah","Loah Palava Hut",642,2,"Bomi",1,2005,NA,NA,0
"03066","Kangacia","Kangacia Palava Hut",134,1,"Bomi",1,2005,NA,NA,0
"03067","Guie Town","Guie Town Hall",684,2,"Bomi",1,2005,NA,NA,0
"03068","Golodee Gayla","Golodee Gayla Palava Hut",332,1,"Bomi",1,2005,NA,NA,0
"03069","Zordee","Upc Campus",448,1,"Bomi",1,2005,NA,NA,0
"03070","Golodee Lasana","Golodee Lasana Palava Hut",728,2,"Bomi",1,2005,NA,NA,0
"03071","Geveh Fanciee","Geveh Fanciee Palava Hut",300,1,"Bomi",1,2005,NA,NA,0
"03072","Beajojo","Beajojo Clinic",430,1,"Bomi",1,2005,NA,NA,0
"45013","Gbarma","Central High School Gbarma Town",1692,3,"Gbarpolu",1,2005,NA,NA,0
"45014","Weamawuo","Primary School,weamawuo Town",606,2,"Gbarpolu",1,2005,NA,NA,0
"45015","Yangayah","Junior High School,yangayah Town",468,1,"Gbarpolu",1,2005,NA,NA,0
"45016","Tarkpoima","Town Hall, Tarkpoima Town",609,2,"Gbarpolu",1,2005,NA,NA,0
"45017","Weasua","Junior High School, Weasua Town",613,2,"Gbarpolu",1,2005,NA,NA,0
"45018","Balla","Junior High School,balla Town",148,1,"Gbarpolu",1,2005,NA,NA,0
"45024","Kangbor","Town Hall, Kongba Town",456,1,"Gbarpolu",1,2005,NA,NA,0
"45025","Camp Alpha","Primary School,camp Alpha",267,1,"Gbarpolu",1,2005,NA,NA,0
"45026","Tima Village","Private House,tima Village",182,1,"Gbarpolu",1,2005,NA,NA,0
"45027","Amtel Camp","Amtel Camp Office",231,1,"Gbarpolu",1,2005,NA,NA,0
"45028","Zuei","Town Hall, Zuei Town",465,1,"Gbarpolu",1,2005,NA,NA,0
"45029","Mbarma","Town Hall, Mbarma Town",143,1,"Gbarpolu",1,2005,NA,NA,0
"45030","Nomodatundu","Town Hall, Nomodatundu,town",1019,2,"Gbarpolu",1,2005,NA,NA,0
"45031","Domamana","Town Hall, Domamana,town",217,1,"Gbarpolu",1,2005,NA,NA,0
"45032","Beaden","Town Hall,beadentown",231,1,"Gbarpolu",1,2005,NA,NA,0
"45001","Bopolu","Central High School Bopolu Town",2579,5,"Gbarpolu",2,2005,NA,NA,0
"45002","Totoquellah","Palava Hut, Totoquelleh",388,1,"Gbarpolu",2,2005,NA,NA,0
"45003","Gbaroquai","Private House, Gbaroquai",396,1,"Gbarpolu",2,2005,NA,NA,0
"45004","Goindima","Private House-porch,goindima",290,1,"Gbarpolu",2,2005,NA,NA,0
"45005","Bombooma","Private House Of Town Chief",315,1,"Gbarpolu",2,2005,NA,NA,0
"45006","Bandokai (usman Tow","Charlas P.rogers Community School",268,1,"Gbarpolu",2,2005,NA,NA,0
"45007","Varmah","Private House, Varmah Town",149,1,"Gbarpolu",2,2005,NA,NA,0
"45008","Gbaryama","Town Hall Gbaryama",627,2,"Gbarpolu",2,2005,NA,NA,0
"45009","Gbeleta","Town Hall Gbeleta",495,1,"Gbarpolu",2,2005,NA,NA,0
"45010","Henry Town","Town Hall Henry",365,1,"Gbarpolu",2,2005,NA,NA,0
"45011","Gainkpai","Public School,gainkpai Town",193,1,"Gbarpolu",2,2005,NA,NA,0
"45012","Manowellah","Elementary School,manowelleh Town",162,1,"Gbarpolu",2,2005,NA,NA,0
"45019","Fassama","Private Building, Fassama",1145,2,"Gbarpolu",3,2005,NA,NA,0
"45020","Bell Boloma","Private Building, Belle Boloma",768,2,"Gbarpolu",3,2005,NA,NA,0
"45021","Tiggelee","Town Hall, Tiggelee",490,1,"Gbarpolu",3,2005,NA,NA,0
"45022","Gatima","Town Hall, Gatima",447,1,"Gbarpolu",3,2005,NA,NA,0
"45023","Belleyala","Town Hall,belleyala",290,1,"Gbarpolu",3,2005,NA,NA,0
"45033","Palakwellh","Town Hall,palakwellh Town",852,2,"Gbarpolu",3,2005,NA,NA,0
"45034","Gumbeta","Town Hall, Gumbeta Town",771,2,"Gbarpolu",3,2005,NA,NA,0
"45035","Zelekai","Town Hall,zelekai Town",441,1,"Gbarpolu",3,2005,NA,NA,0
"45036","Venla-1","Town Hall,venla-1town",246,1,"Gbarpolu",3,2005,NA,NA,0
"45037","Nyalowai","Town Hall,nyalowai Town",140,1,"Gbarpolu",3,2005,NA,NA,0
"45038","Gbarmgay","Town Hall,gbarmbay,town",696,2,"Gbarpolu",3,2005,NA,NA,0
"45039","Morlakwelleh","Town Hall, Morlakwelleh Town",651,2,"Gbarpolu",3,2005,NA,NA,0
"45040","Kelagasiasu","Town Hall,kelagasiasu Town",412,1,"Gbarpolu",3,2005,NA,NA,0
"45041","Kologbanai","Town Hall,kologbanai Town",846,2,"Gbarpolu",3,2005,NA,NA,0
"45042","Fanyanpolu","Town Hall, Fanyanpolu Town",420,1,"Gbarpolu",3,2005,NA,NA,0
"45043","Borleya","Town Hall,borleya Town",313,1,"Gbarpolu",3,2005,NA,NA,0
"09001","Owensgrove","Administrative Building",1588,3,"Grand Bassa",1,2005,NA,NA,0
"09002","Neegeewein","Palava Hut",762,2,"Grand Bassa",1,2005,NA,NA,0
"09003","Bokay's Town","Palava Hut",785,2,"Grand Bassa",1,2005,NA,NA,0
"09004","Quehzah Town","Palava Hut",277,1,"Grand Bassa",1,2005,NA,NA,0
"09005","Colla Tree","Palava Hut",106,1,"Grand Bassa",1,2005,NA,NA,0
"09006","Beon Town","Palava Hut",148,1,"Grand Bassa",1,2005,NA,NA,0
"09007","Dowin Town","Palava Hut",703,2,"Grand Bassa",1,2005,NA,NA,0
"09008","Barclayville","School Building",766,2,"Grand Bassa",1,2005,NA,NA,0
"09009","Kpayzohn","Palava Hut",319,1,"Grand Bassa",1,2005,NA,NA,0
"09010","Garpuebueh","Palava Hut",336,1,"Grand Bassa",1,2005,NA,NA,0
